index,origin,title,inputime,summary,link
1,人民网－人民日报,汪洋会见中国国民党前主席洪秀柱,1644098639000,我们共同祝愿台湾冰雪运动健儿如虎添翼、勇创佳绩，也希望参与志愿服务的台湾学生展示青春风采、留下美好回忆。  　　在坚持一个中国原则和“九二共识”的基础上，我们愿意同台湾各党派、团体和人士就两岸关系相关问题开展广泛深入的对话沟通和民主协商，寻求社会共识。中国梦不能缺少台湾，台湾不能在民族复兴浪潮中缺席。2022年两岸关系面临许多变数与挑战。,http://politics.people.com.cn/n1/2022/0206/c1024-32345925.html
2,人民网－人民日报,李克强分别会见新加坡总统哈莉玛、厄瓜多尔总统拉索、巴基斯坦总理伊姆兰·汗、蒙古国总理奥云额尔登、波黑部长会议主席特盖尔蒂亚、巴布亚新几内亚总理马拉佩、世界卫生组织总干事谭德塞、世界知识产权组织总干事邓鸿森,1644098639000,他表示，波中关系发展顺利，波黑始终秉持一个中国原则，认为台湾是中国不可分割的一部分。感谢中方为波黑抗击疫情提供的无私帮助。波黑高度重视中国—中东欧国家合作，希在此框架下同中方深化能源、交通等领域合作。,http://politics.people.com.cn/n1/2022/0206/c1024-32345923.html
3,新华网,李克强会见波黑部长会议主席特盖尔蒂亚,1644071894000,他表示，波中关系发展顺利，波黑始终秉持一个中国原则，认为台湾是中国不可分割的一部分。感谢中方为波黑抗击疫情提供的无私帮助。波黑高度重视中国－中东欧国家合作，希在此框架下同中方深化能源、交通等领域合作。,http://politics.people.com.cn/n1/2022/0205/c1024-32345883.html
4,新华网,汪洋会见中国国民党前主席洪秀柱,1644060744000,我们共同祝愿台湾冰雪运动健儿如虎添翼、勇创佳绩，也希望参与志愿服务的台湾学生展示青春风采、留下美好回忆。  　　在坚持一个中国原则和“九二共识”的基础上，我们愿意同台湾各党派、团体和人士就两岸关系相关问题开展广泛深入的对话沟通和民主协商，寻求社会共识。中国梦不能缺少台湾，台湾不能在民族复兴浪潮中缺席。2022年两岸关系面临许多变数与挑战。期望两岸同胞在反“独”促统的目标上继续奋进，推动两岸关系和平发展，迎接两岸融合的春天，加速两岸和平统一大业。,http://politics.people.com.cn/n1/2022/0205/c1024-32345849.html
5,光明日报,四海儿女共相聚 欢乐充实“羊城年”,1644026196000,来自台湾的新闻与传播学院2019级本科生蔡昀倢，以前没有接触过冰雪运动，在参与此次旱地冰壶活动前，她期待满满。在书法及国画培训课上，来自台湾的基础医学与公共卫生学院2020级本科生方毓婷向老师和同学们展示了她良好的书法功底。方毓婷表示，自己从小学习书法，对书法有着浓厚的兴趣。,http://ent.people.com.cn/n1/2022/0205/c1012-32345699.html
6,,家书写满两岸骨肉亲情，更有团圆渴盼,1644025957000,新年立春之季，几位在大陆读书的台湾年轻人的家书，写着一样的思念，他们中有的留在北京担任冬奥志愿者，有的留京过年的生日正好与冬奥相遇，有的在学校食堂台湾学子一起吃的年夜饭，有的在室友邀请下在威海“家”里过了一个难忘的春节她的生活、事业和家庭，是海峡两岸血脉相连的一个缩影，很多家庭都像她一样，生活在大陆，亲人在台湾，或者是生活在台湾，亲人在大陆。在北航读书的姚中玉同学，爷爷是江苏徐州人，奶奶是台湾宜兰人，他本人生于台湾，上小学时随爸妈一起到徐州生活。疫情之前是基本是零距离，家人往来两岸很频繁。  还好，没有什么能挡得住亲情的交流。来自台湾新竹的李若筠同学说：有机会参加冬奥，心里特别兴奋，能够透过北京冬奥这房窗，让世界又一次看到北京风采、中国风采，我觉得是一件特别幸福的事——秀幸福，报平安，亲人读到这段思念，听到亲情的召唤，这也是我们的年味又想起前几天刷屏的拜年短视频，大陆新闻学泰斗方汉奇先生与台湾新闻学泰斗李瞻先生的“相期以茶”、共约百岁聚首，87岁的台湾老兵高秉涵牵挂定居厦门的弟弟，盼疫情过后“牵手同回山东菏泽老家”，这浓浓的亲情，团圆的渴盼,http://tw.people.com.cn/n1/2022/0205/c14657-32345695.html
7,,跨越海峡的新春家书，连接两岸的青春梦想,1644025839000,今年我长大了，换我包给妈妈红包……”  大年初一，在清华大学法学院读研究生的台湾学子苏雍竣，用闽南话给家人拍了一段“新春家书”。北京第二外国语学院的大三学生李若筠，也向远在台湾的家人送去视频家书——因为冬奥会，他们选择留在北京。  没有华丽的语言，没有过多的修饰，两位台湾年轻人的新春家书却感动了许多网友。这个春节，年轻的台湾学子虽然不能与家人团聚，却不会有孤独、不适。在家书视频里，苏雍竣吃起了台湾香肠，他说，这就是“家乡的味道”。许多留在大陆过年，在大陆工作、生活的台湾年轻人，都有类似的感受。留在北京过年的台湾女生蔡云咏就在给家人的视频家书里开心地晒出自己准备好的红毛衣。相似的美食习惯、相同的节日习俗、熟悉的生活环境，都让这些在大陆求学、工作的台湾年轻人丝毫感受不到隔阂和陌生。,http://tw.people.com.cn/n1/2022/0205/c14657-32345693.html
8,新华网,漂洋过海来看你——6位大陆台生的“新春家书”,1644025645000,苏雍竣：最想念台湾家人和乡味香肠  2月1日，在清华大学法学院就读研究生的台湾学子苏雍竣，用闽南话给家人拍了一段视频“家书”：“特别想念大家，尤其是台湾的一些味道，最想念可能就是台湾的香肠。台湾香肠虽然不是什么特别料理，但记得在每年过年的餐桌上，不管是阿嬷或是外婆家，那是一种家的味道。”  2020年，苏雍竣决定到大陆读书。在他看来，这是人生很有意义的一段经历，即便因此不能回台湾和家人一起过年，依然十分值得。周恩贤：妈妈，我很想念你炖的鸡汤  春节期间，在清华大学读大四的台湾学子周恩贤一段向父母拜年并表示想念妈妈炖的鸡汤的视频，让很多网友动容。蔡云咏：穿上红衣，在赛馆里过个冬奥年  就读于中国传媒大学的台湾女生蔡云咏也是本届冬奥会的志愿者。1月28日，蔡云咏向台湾家人发出视频“家书”，开心“晒”出自己准备的红毛衣。,http://tw.people.com.cn/n1/2022/0205/c14657-32345691.html
9,新华网,春节，感受这群大陆台胞的“山海情”,1644025529000,这让台湾青年张立齐感到亲切。  当初，他在北京大学读博士，每年都会在北大未名湖上滑冰。“从小我在台湾就喜欢滑旱冰，到了北京，穿上冰刀很快学会了滑冰。”今年因为疫情等原因，张立齐等很多台胞没回台湾，而是留在大陆过年。  这个春节福建持续多日下雨，扰乱了张立齐的海边“踏浪”计划。于是，他宅在离海不远的厦门家里，吃火锅、看春晚、和台湾亲人通电话。台湾规划设计师、福建橙翔文旅总经理曾芝颖在微信朋友圈里记下难忘的一笔。  她和一起从台湾来福州打拼的同事去超市选海鲜，除夕夜端出了十二菜一汤的“豪华大餐”。福州浓浓的年味，让曾芝颖内心充满喜悦。这些年来，曾芝颖致力于推动台湾青年建筑师团队参与福建乡建乡创。去年，她最高兴的是，自己担任台籍秘书长的福建省青年建筑师协会，正式启动“海峡乡创奖”。她希望，两岸乡创队伍能更深入认识交流，台湾专业人才能在福建找到更大的舞台。  曾芝颖来大陆后扎根山村，参与的第一个项目是福州闽清县梅城印记历史文化街区改造。,http://tw.people.com.cn/n1/2022/0205/c14657-32345688.html
10,新华网,中华人民共和国和俄罗斯联邦关于新时代国际关系和全球可持续发展的联合声明（全文）,1644023674000,俄方重申恪守一个中国原则，承认台湾是中国领土不可分割的一部分，反对任何形式的“台独”。,http://world.people.com.cn/n1/2022/0205/c1002-32345657.html
