index,origin,title,inputime,summary,link
1,人民网-国际频道,中国驻东帝汶大使向东帝汶总统介绍中方在<em>台湾</em>问题上的立场,1660640603000,期间，肖大使向到场的东帝汶总统奥尔塔、前外长巴博等政要介绍了中方在<em>台湾</em>问题上的立场。  肖大使表示，世界上只有一个中国，<em>台湾</em>是中国领土不可分割的一部分。中国政府最近发布了《<em>台湾</em>问题与新时代中国统一事业》白皮书，全面阐述<em>台湾</em>问题的历史经纬和政策主张。希望东方同中方一道，共同守护一个中国原则，共同捍卫联合国宪章宗旨和规定，共同维护地区稳定与世界和平。奥尔塔还在接受记者采访时公开表示，东帝汶始终支持一个中国原则，支持中华人民共和国的主权，<em>台湾</em>是中国的一部分。,http://world.people.com.cn/n1/2022/0816/c1002-32503978.html
2,人民网-人民日报,外交部发言人——敦促日方彻底同军国主义切割,1660639705000,公然违背明确规定把<em>台湾</em>归还中国的《开罗宣言》等重要法律文件。这是对世界反法西斯战争胜利成果和战后国际秩序的严重挑衅，一切爱好和平、主张正义的人们不会答应。  汪文斌说，开历史倒车者，必将再次走入歧途。,http://cjkeizai.j.people.com.cn/n1/2022/0816/c368504-32503949.html
3,人民网-人民日报,日本必须深刻汲取历史教训（国际论坛）,1660639705000,日本还频频在<em>台湾</em>问题上做文章，企图追随美国搞“以台制华”。1972年中日邦交正常化时签署的《中日联合声明》明确规定，日本政府充分理解和尊重中国政府关于<em>台湾</em>是中国领土不可分割的一部分的立场，坚持遵循《波茨坦公告》的条款。日本在<em>台湾</em>问题上的种种错误言行，明显违背自身承诺，严重损害中日关系，威胁地区稳定。日本如果执迷于以邻为壑、分裂地区，必将遭到地区国家的共同反对。,http://cjkeizai.j.people.com.cn/n1/2022/0816/c368504-32503950.html
4,人民网-人民日报,开历史倒车者，必将走入歧途（钟声）,1660639694000,日本在<em>台湾</em>问题上的高调表演，进一步暴露其险恶用心。日本曾非法侵占并在<em>台湾</em>实行长达半个世纪的殖民统治，杀害60多万台湾同胞，犯下罄竹难书的罪行。日方本应认真反省侵略历史，恪守中日四个政治文件原则和所作承诺，在<em>台湾</em>问题上谨言慎行。然而，一段时间以来，日本在<em>台湾</em>问题上的消极动向频繁集中，一些政治势力声称“<em>台湾</em>有事就是日本有事”。日本政府不久前发布2022年版《防卫白皮书》，罔顾事实渲染所谓大陆对台“军事威胁”，妄称“<em>台湾</em>局势对日本安全及国际稳定十分重要”。上述行为严重违反国际关系基本准则，违背日方在<em>台湾</em>问题上向中方作出的严肃承诺，损害中日关系政治基础。美国国会众议长佩洛西窜访中国台湾地区，招致国际正义力量广泛谴责。但在<em>台湾</em>问题上负债累累的日本，却公然替美国放任佩洛西窜台、侵犯中国主权的错误行径张目，对中国政府合理合法的反制行动说三道四，追随配合美方搞“以台制华”。,http://cjkeizai.j.people.com.cn/n1/2022/0816/c368504-32503943.html
5,人民网－人民日报,究竟是谁在蓄意挑衅制造危机（钟声）,1660615781000,佩洛西窜台，严重违背一个中国原则和中美三个联合公报规定，是对美方“同<em>台湾</em>人民保持文化、商务和其他非官方关系”政治承诺的背离。美国国会是美国政府的组成部分，佩洛西是美国政府的第三号人物。,http://world.people.com.cn/n1/2022/0816/c1002-32503624.html
6,新华网,中共中央台办发言人受权宣布对列入清单的一批“台独”顽固分子等人员实施制裁,1660615158000,决定对游锡堃担任董事长的“<em>台湾</em>民主基金会”的执行长、吴钊燮担任董事长的“国际合作发展基金会”的秘书长实施制裁，禁止其进入大陆和香港、澳门特别行政区。  　　发言人指出，统一是历史大势，是正道。,http://tw.people.com.cn/n1/2022/0816/c14657-32503608.html
7,人民网－《人民日报海外版》,<em>台湾</em>高校招生缺额逾万人创新高,1660612597000,　　据新华社台北电&nbsp;&nbsp;（记者岳夕彤、齐湘辉）<em>台湾</em>2022年大学考试入学分发录取结果近日公布，受招考制度改革和少子化冲击影响，今年共有51所高校未完成招生计划，招生缺额达14493人创新高根据<em>台湾</em>“大学考试入学分发委员会”消息，今年<em>台湾</em>高校招生缺额人数远超去年的2732人。全台共有51所高校未招满，分别为22所公立学校和29所私立学校，仅11所高校完成招生计划，以顶尖大学为主。 　　<em>台湾</em>私校工会理事长尤荣辉对媒体表示，<em>台湾</em>少子化愈发严重，今年陡降趋势明显，预计至2028年前，如果大学招生不做出改变，缺额只会越来越多。,http://sc.people.com.cn/n2/2022/0816/c345167-40082232.html
8,人民网－《人民日报海外版》,坚决反对美国某些政客和议员窜访中国<em>台湾</em>地区,1660611844000,　　本报北京8月15日电 （记者金晨）国台办发言人马晓光15日在答记者问时表示，美国某些政客和议员窜访中国台湾地区是违背美方在<em>台湾</em>问题上作出的严肃承诺、蓄意破坏台海地区和平稳定的又一例证。,http://sc.people.com.cn/n2/2022/0816/c345460-40082152.html
9,人民网－《人民日报海外版》,专家：共创祖国统一、民族复兴的光荣伟业,1660611844000,清华大学<em>台湾</em>研究院院长巫永平说，“一国两制”自提出以来，民进党当局及岛内“台独”势力始终不遗余力对其污名化、造谣抹黑。他们企图剥夺台湾同胞共同探索“两制”<em>台湾</em>方案的机会。王英津说，白皮书重申“‘一国两制’在<em>台湾</em>的具体实现形式会充分考虑<em>台湾</em>现实情况，会充分吸收两岸各界意见和建议，会充分照顾到台湾同胞利益和感情”，相关表述清晰具体，展现出了极大的诚意和善意。　　按照“一国两制”实现和平统一，<em>台湾</em>前景光明　　白皮书强调，按照“一国两制”实现两岸和平统一，将给中国发展进步和中华民族伟大复兴奠定新的基础，将给<em>台湾</em>经济社会发展创造巨大机遇，将给广大台湾同胞带来实实在在的好处两岸统一之后，各方投资者将会更有信心到<em>台湾</em>投资。同时，大陆的广阔市场将成为<em>台湾</em>发展的腹地，<em>台湾</em>势必会迎来更大的发展空间。　　国家统一后，<em>台湾</em>的财政收入尽可用于改善民生，多为<em>台湾</em>民众做实事、办好事、解难事。　　统一后，中国的国际影响力、感召力、塑造力将进一步增强，中华民族的自尊心、自信心、自豪感将进一步提升。,http://sc.people.com.cn/n2/2022/0816/c345460-40082151.html
10,人民网－《人民日报》,王毅视频会见亚非发展中国家驻日内瓦使节,1660611835000,使节们表示，<em>台湾</em>、新疆都是中国的一部分，中国的内政不容干涉。人权问题不应被政治化，中国的正当维权举措理应得到国际社会的坚定支持。 　　《 人民日报 》（ 2022年08月16日 03 版）,http://sc.people.com.cn/n2/2022/0816/c345167-40082149.html
