chinese,korean
可能,아마
不僅,~뿐만 아니라
這樣,이러면
還是,그래도
不過,하지만
這次,이번에
不會,~지 않다
已經,이미
包括,~포함하여
目前,현재
作為,~로서/로써
這是,이것은
雖然,하지만
應該,아마도
根據,~에 의하여
這些,이것들
所謂,소위
必須,꼭
是否,Whether it is...
這個,이것
其實,사실
之前,이전에
之外,이외에
正在,~하는 중
真的,진짜
部分,부분
因為,~때문에
最近,최근
這種,이러한
方面,방면
透過,~을/를 통해서
很多,매우 많은
至於,
往下,아래로 내려가면
表示,~을/를 표하다
他們,그들
我們,우리
相關,관련된
當時,당시
同時,동시에
還有,"와/과, 그리고"
是否,~의 여부
什麼,어떠한
非常,아주
現在,지금
提到,~을 언급하다
這次,이번에
針對,~에 
知道,알다
出現,나타나다
加上,~에다가
不能,~지 못한다
造成,lead to
沒有,없다
尤其,특히
即時新聞,특보
繼續閱讀,이어서 보기
綜合報導,종합보도
台北報導,타이페이 보도
中國國家,중국국가
新聞報導,신문보도
報導,보도
資料,자료
記者,기자
不要,~지 말다
財經頻道,재경채널
頻道,채널
相關訊息,관련소식
上述,위에 언급한
專區,뉴스에 있는 특간 카테고리
臉書粉絲團,페이스북 팬페이지
粉絲團,팬페이지
蘋娛樂,빙궈연예간
蘋新聞,빙궈신문
蘋大選,빙궈대선
新聞,신문
後,
於,
話,
時,
地區,
方面,
區域,
方式,
電,
內容,
面,
部分,
新聞,
地方,
蔡,
事,
領域,
局勢,
美,
情況,
人士,
力,
事件,
時代,
情勢,
數據,
系統,
結果,
性,
處,
官方,
網路,
共和,
指數,
因素,
高度,
氣候,
台,
狀況,
化,
當局,
機構,
規模,
報,
基本,
線,
實際,
文章,
論壇,
主張,
消息,
程度,
重點,
書,
方向,
外長,
時報,
制度,
作者,
資訊,
時候,
任務,
機,
鏈,
大量,
詞,
時期,
模式,
管道,
平台,
局,
網,
意義,
團,
海,
年度,
團隊,
規則,
原本,
幣,
項目,
圖,
有所,
表態,
背景,
致力,
氣,
日益,
辦,
人物,
單位,
路透社,
動態,
手,
頭,
時刻,
市,
營,
數,
新華社,
外,
字,
文,
路,
產生,
布,
因應,
效果,
公室,
網站,
關,
角度,
制,
量,
期,
業務,
門,
指,
魚,
金額,
人數,
方法,
船,
成,
一事,
單,
狀態,
縣,
臉書,
名,
格局,
實體,
數量,
美聯社,
當中,
概念,
行業,
比例,
卿布,
關於,
艦,
夏,
院,
影片,
車,
版,
主,
節目,
天,
名單,
風,
高峰,
態勢,
訂單,
主題,
筆者,
眾議,
形容,
方,
小組,
部,
照片,
社群,
前提,
分子,
額,
陸,
法,
現象,
著作,
路透,
觀點,
跡象,
結,
指標,
消息人士,
數字,
層面,
話題,
藉由,
美國國,
中央社,
資,
普,
價,
有利於,
手,
藉此,
華,
長候,
法新社,
信,
工,
華爾街日報,
音,
心,
股,
利文,
情形,
核,
聲音,
社,
縣長,
意味,
卿,
案,
偉,
項,
俄,
對象,
澳大利,
聲版權,
官網,
功能,
媒,
火,
夢,
國防,
總額,
進黨,
空中,
作業,
平,
臉,
情,
態,
地點,
節,
撰文,
行,
月份,
編輯,
隊,
問,
縣市,
象,
產生,
臉書,
概念,
今天上午,
去年同期,
國,
時間,
報告,
中心,
全面,
陳,
權,
教授,
原因,
事情,
過程,
岸,
區,
廠,
部長,
文件,
定性,
部門,
蘋果,
萬票,
馬,
意味著,
人類,
田,
片面,
美國會,
院長,
先生,
原,
晶,
心中,
中文,
李,
王,
面向,
科,
周刊,
彭博,
省,
證,
禮,
新,
基本上,
季,
人們,
水,
貨,
鍾,
創,
產,
基,
溝,
歐,
收,
路上,
政,
觀,
動,
庫,
腳,
環,
東西,
宣,
計,
部會,
總,
美的,
題,
綱,
身上,
利,
國,
公司,
中心,
時間,
媒體,
陳,
全面,
區,
權,
關訊息,
彭博,
岸,
例,
事情,
陳鈺馥,
蘋果,
馬,
文件,
西南,
歐新社,
特,
鍾,
明夫,
畫面,
理由,
事實,
王,
田,
單日,
李,
矢板,
狀,
路上,
萱,
蔣,
季,
錫,
原,
課,
證,
貨,
博,
週,
先生,
金,
介,
城,
家中,
姓名,
飯,
傳,
晶,
直指,
肺,
水,
北,
家長,
店,
波,
校,
腳,
班,
科,
父親,
值,
鑑,
條,
吳書緯,
專,
楊,
人類,
優,
一稿多投,
文長,
心中,
宣,
鄉,
朱,
環,
召,
餐廳,
收,
陳政宇,
岸信,
版本,
孫宇青,
林翠儀,
禮,
人次,
面向,
陳成良,
身上,
中文,
題,
基,
創,
樓,
特派,
意味著,
產,
美國會,
總,
部會,
趙,
金,
夫,
林惠琴,
東西,
今天下午,
中心,
媒體,
公司,
陳,
國,
時間,
個案,
報告,
人員,
絲團,
介,
例,
書粉,
事情,
蘋時,
權,
區,
社區,
人次,
文件,
狀,
蘋,
岸,
蘋果,
人類,
品牌,
蘋新,
蘋娛樂粉,
網粉,
畫面,
電視,
馬,
園區,
周,
史,
單日,
州市,
王,
鍾,
波,
尚粉,
部門,
水,
路上,
條,
父親,
會員,
田,
主持人,
席,
專,
明夫,
心中,
樓,
傳,
矢板,
原,
環,
店,
錫,
季,
電視台,
部會,
加碼,
先生,
例具,
收,
胡,
冠,
小姐,
貨,
時機,
基本上,
家主,
獎,
餐廳,
家中,
人們,
東西,
帳號,
值,
趙,
身上,
總,
禮,
基,
張,
創,
意味著,
感覺,
產,
酸,
圓,
收治,
電台,
財報,
工商,
飯,
證,
中文,
蘋理,
世紀,
門點,
李,
鄉,
意思,
酒,
蔣,
庫,
花毯,
乙類,
業,
爸爸,
廣告,
酒店,
新,
今天下午,
科,
有限公司,
飯店,
措施,
主義,
議長,
集團,
委員會,
說法,
女性,
時任,
副教授,
兩者,
著,
手中,
車用,
經,
A股,
職,
全會,
旅,
關系,
檔,
殖,
性質,
女性,
高中,
