chinese,count
中國,88126
台灣,74485
美國,56795
大陸,21966
經濟,21819
國家,21685
政府,17850
習近平,17308
問題,15720
俄國,15526
政策,15487
兩岸,15327
國際,14064
政治,13307
總統,13307
日本,12933
台灣海峽,12307
全球,12157
烏國,11907
北京,11389
軍事,11332
戰略,10322
人民,10275
和平,10005
市場,9695
民進黨,9536
環球,9313
疫情,9275
國民黨,8632
裴洛西,8600
企業,7400
民主,7234
代表,7097
主席,6856
戰爭,6824
雙方,6268
半導體,6099
政黨,6085
德國,5895
外交,5849
台積電,5773
產業,5761
中美,5673
軍,5626
民眾,5346
晶圓,5307
能力,5211
社會,5109
外交部,5104
香港,5074
兩國,5003
台北市,4940
議題,4924
歐洲,4831
計劃,4809
會議,4773
危機,4705
利益,4623
西方,4560
導彈,4458
風險,4390
官員,4366
科技,4330
制裁,4330
歷史,4281
立場,4151
俄烏戰爭,4139
軍演,4091
目標,4086
技術,4029
英國,3972
蔡英文,3878
交流,3717
基礎,3696
關鍵,3689
國防部,3676
中國大陸,3585
高峰會,3449
印度,3417
領導人,3408
中央,3394
韓國,3371
國內,3346
主權,3236
美中,3226
勢力,3177
能源,3153
聲明,3137
金融,3119
產品,3105
議員,3100
現況,3095
印太地區,3088
機會,3073
武器,3022
市長,2999
法案,2949
武,2902
上海市,2819
原則,2808
專家,2798
疫苗,2775
亞洲,2766
力量,2766
中華民國,2731
地位,2660
澳洲,2655
價值,2631
基金,2596
新冠,2588
華府,2528
核心,2527
壓力,2522
態度,2510
總理,2498
中華,2462
美國聯邦眾議院,2460
文化,2459
國民,2347
民族,2286
學者,2285
協議,2256
全體,2256
台商,2244
環境,2239
價格,2238
地緣,2233
普丁,2204
外界,2195
經貿,2163
盟友,2120
共軍,2111
總書記,2109
王毅,2082
國會,2070
領導,2055
領土,2031
北約,2028
策略,1993
海域,1983
趨勢,1974
董事,1945
無人機,1940
共識,1936
目的,1898
南海,1895
白宮,1884
島嶼,1883
大國,1872
警告,1858
大使,1847
太平洋,1828
布林肯,1812
事務,1805
建議,1802
成員,1785
新加坡,1781
結構,1781
領袖,1778
空間,1763
病毒,1757
優勢,1744
秩序,1742
人權,1742
國際社會,1720
電子,1713
資金,1709
印尼,1707
九二共識,1703
資源,1701
會面,1690
業者,1683
機制,1683
一中,1678
基地,1666
利用,1631
言論,1615
法國,1609
範圍,1566
方案,1566
朱立倫,1541
聯合國,1539
全國,1536
委員,1533
全世界,1522
大會,1517
抗中保台,1504
北韓,1502
成本,1492
部署,1492
海外,1482
石油,1478
部隊,1464
規定,1453
手段,1451
柯文哲,1446
信心,1444
實力,1441
條件,1441
客戶,1435
股市,1435
戰機,1432
權力,1428
考量,1424
國軍,1423
高層,1420
責任,1416
中國共產黨,1415
選人,1399
錯誤,1390
汽車,1381
傳統,1378
加拿大,1377
國務,1373
美軍,1351
紀錄,1344
角色,1343
標準,1343
國外,1343
城市,1336
意識,1331
商,1327
對台,1327
行政院,1326
重要性,1323
體系,1319
網友,1312
糧食,1311
銀行,1309
抗議,1299
布局,1294
蘇貞昌,1290
分歧,1290
行程,1285
醫療,1273
桃園市,1266
貨幣,1266
可能性,1266
人口,1262
朋友,1260
領空,1260
海上,1253
外國,1243
