chinese,count,korean,english
中國,88126,중국,People's Republic of China
台灣,74485,대만,Taiwan
美國,56795,미국,United States
大陸,21966,대륙,Mainland
經濟,21819,경제,Economy
國家,21685,국가,Country
政府,17850,정부,Government
習近平,17308,시진핑,Xi Jinping
問題,15720,문제,Question(s)
俄國,15526,러시아,Russia
政策,15487,정책,Policies
兩岸,15327,양안,Cross-Strait
國際,14064,국제,International
政治,13307,정치,Politics
總統,13307,대통령,President
日本,12933,일본,Japan
台灣海峽,12307,대만해협,Taiwan Strait
全球,12157,글로벌,global
烏國,11907,우크라이나,ukraine
北京,11389,베이징,Beijing
軍事,11332,군사,Military
戰略,10322,전략,Military strategy
人民,10275,국민,people
和平,10005,평화,peace
市場,9695,시장,market
民進黨,9536,민진당,Democratic Progressive Party (DPP)
環球,9313,세계 각지,worldwide
疫情,9275,팬데믹,pandemic
國民黨,8632,국민당,Kuomintang
裴洛西,8600,펠로시,Pelosi
企業,7400,기업,Business enterprises
民主,7234,민주,Democracy 
代表,7097,대표자,Representative
主席,6856,주석,President
戰爭,6824,전쟁,War
雙方,6268,쌍방,both sides
半導體,6099,반도체,semiconductor
政黨,6085,정당,Political parties
德國,5895,독일,Germany
外交,5849,외교,Foreign relations
台積電,5773,TSMC,TSMC Corporation
產業,5761,산업,Industries
中美,5673,중미,China-US
軍,5626,군,military
民眾,5346,민중,people
晶圓,5307,웨이퍼,Wafer
能力,5211,능력,Ability
社會,5109,사회,Society (disambiguation)
外交部,5104,외교부,Ministry of Foreign Affairs
香港,5074,홍콩,Hong Kong
兩國,5003,양국,two countries
台北市,4940,타이베이시,Taipei City
議題,4924,이슈,issue
歐洲,4831,유럽,Europe
計劃,4809,계획,plan
會議,4773,회의,Meeting
危機,4705,위기,crisis
利益,4623,이익,Interests
西方,4560,서방,the West
導彈,4458,미사일,Missiles (disambiguation)
風險,4390,위험,Risks
官員,4366,관원,Official
科技,4330,과학 기술,Science and technology
制裁,4330,제재,Sanctions
歷史,4281,역사,History
立場,4151,입장,Position
俄烏戰爭,4139,러시아-우크라이나 전쟁,Russo-Ukrainian War
軍演,4091,군사 훈련,military exercises
目標,4086,목표,Goals
技術,4029,기술,Technology
英國,3972,영국,United Kingdom
蔡英文,3878,차이잉원,Tsai Ing-wen
交流,3717,교류,Communication
基礎,3696,기초,foundation
關鍵,3689,관건,key
國防部,3676,국방부,Ministry of Defence
中國大陸,3585,중국대륙,Mainland China
高峰會,3449,정상회담,summit
印度,3417,인도,India
領導人,3408,지도자,Leader
中央,3394,중앙,Central
韓國,3371,한국,Korea
國內,3346,국내,Domestic
主權,3236,주권,sovereignty
美中,3226,미중,US-China
勢力,3177,세력,power
能源,3153,에너지,Energy sources
聲明,3137,진술,Declaration
金融,3119,금융,finance
產品,3105,제품,Products
議員,3100,의원,Member of Parliament
現況,3095,현황,Current status
印太地區,3088,인도태평양 지역,Indo-Pacific region
機會,3073,기회,opportunity
武器,3022,무기,Weapons
市長,2999,시장,Mayor
法案,2949,법안,Bill
武,2902,무력,force
上海市,2819,상하이 시,shanghai city
原則,2808,원칙,Principles
專家,2798,전문가,Experts
疫苗,2775,백신,Vaccines
亞洲,2766,아시아,Asia
力量,2766,힘,strength
中華民國,2731,중화민국,Republic of China
地位,2660,지위,Status
澳洲,2655,오스트레일리아,Australia
價值,2631,가치,value
基金,2596,펀드,Fund
新冠,2588,코로나19,New coronavirus
華府,2528,워싱턴 D.C.,"Washington, D.C."
核心,2527,핵심,core
壓力,2522,압력,pressure
態度,2510,태도,attitude
總理,2498,총리,Prime Minister 
中華,2462,중화,Chinese nationality
美國聯邦眾議院,2460,미국 연방 하원,U.S. House of Representatives
文化,2459,문화,Culture
國民,2347,국민,citizen
民族,2286,민족,Ethnic groups
學者,2285,학자,Scholar
協議,2256,협의,agreement
全體,2256,전체,all
台商,2244,대만 상인,Taiwanese businessman
環境,2239,환경,Environment
價格,2238,가격,Price
地緣,2233,지연,geopolitics
普丁,2204,푸틴,Putin
外界,2195,외부,the outside world
經貿,2163,경제 무역,Economic and trade relations
盟友,2120,동맹,ally
共軍,2111,공산군,Communist army
總書記,2109,총서기,General Secretary
王毅,2082,왕이,Wang Yi
國會,2070,국회,National Assembly
領導,2055,리더쉽,Leadership
領土,2031,영토,Territories
北約,2028,북대서양조약기구,North Atlantic Treaty Organization (NATO)
策略,1993,전략,strategy
海域,1983,해역,sea area
趨勢,1974,추세,Trend
董事,1945,이사,director
無人機,1940,드론,drone
共識,1936,공통의 인식,Consensus
目的,1898,목적,Objectives
南海,1895,남해,South China Sea
白宮,1884,백악관,White House
島嶼,1883,섬,Island
大國,1872,대국,great nation
警告,1858,경고,warn
大使,1847,대사,Ambassador
太平洋,1828,태평양,Pacific Ocean
布林肯,1812,블링컨,Blinken
事務,1805,사무,affairs
建議,1802,조언,Recommendations
成員,1785,구성원,Members
新加坡,1781,싱가포르,Singapore
結構,1781,구조,Structure
領袖,1778,리더,leader
空間,1763,공간,Space
病毒,1757,바이러스,Virus
優勢,1744,우세,advantage
秩序,1742,질서,order
人權,1742,인권,Human rights
國際社會,1720,국제 사회,International community
電子,1713,전자,Electronics
資金,1709,자금,Funding
印尼,1707,인도네시아,Indonesia
九二共識,1703,92공식,The 1992 Consensus
資源,1701,자원,Resources
會面,1690,면회,meet
業者,1683,업자,businessman
機制,1683,메커니즘,Mechanisms
一中,1678,하나의 중국,One-China policy
基地,1666,기지,Base
利用,1631,이용,make use of
言論,1615,언론,speech
法國,1609,프랑스,France
範圍,1566,범위,scope
方案,1566,방안,measures
