chinese,korean,english
經驗,경험,Experience
經歷,경험,experience
計畫,계획,plan
計劃,계획,plan
規劃,계획,Plan
規畫,계획,plan
架構,구조,structure
結構,구조,Structure
國內,국내,Domestic
境內,국내,domestic
人民,국민,people
國人,국민,citizen
國民,국민,citizen
境外,국외,abroad
國外,국외,Overseas
兵,군인,soldier
軍人,군인,soldiers
機會,기회,opportunity
機遇,기회,opportunity
農業,농업,agriculture
農,농업,agriculture
團體,단체,group
集體,단체,collective
台海,대만해협,Taiwan Strait
台灣海峽,대만해협,Taiwan Strait
群眾,대중,crowd
大眾,대중,the general public
俄羅斯,러시아,Russia
俄國,러시아,Russia
俄烏戰爭,러시아-우크라이나 전쟁,Russo-Ukrainian War
烏俄戰爭,러시아-우크라이나 전쟁,Russo-Ukrainian War
主管,매니저,head of a department
經理,매니저,Manager
經理人,매니저,manager
飛彈,미사일,Missile
導彈,미사일,Missiles (disambiguation)
民族,민족,Ethnic groups
族群,민족,ethnic group
部署,배치,Deployment
布局,배치,layout
實質,본질,substance
本質,본질,essence
氛圍,분위기,atmosphere
氣氛,분위기,atmosphere
爭議,분쟁,controversy
爭端,분쟁,Disputes
沙烏地,사우디아라비아,Saudi Arabia
沙國,사우디아라비아,Saudi Arabia
產業,산업,Industries
工業,산업,Industry
島,섬,Island
島嶼,섬,Island
成果,성과,Outcome
成就,성과,Achievements
市場,시장,market
市長,시장,Mayor
雙方,쌍방,both sides
雙邊,쌍방,bilateral
能源,에너지,Energy sources
能量,에너지,energy
首長,우두머리,chief
龍頭,우두머리,the head of a group
企圖,의도,intention
意圖,의도,Intention
意識,의식,Consciousness
典禮,의식,ceremony
儀式,의식,ceremony
董事,이사,director
理事,이사,director
材料,재료,Material
物料,재료,material
戰略,전략,Military strategy
策略,전략,strategy
方略,전략,strategy
戰力,전력,military strength
全力,전력,with all one's might
電力,전력,Electricity
戰爭,전쟁,War
戰事,전쟁,fighting
整體,전체,whole
全體,전체,all
情報,정보,information
信息,정보,Information
定義,정의,Definitions
正義,정의,Justice
證實,증명하다,prove
證明,증명하다,attest
趨勢,추세,Trend
走勢,추세,trend
朋友,친구,Friend
友人,친구,friend
學者,학자,Scholar
學家,학자,scholar
核武,핵무기,Nuclear weapons
核武器,핵무기,Nuclear weapons
力量,힘,strength
力道,힘,force
力度,힘,strength
九二共識,92공식,The 1992 Consensus
金磚,BRICS,BRICS
20國集團,G20,Group of 20
台積電,TSMC,TSMC Corporation
價格,가격,Price
可能性,가능성,possibility
護欄,가드레일,guardrail
高端,가오두안백신,MVC COVID-19 Vaccine
高雄市,가오슝시,Kaohsiung City
邊緣,가장자리,edge
家庭,가정,Family
家人,가족,Family
假訊息,가짜 정보,false information
價值,가치,value
幹部,간부,cadres
強權,강권,powerful power
強國,강대국,a powerful nation
強力,강력하다,strong
個人,개인,individual
客觀,객관적,objective
交易,거래,trade
客戶,거래처,Clients
距離,거리,distance
建築,건축물,Architecture
表面,겉모습,surface
遊戲,게임,game
決心,결심,determination
決議,결의,Resolution
決策,결책,Decision-making
邊界,경계선,border
警戒,경계하다,alert
警告,경고,warn
景氣,경기,prosperity
資深,경력이 풍부한,senior
經濟,경제,Economy
經濟區,경제 구역,Economic zone
經貿,경제 무역,Economic and trade relations
經濟體,경제체,economic entity
警方,경찰 측,Police officers
契機,계기,opportunity
故宮,고궁,The National Palace Museum
考量,고려,consideration
高點,고점,high point
高層,고층,high position
困境,곤경,difficult situation
空間,공간,Space
公告,공고,public announcement
工具,공구,Tools
空軍,공군,Air Force
共同利益,공동이익,common interest
公民,공민,citizen
共軍,공산군,Communist army
共產黨,공산당,Communist Party
共機,공산당 비행기,Chinese Communist Aircraft
空域,공역,airspace
工廠,공장,Factory
設廠,공장 설립,building a plant
工程,공정,progress/process
公眾,공중,the public
共識,공통의 인식,Consensus
公平,공평,Fairness
機場,공항,Airports
貢獻,공헌,contribute
科學,과학,Science
科技,과학 기술,Science and technology
關鍵,관건,key
觀光,관광하다,sightseeing
慣例,관례,conventional practice
關稅,관세,Customs duties
關心,관심,interest
關切,관심주다,concern
官媒,관영 매체,state-run media
官員,관원,Official
官,관청,official
廣東,광둥,Guangdong
交流,교류,Communication
交通,교통,traffic
交通部,교통부,Ministry of Transportation and Communications
建構,구성,construct
成員,구성원,Members
口號,구호,slogan
國家,국가,Country
國安,국가안보,national security
國安會,국가안전회의,National Security Council
邊境,국경,Borders
國慶,국경일,National Day
邦交,국교,diplomatic relations
國軍,국군,Armed Forces
國力,국력,national strength
局面,국면,situation
國務,국무,state affairs
國務院,국무원,State Council
國民黨,국민당,Kuomintang
國防部,국방부,Ministry of Defence
局長,국장,Director-General
國際,국제,International
國際組織,국제 기구,International organizations
國際社會,국제 사회,International community
國際法,국제법,International law
國會,국회,National Assembly
軍,군,military
軍售,군납 판매,arms sales
軍隊,군대,Military
軍方,군부대,Military
軍備,군비,Armaments
軍事,군사,Military
軍委,군사 위원회,Military Commission
軍演,군사 훈련,military exercises
軍力,군사력,military strength
軍機,군용기,military aircraft
艦艇,군용선박,naval vessels
軍艦,군함,warship
權力,권력,Power
權利,권리,Rights
權法,권법,law of power
權益,권익,Rights and interests
軌道,궤도,Railways
規格,규격,standard
規範,규범,code
規定,규정,Regulations
極端,극히,extreme
韌性,근성,toughness
全球,글로벌,global
禁令,금령,Prohibition
金融,금융,finance
機械,기계,Mechanic
機關,기관,institute
紀念,기념,commemorate
紀錄,기록,record
油價,기름값,Oil price
技術,기술,Technology
岸田文雄,기시다 후미오,Fumio Kishida
企業,기업,Business enterprises
企業家,기업가,entrepreneurs
基地,기지,Base
基礎,기초,foundation
深度,깊이,depth
終端,끝자락,Terminal
南京,난징,Nanjing
藍綠,남색녹색,blue-green
藍營,남색캠프,Blue camp
南海,남해,South China Sea
內閣,내각,Cabinet of Ministers
內政,내무,Internal affairs
汪洋,넓은 바다,vast ocean
荷蘭,네덜란드,Netherlands
網絡,네트워크,Network
網友,네티즌,Internet users
路線,노선,route
綠色,녹색,Green
綠營,녹영,Green camp
邏輯,논리,logic
論文,논문,Thesis paper
農產品,농산물,Agricultural products
農委會,농업위원회,Ministry of Agriculture
高階,높은 계급,higher position
高官,높은 관직,a high-ranking official
紐約,뉴욕,New York City
紐西蘭,뉴질랜드,New Zealand
能力,능력,Ability
效率,능률,efficiency
伯恩斯,니컬러스 번스,Nicholas Burns
階段,단계,stage
答案,답안,Answer
黨,당,Party
黨部,당 본부,party headquarters
黨內,당내,within the party
黨外,당외,outside the party
黨員,당원,Party members
黨籍,당적,Party membership
遭遇,당하다,encounter
黨章,당헌,Party Constitution
台美,대-미,Taiwan-US
代價,대가,cost
大國,대국,great nation
大陸,대륙,Continent
大陸國家,대륙국가,Continental states
陸委會,대륙위원회,Mainland Affairs Council
台灣,대만,Taiwan
台軍,대만 군대,Taiwanese military
台幣,대만 달러,New Taiwan dollar
台商,대만 상인,Taiwanese businessman
友台,대만 우호,Pro-Taiwan
台股,대만 주식,Taiwan Stock
台大,대만대학교,National Taiwan University
保台,대만을 보호하다,protect Taiwan
對台,대만을 향한,facing Taiwan
犯台,대만침범,Taiwan invasion
大使,대사,Ambassador
待遇,대우,Treatment
大戰,대전,Great war
貸款,대출,Loans
總統,대통령,President
代表,대표자,Representative
大廠,대형 공장,a large factory
對話,대화,Dialogue
大會,대회,General Assembly
鄧小平,덩샤오핑,Deng Xiao-ping
道德,도덕,Morality
道路,도로,Roads
城市,도시,City
封城,도시봉쇄,city lockdown
戰書,도전장,written challenge to war
東京,도쿄,Tokyo
德國,독일,Germany
錢,돈,money
東南亞,동남아시아,Southeast Asia
動力,동력,power
盟友,동맹,ally
盟國,동맹국,Allies
結盟,동맹을 맺다,form an alliance with
東方,동방,East
東亞,동아시아,East Asia
動員,동원하다,mobilize
動作,동작,gesture
同志,동지,comrade
同胞,동포,compatriots
東風,동풍,east wind
東海,동해,East China Sea
無人機,드론,drone
登場,등장,appear
數位,디지털,digital
土地,땅,land
賴清德,라이칭더,Lai Ching-te
俄方,러시아측,Russian side
俄烏,러우,Russian-Ukrainian
角力,레슬링,wrestling
雷達,레이더,Radar
雷根,로널드 레이건,Ronald Reagan
火箭,로켓,Rockets
盧秀燕,루슈옌,Lu Shiow-yen
劉德音,류더인,Mark Liu
領袖,리더,leader
領導,리더쉽,Leadership
李登輝,리덩후이,Lee Teng-hui 
李顯龍,리셴룽,Lee Hsien Loong
李克強,리커창,Li Keqiang
立陶宛,리투아니아,Republic of Lithuania
林佳龍,린자롱,Lin Chia-lung
林智堅,린즈젠,Lin Chih-chien
馬曉光,마샤오광,Ma Xiaoguang
口罩,마스크,Mask
毛澤東,마오쩌둥,Mao Zedong 
馬英九,마잉주,Ma Ying-jeou
澳門,마카오,Macao
幕僚,막료,a staff member
會晤,만나다,meet
基層,말단,grassroots
馬來西亞,말레이시아,Malaysia
對岸,맞은편,the opposite side
盟邦,맹방,allies
苗栗,먀오리,Miaoli
訊息,메시지,information
美麗島,메이리다오,the Formosa
機制,메커니즘,Mechanisms
會面,면회,meet
名義,명목,nominal
莫斯科,모스크바,Moscow
母艦,모함,mother ship
目的,목적,Objectives
目標,목표,Goals
武器,무기,Weapons
舞台,무대,stage
武力,무력,force of arms
武統,무력통일,forced reunification
武裝,무장,armed
文明,문명,civilization
文物,문물,cultural artifact
問題,문제,Question(s)
文化,문화,Culture
物價,물가,Prices
物流,물류,Logistics
物資,물자,material goods
美台,미-대,US-Taiwan
美國,미국,United States
美國國務院,미국 국무부,U.S. State Department
美國商務部,미국 상무부,U.S. Department of Commerce
美國聯邦眾議院,미국 연방 하원,U.S. House of Representatives
美國國會,미국 의회,U.S. Congress
美國眾議院,미국 하원,U.S. House of Representatives
美國海軍,미국 해군,United States Navy
美歐,미국과 유럽,United States and Europe
美軍,미군,U.S. military
雙城,미네소타 트윈스,Minnesota Twins
美中,미중,US-China
美中台,미중대,U.S.-China-Taiwan
民間,민간,the private sector
民生,민생,people's livelihood
民意,민의,public opinion
民主,민주,Democracy 
民主自由,민주자유,democratic freedom
民眾,민중,people
民眾黨,민중당,Taiwan People's Party
民進黨,민진당,Democratic Progressive Party (DPP)
密集,밀집하다.,dense
海洋,바다,Oceans
病毒,바이러스,Virus
博士,박사,PhD
半導體,반도체,semiconductor
訪團,방문단,visiting delegation
無法,방법이 없다,There is no way.
方案,방안,measures
防衛省,방위성,Ministry of Defence
方針,방침,policy
專屬,배타적,exclusive
電池,배터리,Battery
白皮書,백서,White paper
疫苗,백신,Vaccines
白宮,백악관,White House
白紙,백지,white paper
範圍,범위,scope
法律,법률,Law
法案,법안,Bill
院議,법원 회의,court discussions
法人,법인,corporation
法治,법치,Rule of law
北京,베이징,Beijing
越南,베트남,Vietnam
變數,변수,variable
轉型,변혁,transformation
兵力,병력,military strength
病例,병례,medical case
兵役,병역,Military service
醫院,병원,Hospitals
補貼,보조금,Subsidies
福祉,복지,welfare
總部,본부,Headquarters
本土,본토,mainland
封鎖,봉쇄하다,block
財富,부,Wealth
部隊,부대,Troops
負面,부정적,negative
組件,부품,Components
北約,북대서양조약기구,North Atlantic Treaty Organization (NATO)
北韓,북한,Democratic People's Republic of Korea
紅線,붉은 실,red thread
布林肯,블링컨,Blinken
費用,비용,Cost
比重,비중,proportion
飛機,비행기,airplane
大數據,빅데이터,Big data
大廈,빌딩,building
債,빚,debt
案件,사건,Cases
社交,사교,socializing
消失,사라지다.,disappear
司令,사령관,Commander-in-chief
司令部,사령부,headquarters
案例,사례,Case study
事務,사무,affairs
秘書長,사무총장,Secretary-General
司法,사법,judiciary
士兵,사병,Soldier
思想,사상,thought
事業,사업,business
知情,사정을 알다,be aware of
社會,사회,Society (disambiguation)
產業鏈,산업 체인,industrial chain
旗下,산하,subsidiary
三星,삼성,Samsung
商,상,commercial
對方,상대방,opponent
漲幅,상승폭,increase amount
商業,상업,Commercial activities
商機,상업 기회,business opportunity
上市,상장,listed (stock)
商品,상품,Commodities
上海,상하이,Shanghai
新局,새로운 정세,new situation
思維,생각,thought
生物,생물,living things
產量,생산량,Production capacity
廠商,생산자,Manufacturers
生態,생태,Ecological
夏立言,샤리옌,Andrew Hsia
廈門,샤먼,Xiamen
平民,서민,Civilian
西方,서방,the West
伺服器,서버,Server
西太平洋,서태평양,Western Pacific Ocean
石油,석유,Oil (disambiguation)
底線,선,limit
選情,선거 상황,election sentiment
選區,선거구,electoral district
宣言,선언,Declaration
宣告,선언하다,declare
深圳,선전시,Shenzhen City
島國,섬나라,Island countries
聲量,성량,volume
成長率,성장률,growth rate
成長,성장하다.,grow
成績,성적,score
世界,세계,world
環球,세계 각지,worldwide
全球化,세계화,Globalization
海關,세관,Customs
稅,세금,tax
強勢,세다,strong
勢力,세력,power
細節,세부 사항,Details
