chinese,count,korean,english
中國,76585,중국,People's Republic of China
台灣,64126,대만,Taiwan
美國,26647,미국,United States
疫情,16328,팬데믹,pandemic
國家,14149,국가,Country
經濟,13096,경제,Economy
國民黨,13062,국민당,Kuomintang
政府,12543,정부,Government
台北市,12183,타이베이시,Taipei City
日本,11199,일본,Japan
習近平,10558,시진핑,Xi Jinping
總統,10083,대통령,President
國際,9916,국제,International
俄國,9337,러시아,Russia
烏國,9083,우크라이나,ukraine
政策,9024,정책,Policies
全球,7999,글로벌,global
人民,7905,국민,people
台灣海峽,7839,대만해협,Taiwan Strait
民進黨,7663,민진당,Democratic Progressive Party (DPP)
民主,7641,민주,Democracy 
政治,7635,정치,Politics
北京,7553,베이징,Beijing
問題,7506,문제,Question(s)
兩岸,7141,양안,Cross-Strait
軍事,6772,군사,Military
主席,5781,주석,President
民眾,5699,민중,people
和平,5549,평화,peace
疫苗,5529,백신,Vaccines
香港,5362,홍콩,Hong Kong
環球,5277,세계 각지,worldwide
市場,5242,시장,market
肺炎,5102,폐렴,Pneumonia
病毒,5068,바이러스,Virus
代表,4903,대표자,Representative
上海市,4886,상하이 시,shanghai city
武漢,4672,우한,wuhan
政黨,4564,정당,Political parties
裴洛西,4403,펠로시,Pelosi
導彈,4288,미사일,Missiles (disambiguation)
戰略,4205,전략,Military strategy
半導體,3913,반도체,semiconductor
國防部,3843,국방부,Ministry of Defence
企業,3744,기업,Business enterprises
中央,3730,중앙,Central
社會,3699,사회,Society (disambiguation)
軍,3681,군,military
本土,3671,본토,mainland
戰爭,3658,전쟁,War
台積電,3650,TSMC,TSMC Corporation
能力,3421,능력,Ability
外交部,3414,외교부,Ministry of Foreign Affairs
產業,3395,산업,Industries
議員,3385,의원,Member of Parliament
議題,3260,이슈,issue
計劃,3241,계획,plan
蔡英文,3213,차이잉원,Tsai Ing-wen
病例,3170,병례,medical case
風險,3148,위험,Risks
國內,3147,국내,Domestic
晶圓,3122,웨이퍼,Wafer
官員,3068,관원,Official
會議,3018,회의,Meeting
外交,2996,외교,Foreign relations
市長,2893,시장,Mayor
歐洲,2854,유럽,Europe
武,2814,무력,force
軍演,2802,군사 훈련,military exercises
國民,2791,국민,citizen
網友,2767,네티즌,Internet users
制裁,2524,제재,Sanctions
交流,2514,교류,Communication
英國,2499,영국,United Kingdom
科技,2441,과학 기술,Science and technology
危機,2429,위기,crisis
主權,2376,주권,sovereignty
中華民國,2372,중화민국,Republic of China
技術,2343,기술,Technology
印太地區,2282,인도태평양 지역,Indo-Pacific region
澳洲,2269,오스트레일리아,Australia
立場,2269,입장,Position
關鍵,2230,관건,key
產品,2202,제품,Products
董事,2192,이사,director
俄烏戰爭,2174,러시아-우크라이나 전쟁,Russo-Ukrainian War
亞洲,2137,아시아,Asia
國外,2109,국외,Overseas
目標,2103,목표,Goals
美國聯邦眾議院,2091,미국 연방 하원,U.S. House of Representatives
德國,2077,독일,Germany
朱立倫,2066,주리룬,Chu Li-lun
普廷,2044,푸틴,putin
專家,2041,전문가,Experts
歷史,2028,역사,History
雙方,2023,쌍방,both sides
現況,2015,현황,Current status
西方,2001,서방,the West
冠狀,1980,코로나,corona
柯文哲,1976,커원저,Ko Wen-je
台中市,1967,타이중시,Taichung City
機會,1966,기회,opportunity
高雄市,1964,가오슝시,Kaohsiung City
韓國,1954,한국,Korea
印度,1946,인도,India
價值,1922,가치,value
電子,1905,전자,Electronics
醫療,1900,의료,Medical
金融,1838,금융,finance
全體,1837,전체,all
病,1822,병,disease
利益,1820,이익,Interests
文化,1818,문화,Culture
基礎,1818,기초,foundation
武器,1807,무기,Weapons
新北市,1795,신베이 시,New Taipei City
蔣萬安,1790,장완안,Chiang Wan-an
行政院,1783,행정원,Executive Yuan
無人機,1777,드론,drone
陸委會,1767,대륙위원회,Mainland Affairs Council
台幣,1753,대만 달러,New Taiwan dollar
金門縣,1738,진먼현,Kinmen County
醫院,1735,병원,Hospitals
台商,1729,대만 상인,Taiwanese businessman
國會,1727,국회,National Assembly
國軍,1726,국군,Armed Forces
外界,1712,외부,the outside world
人權,1706,인권,Human rights
法案,1696,법안,Bill
基金,1683,펀드,Fund
領空,1678,영공,airspace
價格,1675,가격,Price
核酸,1640,핵산,nucleic acid
力量,1634,힘,strength
壓力,1632,압력,pressure
桃園市,1631,타오위안시,Taoyuan City
建議,1631,조언,Recommendations
聲明,1607,진술,Declaration
學者,1584,학자,Scholar
選人,1573,임원선거,elect
學生,1567,학생,Students
海域,1519,해역,sea area
全國,1511,전국,nationwide
領袖,1498,리더,leader
地位,1495,지위,Status
封城,1486,도시봉쇄,city lockdown
態度,1484,태도,attitude
抗議,1477,항의,protest
利用,1461,이용,make use of
領導人,1454,지도자,Leader
夏立言,1450,샤리옌,Andrew Hsia
總理,1450,총리,Prime Minister 
食品,1448,식품,Foodstuffs
兩國,1420,양국,two countries
中華,1418,중화,Chinese nationality
太平洋,1415,태평양,Pacific Ocean
中國共產黨,1408,중국 공산당,Communist Party of China
共軍,1389,공산군,Communist army
高峰會,1389,정상회담,summit
業者,1367,업자,businessman
警告,1355,경고,warn
入境,1349,입국,Entry into the country
市府,1341,시청,city hall
環境,1334,환경,Environment
財經,1313,재정과 경제,finance and economy
基地,1306,기지,Base
成員,1301,구성원,Members
總書記,1295,총서기,General Secretary
規定,1289,규정,Regulations
銀行,1285,은행,Bank
考量,1283,고려,consideration
原則,1278,원칙,Principles
國際社會,1277,국제 사회,International community
立陶宛,1272,리투아니아,Republic of Lithuania
全世界,1264,전세계,worldwide
戰機,1263,전투기,warplane
委員,1258,위원,committee member
城市,1254,도시,City
軍機,1253,군용기,military aircraft
華府,1246,워싱턴 D.C.,"Washington, D.C."
檔案,1234,파일,files
規劃,1230,계획,Plan
目的,1229,목적,Objectives
美中,1226,미중,US-China
朋友,1223,친구,Friend
手段,1195,수단,means
勢力,1188,세력,power
大會,1186,대회,General Assembly
人口,1183,인구,Population
趨勢,1180,추세,Trend
海外,1170,해외,overseas
市民,1159,시민,citizen
機場,1159,공항,Airports
馬英九,1158,마잉주,Ma Ying-jeou
協議,1157,협의,agreement
言論,1152,언론,speech
能源,1152,에너지,Energy sources
領導,1150,리더쉽,Leadership
台南市,1149,타이난 시,Tainan City
直言,1145,직설,direct speech
九二共識,1141,92공식,The 1992 Consensus
大陸,1137,대륙,Continent
政權,1136,정권,governmental force
共識,1135,공통의 인식,Consensus
台美,1128,대-미,Taiwan-US
策略,1123,전략,strategy
新加坡,1123,싱가포르,Singapore
企圖,1119,의도,intention
核心,1115,핵심,core
部隊,1112,부대,Troops
蘇貞昌,1103,쑤전창,Su Tseng-chang
對台,1099,대만을 향한,facing Taiwan
大使,1089,대사,Ambassador
學校,1085,학교,School
新冠,1084,코로나19,New coronavirus
一中,1083,하나의 중국,One-China policy
國台辦,1079,중국 대만사무소,National Taiwan Affairs Office
官,1078,관청,official
商,1071,상,commercial
口罩,1070,마스크,Mask
藥品,1069,약품,medicine
航空,1065,항공,Air transportation
事務,1064,사무,affairs
標準,1051,표준,Standards
安倍,1047,아베,Abe (disambiguation)
軍艦,1036,군함,warship
民族,1033,민족,Ethnic groups
經貿,1030,경제 무역,Economic and trade relations
島嶼,1021,섬,Island
威權,1008,위세,authority
資源,1006,자원,Resources
兒童,1003,어린이,children
行政,998,행정,Administration
國務,998,국무,state affairs
資金,992,자금,Funding
盟友,990,동맹,ally
協會,986,협회,Association
新疆,979,신장,Xinjiang
主委,978,주임 위원,chairperson
成本,974,원가,Cost
秩序,974,질서,order
重要性,968,중요성,Importance
廠商,968,생산자,Manufacturers
民意,965,민의,public opinion
無法,965,방법이 없다,There is no way.
布林肯,963,블링컨,Blinken
空軍,962,공군,Air Force
重症,960,중증,severe illness
行程,960,여정,itinerary
白宮,958,백악관,White House
居民,957,주민,inhabitants
範圍,954,범위,scope
方案,950,방안,measures
法國,949,프랑스,France
訊息,948,메시지,information
首長,947,우두머리,chief
南海,945,남해,South China Sea
智庫,944,싱크탱크,think tank
錢,943,돈,money
結構,943,구조,Structure
投票,942,투표,vote
責任,933,책임,Responsibility
機關,933,기관,institute
客戶,932,거래처,Clients
北韓,926,북한,Democratic People's Republic of Korea
權力,925,권력,Power
研究所,922,연구소,Research institutes
部署,922,배치,Deployment
法律,919,법률,Law
電話,916,전화,Telephone
條件,914,조건,condition
錯誤,912,잘못,Mistake
空間,908,공간,Space
症狀,908,증상,symptoms
民間,904,민간,the private sector
議會,900,의회,Parliament
通報,899,통보하다,notice
地緣,898,지연,geopolitics
階段,893,단계,stage
領土,892,영토,Territories
外國,890,외국,Foreign countries
高層,887,고층,high position
公告,883,공고,public announcement
犯台,873,대만침범,Taiwan invasion
加拿大,871,캐나다,Canada
首度,867,처음,first time
機制,867,메커니즘,Mechanisms
越南,863,베트남,Vietnam
優勢,860,우세,advantage
海軍,858,해군,Navy
聯合國,856,유엔,United Nations
意識,853,의식,Consciousness
身分,850,신분,identity
陽性,848,양성,positive
路線,847,노선,route
手機,846,휴대전화,Cell phones
黃珊珊,845,황산산,Huang San-san
海上,844,해상,at sea
小三通,837,소삼통,small three-way connection
情報,834,정보,information
北約,827,북대서양조약기구,North Atlantic Treaty Organization (NATO)
信心,826,자신감,confidence
民主自由,823,민주자유,democratic freedom
戰力,819,전력,military strength
石斑魚,814,우럭,grouper
張善政,812,장산정,Chang San-cheng
國安,812,국가안보,national security
美軍,811,미군,U.S. military
旅客,808,여행객,Travellers
花蓮縣,807,화롄현,Hualien County
全民,798,전 국민,the whole nation
理事,794,이사,director
曹興誠,793,차오싱청,Tsao Xing-cheng
官媒,791,관영 매체,state-run media
軍方,783,군부대,Military
宜蘭縣,782,이란 현,ilan county
團體,780,단체,group
人才,779,인재,talent
資深,767,경력이 풍부한,senior
居家,765,재택,stay-at-home
林佳龍,761,린자롱,Lin Chia-lung
規範,759,규범,code
汽車,758,자동차,Motor vehicles
航行,753,항해,sail
體制,752,체제,system
工廠,752,공장,Factory
賴清德,743,라이칭더,Lai Ching-te
債,737,빚,debt
秘書長,735,사무총장,Secretary-General
角色,733,역할,Character (characters)
會面,732,면회,meet
交易,731,거래,trade
航班,725,항공편,Flights
民調,713,여론조사,public opinion poll
代工,713,위탁생산자,original equipment manufacturing
黨籍,709,당적,Party membership
嘉義縣,708,자이현,Chiayi County
病人,707,환자,patient
感染者,705,감염자,infected person
紀錄,704,기록,record
泰國,702,태국,Thailand
決心,702,결심,determination
貨幣,695,화폐,Currency
主管,693,매니저,head of a department
醫師,693,의사,doctors
吳釗燮,692,우자오셰,Wu Jau-shieh
可能性,691,가능성,possibility
防衛省,691,방위성,Ministry of Defence
視訊,689,영상통화,video call
警方,689,경찰 측,Police officers
觀光,688,관광하다,sightseeing
民眾黨,684,민중당,Taiwan People's Party
工程,684,공정,progress/process
王定宇,681,왕딩위,wang ting-yu
距離,681,거리,distance
台股,680,대만 주식,Taiwan Stock
傳統,678,전통,Tradition
屏東縣,677,핑둥현,pingtung county
黨內,676,당내,within the party
農業,676,농업,agriculture
軍人,676,군인,soldiers
任期,674,임기,Term of office
邊境,674,국경,Borders
鄭運鵬,672,정윈펑,Cheng Yun-peng
理念,668,이념,philosophy
專制,667,전제,despotic
精神,667,정신,spirit
商品,666,상품,Commodities
侯友宜,660,허우유이,Hou You-yi
自衛隊,660,자위대,Self-Defense Forces
陰性,654,음성,negative result
物資,654,물자,material goods
實質,648,본질,substance
科學,647,과학,Science
行徑,646,행동,behavior
中線,645,중앙선,Midline
智慧,645,지혜,wisdom
專業,644,전공,Profession
苗栗,642,먀오리,Miaoli
案例,641,사례,Case study
實力,635,실력,capibility
體系,635,체계,system
外資,633,외화자금,Foreign investment
東京,630,도쿄,Tokyo
貢獻,630,공헌,contribute
印尼,628,인도네시아,Indonesia
票,627,표,ticket
基隆市,626,지룽 시,Keelung City
意圖,617,의도,Intention
鄭州,616,정저우,zhengzhou 
焦點,613,초점,focus
族群,613,민족,ethnic group
菲律賓,613,필리핀,Philippiness
疾病,612,질병,Illness
登場,611,등장,appear
庫存,610,재고,Stockpile
王必勝,608,왕비성,Wang Pi-sheng
交通,608,교통,traffic
選民,607,유권자,electorate
工業,607,산업,Industry
代價,605,대가,cost
商業,604,상업,Commercial activities
龐皮歐,603,마이크 폼페오,michael pompeo
材料,603,재료,Material
鴻海,597,폭스콘,Foxconn
證實,595,증명하다,prove
藍營,595,남색캠프,Blue camp
評論,594,평가,Comment
工具,593,공구,Tools
員工,592,직원,Staffs
資產,592,자산,Assets
雲林縣,589,윈린현,yunlin county
三星,588,삼성,Samsung
糧食,588,식량,Food
權利,585,권리,Rights
黨部,583,당 본부,party headquarters
外媒,578,외국매체,Foreign media
土地,577,땅,land
台大,576,대만대학교,National Taiwan University
教學,575,가르치다,teaching
現任,574,현직,incumbent
股市,572,주식 시장,Stock market
修正,571,수정,amend
來源,571,출처,Source of information
封鎖,569,봉쇄하다,block
行為,567,행위,behavior
石油,565,석유,Oil (disambiguation)
成果,562,성과,Outcome
抗中保台,559,항중보대,Resist China Protect Taiwan
美台,556,미-대,US-Taiwan
法人,555,법인,corporation
澎湖,553,펑후,Penghu
股價,552,주가,stock price
程序,550,절차,Procedure (disambiguation)
美國國會,546,미국 의회,U.S. Congress
衛福部,545,위생복지부,Ministry of Health and Welfare
憲法,544,헌법,Constitution
專案,542,프로젝트,project
邱垂正,539,추추이정,chiu chui-cheng
安倍晉三,539,아베 신조,Prime Minister Shinzo Abe
藥物,538,약물,Drugs
協商,538,협상,consultation
蔣經國,537,장징궈,Chiang Ching-kuo
韌性,536,근성,toughness
意志,535,의지,will
經驗,533,경험,Experience
澳門,533,마카오,Macao
大國,533,대국,great nation
數位,532,디지털,digital
機械,531,기계,Mechanic
野心,530,야심,ambition
