chinese,count,korean,english
中國,6475,중국,People's Republic of China
台灣,5406,대만,Taiwan
美國,2301,미국,United States
疫情,1917,팬데믹,pandemic
習近平,1625,시진핑,Xi Jinping
國家,1399,국가,Country
經濟,1199,경제,Economy
政府,1168,정부,Government
疫苗,1003,백신,Vaccines
政策,938,정책,Policies
問題,909,문제,Question(s)
人民,898,국민,people
北京,896,베이징,Beijing
全球,851,글로벌,global
總統,833,대통령,President
國民黨,823,국민당,Kuomintang
國際,787,국제,International
日本,782,일본,Japan
政治,777,정치,Politics
民眾,753,민중,people
民進黨,748,민진당,Democratic Progressive Party (DPP)
兩岸,709,양안,Cross-Strait
民主,659,민주,Democracy 
烏國,648,우크라이나,ukraine
俄國,645,러시아,Russia
台灣海峽,634,대만해협,Taiwan Strait
病例,630,병례,medical case
環球,590,세계 각지,worldwide
台積電,589,TSMC,TSMC Corporation
和平,586,평화,peace
本土,572,본토,mainland
台北市,564,타이베이시,Taipei City
市場,548,시장,market
病毒,547,바이러스,Virus
政黨,526,정당,Political parties
中央,505,중앙,Central
國外,476,국외,Overseas
蔡英文,469,차이잉원,Tsai Ing-wen
軍事,455,군사,Military
半導體,454,반도체,semiconductor
主席,454,주석,President
議題,446,이슈,issue
代表,413,대표자,Representative
入境,409,입국,Entry into the country
社會,405,사회,Society (disambiguation)
產業,401,산업,Industries
能力,394,능력,Ability
戰略,392,전략,Military strategy
企業,383,기업,Business enterprises
香港,374,홍콩,Hong Kong
醫療,358,의료,Medical
英國,352,영국,United Kingdom
戰爭,348,전쟁,War
會議,347,회의,Meeting
蔣萬安,346,장완안,Chiang Wan-an
計劃,345,계획,plan
國內,345,국내,Domestic
上海市,320,상하이 시,shanghai city
國民,318,국민,citizen
高雄市,315,가오슝시,Kaohsiung City
風險,315,위험,Risks
市長,308,시장,Mayor
金門縣,308,진먼현,Kinmen County
官員,305,관원,Official
核酸,300,핵산,nucleic acid
外交,280,외교,Foreign relations
科技,280,과학 기술,Science and technology
新冠,276,코로나19,New coronavirus
醫院,271,병원,Hospitals
大陸,268,대륙,Mainland
旅客,262,여행객,Travellers
武,262,무력,force
網友,261,네티즌,Internet users
歐洲,261,유럽,Europe
議員,261,의원,Member of Parliament
德國,260,독일,Germany
肺炎,258,폐렴,Pneumonia
重症,253,중증,severe illness
蘇貞昌,253,쑤전창,Su Tseng-chang
機會,253,기회,opportunity
晶圓,249,웨이퍼,Wafer
周玉蔻,249,저우위커우,Chou Yu-kou
基礎,245,기초,foundation
外交部,243,외교부,Ministry of Foreign Affairs
總書記,239,총서기,General Secretary
王必勝,239,왕비성,Wang Pi-sheng
小三通,239,소삼통,small three-way connection
雙方,233,쌍방,both sides
關鍵,233,관건,key
高峰會,233,정상회담,summit
委員,228,위원,committee member
交流,228,교류,Communication
立場,227,입장,Position
宜蘭縣,225,이란 현,ilan county
利益,225,이익,Interests
領導人,223,지도자,Leader
專家,223,전문가,Experts
疾病,222,질병,Illness
產品,221,제품,Products
嘉義縣,220,자이현,Chiayi County
全體,219,전체,all
韓國,219,한국,Korea
目標,217,목표,Goals
柯文哲,213,커원저,Ko Wen-je
印度,212,인도,India
西方,210,서방,the West
外界,209,외부,the outside world
技術,209,기술,Technology
藥品,209,약품,medicine
規定,206,규정,Regulations
俄烏戰爭,200,러시아-우크라이나 전쟁,Russo-Ukrainian War
口罩,197,마스크,Mask
軍,197,군,military
冠狀,195,코로나,corona
新北市,194,신베이 시,New Taipei City
選人,193,임원선거,elect
董事,193,이사,director
總理,192,총리,Prime Minister 
機場,188,공항,Airports
兩國,187,양국,two countries
建議,185,조언,Recommendations
中華民國,185,중화민국,Republic of China
聲明,184,진술,Declaration
現況,182,현황,Current status
歷史,181,역사,History
張善政,181,장산정,Chang San-cheng
導彈,180,미사일,Missiles (disambiguation)
城市,180,도시,City
感染者,179,감염자,infected person
全國,179,전국,nationwide
高端,178,가오두안백신,MVC COVID-19 Vaccine
全世界,178,전세계,worldwide
台中市,177,타이중시,Taichung City
力量,176,힘,strength
規劃,174,계획,Plan
態度,174,태도,attitude
基隆市,173,지룽 시,Keelung City
桃園市,172,타오위안시,Taoyuan City
武器,172,무기,Weapons
鄭運鵬,172,정윈펑,Cheng Yun-peng
市民,171,시민,citizen
價值,171,가치,value
屏東縣,170,핑둥현,pingtung county
法案,170,법안,Bill
黃珊珊,170,황산산,Huang San-san
基金,170,펀드,Fund
領袖,169,리더,leader
苗栗,167,먀오리,Miaoli
台商,167,대만 상인,Taiwanese businessman
中國共產黨,165,중국 공산당,Communist Party of China
印太地區,164,인도태평양 지역,Indo-Pacific region
業者,164,업자,businessman
國防部,163,국방부,Ministry of Defence
亞洲,163,아시아,Asia
利用,162,이용,make use of
考量,160,고려,consideration
危機,159,위기,crisis
制裁,158,제재,Sanctions
澳洲,157,오스트레일리아,Australia
能源,156,에너지,Energy sources
華府,155,워싱턴 D.C.,"Washington, D.C."
印尼,155,인도네시아,Indonesia
領導,155,리더쉽,Leadership
花蓮縣,154,화롄현,Hualien County
責任,154,책임,Responsibility
大會,151,대회,General Assembly
人口,151,인구,Population
趨勢,149,추세,Trend
主權,148,주권,sovereignty
文化,147,문화,Culture
胡錦濤,146,후진타오,President Hu Jintao
雲林縣,146,윈린현,yunlin county
朋友,146,친구,Friend
行政院,145,행정원,Executive Yuan
資源,145,자원,Resources
居民,145,주민,inhabitants
環境,143,환경,Environment
原則,142,원칙,Principles
壓力,142,압력,pressure
人權,141,인권,Human rights
通報,140,통보하다,notice
群眾,139,대중,crowd
中華,139,중화,Chinese nationality
錢,139,돈,money
抗議,139,항의,protest
策略,139,전략,strategy
客戶,138,거래처,Clients
國會,138,국회,National Assembly
地位,137,지위,Status
核心,134,핵심,core
澎湖,134,펑후,Penghu
陽性,134,양성,positive
開票,131,개표,vote counting
陸委會,131,대륙위원회,Mainland Affairs Council
政治局,131,정치국,Politburo
空間,130,공간,Space
價格,130,가격,Price
投票,130,투표,vote
目的,129,목적,Objectives
航班,129,항공편,Flights
美中,129,미중,US-China
台幣,128,대만 달러,New Taiwan dollar
江澤民,127,장쩌민,Jiang Zemin
成員,126,구성원,Members
選民,126,유권자,electorate
秩序,126,질서,order
權力,125,권력,Power
票,125,표,ticket
白宮,125,백악관,White House
加拿大,125,캐나다,Canada
盟友,124,동맹,ally
症狀,123,증상,symptoms
學生,122,학생,Students
北韓,122,북한,Democratic People's Republic of Korea
會面,122,면회,meet
機制,121,메커니즘,Mechanisms
民族,121,민족,Ethnic groups
行政,120,행정,Administration
越南,120,베트남,Vietnam
方案,120,방안,measures
金融,119,금융,finance
法國,118,프랑스,France
病人,117,환자,patient
無人機,117,드론,drone
訊息,116,메시지,information
鄭州,115,정저우,zhengzhou 
王鴻薇,115,왕훙웨이,Wang Hong-wei 
國際社會,115,국제 사회,International community
直言,115,직설,direct speech
新疆,114,신장,Xinjiang
學者,114,학자,Scholar
新加坡,113,싱가포르,Singapore
陰性,113,음성,negative result
黨籍,111,당적,Party membership
抗中保台,111,항중보대,Resist China Protect Taiwan
裴洛西,111,펠로시,Pelosi
朱立倫,110,주리룬,Chu Li-lun
布林肯,110,블링컨,Blinken
島嶼,110,섬,Island
邊境,110,국경,Borders
意識,109,의식,Consciousness
規範,109,규범,code
條件,108,조건,condition
階段,108,단계,stage
居家,108,재택,stay-at-home
無症,107,무증상,asymptomatic
手段,107,수단,means
任期,107,임기,Term of office
電話,107,전화,Telephone
民間,106,민간,the private sector
韌性,105,근성,toughness
美國聯邦眾議院,105,미국 연방 하원,U.S. House of Representatives
協議,105,협의,agreement
無法,105,방법이 없다,There is no way.
優勢,104,우세,advantage
普丁,104,푸틴,Putin
地緣,103,지연,geopolitics
專案,103,프로젝트,project
接種率,102,접종률,vaccination rate
電子,101,전자,Electronics
廠商,101,생산자,Manufacturers
事務,100,사무,affairs
重要性,100,중요성,Importance
商,99,상,commercial
範圍,98,범위,scope
羅一鈞,98,뤄이쥔,lo yi-chun
官,97,관청,official
台股,97,대만 주식,Taiwan Stock
鄉親,97,마을 사람,villager
經貿,97,경제 무역,Economic and trade relations
資金,97,자금,Funding
身分,97,신분,identity
首度,96,처음,first time
民主自由,96,민주자유,democratic freedom
觀光,96,관광하다,sightseeing
好友,95,친한 친구,a close friend
兒童,95,어린이,children
賴清德,95,라이칭더,Lai Ching-te
藥物,94,약물,Drugs
泰國,94,태국,Thailand
論文,94,논문,Thesis paper
台大,93,대만대학교,National Taiwan University
馬斯克,93,일론 머스크,Elon Musk 
結構,93,구조,Structure
部隊,92,부대,Troops
角色,92,역할,Character (characters)
言論,92,언론,speech
信心,92,자신감,confidence
義大利,92,이탈리,Italy
義大利,92,이탈리아,Italy
工程,91,공정,progress/process
研究所,91,연구소,Research institutes
同胞,91,동포,compatriots
一中,91,하나의 중국,One-China policy
醫師,91,의사,doctors
軍演,90,군사 훈련,military exercises
曹興誠,90,차오싱청,Tsao Xing-cheng
行程,89,여정,itinerary
員工,89,직원,Staffs
政見,88,후보 정책,policy stances
白紙,88,백지,white paper
馬英九,88,마잉주,Ma Ying-jeou
高虹安,88,가오훙안,kao hung-an
現任,88,현직,incumbent
勢力,87,세력,power
外國,87,외국,Foreign countries
科學,86,과학,Science
王美花,86,왕메이화,Wang Mei-hua
共識,86,공통의 인식,Consensus
食品,85,식품,Foodstuffs
族群,85,민족,ethnic group
鴻海,85,폭스콘,Foxconn
可能性,85,가능성,possibility
關心,85,관심,interest
住院,84,입원,hospitalization
政權,84,정권,governmental force
標準,84,표준,Standards
高層,84,고층,high position
馬來西亞,83,말레이시아,Malaysia
交通,83,교통,traffic
海外,83,해외,overseas
焦點,83,초점,focus
國軍,83,국군,Armed Forces
金馬,83,진먼-마주,kinmen-matsu
汪洋,82,넓은 바다,vast ocean
吳釗燮,82,우자오셰,Wu Jau-shieh
經驗,82,경험,Experience
富士康,81,폭스콘,Foxconn
專業,81,전공,Profession
基層,80,말단,grassroots
戰力,80,전력,military strength
廣東,80,광둥,Guangdong
莊人祥,80,장런샹,chuang jen-hsiang
艦隊,80,함대,Fleet
國務院,79,국무원,State Council
企圖,79,의도,intention
王毅,79,왕이,Wang Yi
全民,79,전 국민,the whole nation
民眾黨,79,민중당,Taiwan People's Party
軍委,79,군사 위원회,Military Commission
蔡其昌,78,차이치창,Tsai Chi-chang
黨內,78,당내,within the party
民意,78,민의,public opinion
權利,77,권리,Rights
雙邊,77,쌍방,bilateral
慢性病,76,만성질환,chronic disease
中國大陸,76,중국대륙,Mainland China
理事,76,이사,director
市府,76,시청,city hall
老人,76,노인,elderly
精神,76,정신,spirit
手機,76,휴대전화,Cell phones
理念,75,이념,philosophy
威權,75,위세,authority
領土,74,영토,Territories
主委,74,주임 위원,chairperson
基地,74,기지,Base
綠營,74,녹영,Green camp
江聰淵,73,장총위안,chiang tsung-yuan
警告,73,경고,warn
布局,73,배치,layout
首長,73,우두머리,chief
事業,73,사업,business
指揮官,73,지휘관,commander
柯志恩,72,커즈언,ko chih-en
法律,72,법률,Law
兵役,72,병역,Military service
