chinese,korean,english
中國,중국,People's Republic of China
台灣,대만,Taiwan
美國,미국,United States
大陸,대륙,Continental
經濟,경제,Economy
國家,국가,Country
政府,정부,Government
習近平,시진핑,Chinese President Xi Jinping
問題,문제,Question(s)
政策,정책,Policies
兩岸,양안,both sides of the Taiwan Strait
國際,국제,International
政治,정치,Politics
總統,대통령,President
日本,일본,Japan
俄羅斯,러시아,Russian Federation
全球,글로벌,global
烏克蘭,우크라이나,Ukraine national football team
北京,베이징,Peking
軍事,군사,Military
戰略,전략,Strategy
人民,국민,people
台海,타이 해,Taiwan Strait (People's Republic of China)
和平,평화롭다.,Peaceful
市場,시장,market
民進黨,민진당,Democratic Progressive Party (DPP)
疫情,전염병 상황,Outbreaks
國民黨,국민당,Kuomintang (People's Republic of China)
裴洛西,펠로시,Palosi (disambiguation)
世界,세계,the world
企業,기업,Business enterprises
民主,민주주의,Democracy (disambiguation)
代表,대표자,Representative
主席,주석,President
雙方,쌍방,both sides
半導體,반도체,semiconductor
德國,독일,Germany
外交,외교,Foreign relations
台積電,TSMC,TSMC Corporation
產業,산업,Industries
中美,중미,Central America
民眾,민중,people
能力,능력,Ability
社會,사회,Society (disambiguation)
外交部,외교부,Ministry of Foreign Affairs
香港,홍콩,Hong Kong (People's Republic of)
晶片,웨이퍼,wafer
兩國,양국,two countries
議題,의제,Topics
歐洲,유럽,Europe
會議,회의,Meetings
危機,위기,crisis
台北市,타이베이 시,City of Taipei
戰爭,전쟁,War (disambiguation)
利益,이익,Interests
西方,서방,the West
軍,군,military
風險,위험,Risks
官員,관원,Official
制裁,제재하다,Sanctions
科技,과학 기술,Science and technology
歷史,역사,History
立場,입장,Positioning
軍演,군사 훈련,military exercises
目標,목표,Goals
技術,기술,Technology
英國,영국,United Kingdom of Great Britain and Northern Ireland
蔡英文,차이잉원,Tsai Ing-wen (disambiguation)
俄烏戰爭,러시아-우크라이나 전쟁,Russo-Ukrainian War of Independence
交流,교류,Communication
基礎,기초,foundation
關鍵,관건,key
飛彈,미사일,Missile (aircraft)
國防部,국방부,Ministry of Defence
中國大陸,중국대륙,People's Republic of China
黨,당,Party (disambiguation)
印度,인도,India national football team
領導人,지도자,Leaders of the United States
中央,중앙,Central government
韓國,한국,Korea
俄國,러시아,Russia (disambiguation)
國內,국내,Domestic
主權,주권,sovereignty
美中,옥에 티,U.S. and China
計畫,계획하다.,plan
勢力,세력,power
能源,에너지,Energy sources
聲明,성명,Declaration
金融,금융,finance
產品,제품,Products
峰會,정상 회담,summit
議員,의원,Member of Parliament
印太,인도,Indo-Pacific region
機會,기회,opportunity
武器,무기,Weapons
市長,시장,Mayor of the United States
法案,법안,Bill of Rights
現狀,현상,Current status
原則,원칙,Principles
專家,전문가,Experts
疫苗,백신,Vaccines (disambiguation)
亞洲,아시아,Asia (disambiguation)
中華民國,중화민국,Republic of China
上海,상하이,City of Shanghai
武力,무력,force of arms
地位,지위,Status
澳洲,오스트레일리아,Australian national football team
價值,가치,value
基金,펀드,Fund
新冠,코로나19,New coronavirus
核心,핵심,core
壓力,압력,pressure
態度,태도,attitude
總理,총리,Prime Minister of the People's Republic of China
中華,중화,Chinese nationality
文化,문화,Culture
民族,민족,Ethnic groups
協議,프로토콜,Agreements
台商,대만 상인,Taiwanese businessman
環境,환경,Environment
價格,가격,Price
地緣,지연,geographical region
力量,힘,strength
普丁,푸딩,Putin (disambiguation)
外界,외부,the outside world
政黨,정당,Political parties
經貿,경제 무역,Economic and trade relations
戰,싸우다,fight
台灣海峽,타이완 해협,Straits of Taiwan
盟友,맹우,ally
共軍,공산군,Communist army
總書記,총서기,General Secretary
王毅,왕이,Wang Yi (disambiguation)
國會,국회,National Assembly of the United States
領導,이끌다.,Leadership
領土,영토,Territories
北約,북대서양조약기구,North Atlantic Treaty Organization (NATO)
策略,책략,strategy
海域,해역,sea area
無人機,드론,Unmanned aerial vehicles
共識,컨센서스,Consensus (disambiguation)
目的,목적,Objectives
南海,남해,South China Sea
白宮,백악관,White House (disambiguation)
大國,대국,great power
警告,경고한다.,warn
大使,대사,Ambassador to the United Nations
太平洋,태평양,Pacific Ocean (disambiguation)
學者,학자,Scholarly
布林肯,블링컨,Brinkling (disambiguation)
事務,사무,Services
建議,조언,Recommendations
成員,구성원,Members
新加坡,싱가포르,Singapore national football team
領袖,영도자,leader
空間,공간,Space (disambiguation)
整體,전체,whole
病毒,바이러스,Virus (disambiguation)
優勢,우세,advantage
人權,인권,Human rights
秩序,질서,order
國際社會,국제 사회,International community
電子,전자,Electronics
資金,자금,Funding
印尼,인도네시아,Indonesian national football team
九二共識,92. 컨센서스,The 1992 Consensus
資源,자원,Resources
業者,업자,businessman
機制,메커니즘,Mechanisms
一中,일등,First Middle School
基地,기지,Base (disambiguation)
利用,이용하다.,make use of
董事,이사,director
言論,언론,speech
法國,프랑스,France
方案,방안,Programmes
範圍,범위,scope
趨勢,추세,Trending
朱立倫,주리룬,Jullien (disambiguation)
聯合國,국제 연합,UNITED NATIONS
全國,전국,nationwide
委員,위원,Commissioners
