chinese,count,korean,english
中國,76585,중국,People's Republic of China
台灣,64126,대만,Taiwan
美國,26647,미국,United States
疫情,16328,전염병 상황,Outbreaks
國家,14149,국가,Country
經濟,13096,경제,Economy
國民黨,13062,국민당,Kuomintang (People's Republic of China)
政府,12543,정부,Government
台北市,11814,타이베이 시,City of Taipei
日本,11199,일본,Japan
習近平,10558,시진핑,Chinese President Xi Jinping
總統,10083,대통령,President
國際,9916,국제,International
政策,9024,정책,Policies
烏克蘭,8567,우크라이나,Ukraine national football team
全球,7999,글로벌,global
人民,7905,국민,people
民進黨,7663,민진당,Democratic Progressive Party (DPP)
民主,7641,민주주의,Democracy (disambiguation)
政治,7635,정치,Politics
北京,7553,베이징,Peking
問題,7506,문제,Question(s)
兩岸,7141,양안,both sides of the Taiwan Strait
軍事,6772,군사,Military
俄羅斯,6764,러시아,Russian Federation
台海,6337,타이 해,Taiwan Strait (People's Republic of China)
主席,5781,주석,President
民眾,5698,민중,people
和平,5549,평화롭다.,Peaceful
疫苗,5529,백신,Vaccines (disambiguation)
香港,5362,홍콩,Hong Kong (People's Republic of)
市場,5242,시장,market
肺炎,5102,폐렴,Pneumonia (disambiguation)
病毒,5068,바이러스,Virus (disambiguation)
世界,4921,세계,the world
代表,4903,대표자,Representative
武漢,4672,마음,mood
上海,4415,상하이,City of Shanghai
裴洛西,4403,펠로시,Palosi (disambiguation)
戰略,4205,전략,Strategy
飛彈,4156,미사일,Missile (aircraft)
半導體,3913,반도체,semiconductor
企業,3744,기업,Business enterprises
中央,3730,중앙,Central government
社會,3699,사회,Society (disambiguation)
本土,3671,본토,mainland
台積電,3650,TSMC,TSMC Corporation
國防部,3597,국방부,Ministry of Defence
能力,3421,능력,Ability
外交部,3414,외교부,Ministry of Foreign Affairs
產業,3395,산업,Industries
議員,3385,의원,Member of Parliament
議題,3260,의제,Topics
蔡英文,3213,차이잉원,Tsai Ing-wen (disambiguation)
病例,3170,병례,Case study
風險,3148,위험,Risks
國內,3147,국내,Domestic
官員,3068,관원,Official
會議,3018,회의,Meetings
外交,2996,외교,Foreign relations
軍,2969,군,military
晶片,2935,웨이퍼,wafer
市長,2893,시장,Mayor of the United States
歐洲,2854,유럽,Europe
軍演,2801,군사 훈련,military exercises
網友,2767,네티즌,Internet users
黨,2631,당,Party (disambiguation)
計畫,2627,계획하다.,plan
俄國,2573,러시아,Russia (disambiguation)
制裁,2524,제재하다,Sanctions
交流,2514,교류,Communication
英國,2499,영국,United Kingdom of Great Britain and Northern Ireland
科技,2441,과학 기술,Science and technology
危機,2429,위기,crisis
主權,2376,주권,sovereignty
中華民國,2372,중화민국,Republic of China
技術,2343,기술,Technology
印太,2282,인도,Indo-Pacific region
戰爭,2279,전쟁,War (disambiguation)
武力,2275,무력,force of arms
立場,2269,입장,Positioning
澳洲,2269,오스트레일리아,Australian national football team
關鍵,2230,관건,key
產品,2202,제품,Products
亞洲,2137,아시아,Asia (disambiguation)
目標,2103,목표,Goals
德國,2077,독일,Germany
朱立倫,2066,주리룬,Jullien (disambiguation)
普廷,2044,,
專家,2041,전문가,Experts
歷史,2028,역사,History
雙方,2023,쌍방,both sides
西方,2001,서방,the West
冠狀,1980,관,crown
柯文哲,1976,커원저,Coventry (disambiguation)
台中市,1967,타이중 시,Taichung Municipality
機會,1966,기회,opportunity
高雄市,1964,가오슝 시,Kaohsiung Municipality
韓國,1954,한국,Korea
印度,1946,인도,India national football team
價值,1922,가치,value
電子,1905,전자,Electronics
金融,1838,금융,finance
董事,1829,이사,director
病,1822,병,disease
利益,1820,이익,Interests
基礎,1818,기초,foundation
文化,1818,문화,Culture
武器,1807,무기,Weapons
新北市,1795,신베이 시,New North City (disambiguation)
蔣萬安,1790,장완안,Jiang Wan'an (disambiguation)
現狀,1784,현상,Current status
行政院,1783,행정원,Executive Yuan of the People's Republic of China
無人機,1777,드론,Unmanned aerial vehicles
陸委會,1767,육상 위원회,Mainland Commission
台幣,1753,대만 달러,Taiwan dollar (denominated)
金門縣,1738,진먼현,"Golden Gate County, California"
醫院,1735,병원,Hospitals
台商,1729,대만 상인,Taiwanese businessman
國會,1727,국회,National Assembly of the United States
國軍,1726,국군,Armed Forces of the People's Republic of China
外界,1712,외부,the outside world
人權,1706,인권,Human rights
法案,1696,법안,Bill of Rights
基金,1683,펀드,Fund
價格,1675,가격,Price
核酸,1640,핵산,nucleic acid
壓力,1632,압력,pressure
建議,1631,조언,Recommendations
桃園市,1631,타오위안 시,Taoyuan Municipality
醫療,1619,의료,Medical
聲明,1607,성명,Declaration
選人,1573,인선,elect
學生,1567,학생,Students
政黨,1542,정당,Political parties
境外,1523,국외,Outside China
海域,1519,해역,sea area
全國,1511,전국,nationwide
台灣海峽,1502,타이완 해협,Straits of Taiwan
領袖,1498,영도자,leader
地位,1495,지위,Status
封城,1486,도시를 봉하다,closed city
態度,1484,태도,attitude
抗議,1477,항의하다,protest
整體,1467,전체,whole
利用,1461,이용하다.,make use of
國人,1461,내국인,nationality
空域,1460,공역,airspace
領導人,1454,지도자,Leaders of the United States
總理,1450,총리,Prime Minister of the People's Republic of China
夏立言,1450,하립언,Xia Liying (disambiguation)
食品,1448,식품,Foodstuffs
兩國,1420,양국,two countries
中華,1418,중화,Chinese nationality
太平洋,1415,태평양,Pacific Ocean (disambiguation)
共軍,1389,공산군,Communist army
戰,1379,싸우다,fight
業者,1367,업자,businessman
警告,1355,경고한다.,warn
入境,1349,입국하다,Entry into the country
環境,1334,환경,Environment
財經,1313,육생,terrestrial
基地,1306,기지,Base (disambiguation)
成員,1301,구성원,Members
總書記,1295,총서기,General Secretary
規定,1289,정하다.,Regulations
烏俄戰爭,1287,러시아-러시아 전쟁,Russo-Ukrainian War of 1915
銀行,1285,은행,Bank of China
考量,1283,고려하다,consider
原則,1278,원칙,Principles
國際社會,1277,국제 사회,International community
委員,1276,위원,Commissioners
立陶宛,1272,리투아니아,Republic of Lithuania
全世界,1264,온 세상,all over the world
戰機,1263,전투기,warplane
城市,1254,도시,City (disambiguation)
軍機,1253,군사 기밀,military aircraft
力量,1248,힘,strength
檔案,1234,기록 보관소,Files
規劃,1230,기획하다,Planning
目的,1229,목적,Objectives
美中,1226,옥에 티,U.S. and China
手段,1195,수단,means
勢力,1188,세력,power
大會,1186,대회,General Assembly
人口,1183,인구,Population
學者,1179,학자,Scholarly
海外,1170,해외,overseas
市民,1159,시민,citizen
機場,1159,공항,Airports
馬英九,1158,마잉주,Ma Ying-jeou (disambiguation)
協議,1157,프로토콜,Agreements
能源,1152,에너지,Energy sources
言論,1152,언론,speech
台南市,1149,타이난 시,City of Tainan
領導,1149,이끌다.,Leadership
直言,1145,직언,direct speech
九二共識,1141,92. 컨센서스,The 1992 Consensus
大陸,1137,대륙,Continental
政權,1135,정권,government
共識,1135,컨센서스,Consensus (disambiguation)
台美,1128,타이메이,Taiwan and the United States
新加坡,1123,싱가포르,Singapore national football team
策略,1123,책략,strategy
企圖,1119,기도하다,attempt
核心,1115,핵심,core
部隊,1112,부대,Troops
蘇貞昌,1103,소정창,Su Ching-chang (disambiguation)
對台,1099,카운터,face each other in Taiwan
市府,1099,시청,municipal government
美國眾議院,1090,미국 하원,U.S. House of Representatives
大使,1089,대사,Ambassador to the United Nations
峰會,1085,정상 회담,summit
學校,1085,학교,Schools
新冠,1084,코로나19,New coronavirus
一中,1083,일등,First Middle School
國台辦,1079,중화인민공화국 대만 사무소,National Taiwan Affairs Office
官,1078,관청,official
商,1071,상의하다,commercial
口罩,1070,마스크,Mask (disambiguation)
航空,1065,항공,Air transportation
事務,1064,사무,Services
標準,1051,표준,Standards
安倍,1047,아베,Abe (disambiguation)
軍艦,1036,군함,a warship
民族,1033,민족,Ethnic groups
經貿,1030,경제 무역,Economic and trade relations
威權,1008,위세,authority
資源,1006,자원,Resources
行政,998,행정,Administration
國務,998,국무,state affairs
資金,992,자금,Funding
盟友,990,맹우,ally
協會,986,협회,Association
新疆,979,신장,Xinjiang (People's Republic of China)
主委,978,주임 위원,chairperson
秩序,974,질서,order
成本,974,원가,Cost
公民,973,공민,citizen
重要性,968,중요성,Importance
廠商,968,메이커,Manufacturers
民意,965,민의,public opinion
無法,965,방법이 없다,I can't.
布林肯,963,블링컨,Brinkling (disambiguation)
空軍,962,공군,Air Force
趨勢,962,추세,Trending
行程,960,여정,itinerary
白宮,958,백악관,White House (disambiguation)
居民,957,주민,inhabitants
範圍,954,범위,scope
方案,950,방안,Programmes
法國,949,프랑스,France
訊息,948,메시지,information
南海,945,남해,South China Sea
智庫,944,싱크탱크,think tank
錢,943,돈,money
投票,942,투표하다.,Voting
機關,933,계략,organs
責任,933,책임,Responsibility
客戶,932,거래처,Clients
北韓,926,북한,Democratic People's Republic of Korea
權力,925,권력,Power
部署,922,배치하다,Deployment
研究所,922,연구소,Research institutes
法律,919,법률,Law
電話,916,전화를,Telephone number
條件,914,조건,condition
錯誤,912,잘못,Mistake
症狀,908,플랫폼,platform
空間,908,공간,Space (disambiguation)
民間,904,민간,the private sector
議會,900,의회,Parliament
通報,899,통보하다,give notice of
重症,899,미셸,Michel the Great
地緣,898,지연,geographical region
階段,893,단계,stage
領土,892,영토,Territories
外國,890,외국,Foreign countries
俄烏戰爭,887,러시아-우크라이나 전쟁,Russo-Ukrainian War of Independence
高層,887,고층,high-rise
公告,883,공고하다,public announcement
犯台,873,반역하다,a criminal's platform
加拿大,871,캐나다,Canadian national football team
華府,868,워싱턴 D.C.,"Washington, D.C."
首度,867,제1차,for the first time
機制,867,메커니즘,Mechanisms
朋友,863,친구,Friend.
越南,863,베트남,Vietnamese national football team
優勢,860,우세,advantage
海軍,858,해군,Navy (disambiguation)
聯合國,856,국제 연합,UNITED NATIONS
意識,853,의식,Consciousness
身分,850,신분,status
陽性,848,인계하다,account
路線,847,노선,course
手機,846,휴대전화,Cell phones
黃珊珊,845,황산산,WONG Shan-shan (disambiguation)
海上,844,바다 위,at sea
小三通,837,샤오티통,small three-way connection
島,835,섬,Island (disambiguation)
情報,834,정보,information
北約,827,북대서양조약기구,North Atlantic Treaty Organization (NATO)
信心,826,자신,confidence
民主自由,823,민주자유,democratic freedom
戰力,819,전력,military strength
張善政,812,장선정,good governance
國安,812,궈안,national security
美軍,811,미군,U.S. military
旅客,808,나그네,Travellers
花蓮縣,807,화롄현,Hualien County
全民,798,전 국민,the whole nation
理事,794,이사,Governing Council
曹興誠,793,조흥성,Tsao Xingcheng (disambiguation)
官媒,791,관영 매체,state-run media
軍方,783,군부,Military
宜蘭縣,782,후쿠시마,Fukushima (disambiguation)
團體,780,단체,Organizations
人才,779,인재,a man of talent
資深,767,경력이 풍부한,seniority
居家,765,개,dog
林佳龍,761,임가룡,Lin Jialong (disambiguation)
規範,759,규범,canonical
汽車,758,자동차,Motor vehicles
航行,753,항해하다,sail
工廠,752,공장,Factory
體制,752,체제,Institution
藥,745,약,medicine
賴清德,743,라이칭더,"Lai Ching-teh, Duke of Ching-teh"
秘書長,735,사무총장,Secretary-General
角色,733,역할,Character (characters)
交易,731,거래하다,trade
中國共產黨,730,중국 공산당,Communist Party of China
兒童,728,어린이,Children
航班,725,항공편,Flights
代工,713,위탁생산자,foundry
民調,713,여론조사,public opinion poll
軍隊,712,군대,Military
黨籍,709,당적,Party membership
嘉義縣,708,자이 현,Chiayi County
感染者,705,윗사람,the elderly
紀錄,704,기록하다.,record
泰國,702,태국,Thailand
決心,702,마음먹다,resolve
貨幣,695,화폐,Currency
主管,693,주관하다,head of a department
醫師,693,의사,Physicians
吳釗燮,692,오쇠섭,Oh So-seop (disambiguation)
防衛省,691,방위성,Ministry of Defence
可能性,691,가능성,possibility
視訊,689,영상,Television broadcasting
警方,689,경찰,Police officers
觀光,688,관광하다.,sightseeing
工程,684,프로젝트,Engineering
民眾黨,684,민중당,People's Party of China
距離,681,거리,distance
王定宇,681,왕딩위,Wang Dingyu (disambiguation)
台股,680,대만 주식,Taiwan Stock Exchange
傳統,678,전통,Traditional
共產黨,678,공산당,Communist Party of the People's Republic of China
屏東縣,677,중국 해군,Chinese Navy
黨內,676,당내,within the party
任期,674,임기,Term of office
邊境,674,변경,Borders
鄭運鵬,672,정운붕,Zheng Yunpeng (disambiguation)
理念,668,이념,philosophy
精神,667,정신,spirit
專制,667,전제,despotic
商品,666,상품,Commodities
侯友宜,660,허우이,Hou Youyi
自衛隊,660,자위대,Self-Defense Forces
陰性,654,여성,negative
物資,654,물자,material goods
實質,648,본질,substance
科學,647,과학,Science (disambiguation)
行徑,646,행동,conduct
智慧,645,지혜롭다,wisdom
中線,645,센터 라인,Midline (disambiguation)
專業,644,전공,Professional
苗栗,642,새싹의 밤,seedling chestnut
案例,641,사례,Case study
實力,635,실력,strength
體系,635,체계,system
外資,633,외자,Foreign investment
貢獻,630,공헌하다,contribute
東京,630,도쿄,Tokyo Metropolitan Government
印尼,628,인도네시아,Indonesian national football team
票,627,표,ticket
基隆市,626,지룽 시,Keelung Municipality
意圖,617,의도,Intention
鄭州,616,정저우,Zhengzhou Municipality
焦點,613,초점,focus
菲律賓,613,필리핀,Philippines national football team
族群,613,민족,ethnic group
疾病,612,질병,Illness
登場,611,등장하다.,make one's appearance
庫存,610,재고품,Stockpile
王必勝,608,왕필승,The King will win.
交通,608,교통,Transportation
工業,607,인더스트리얼,Industry
選民,607,유권자,electorate
代價,605,대가,cost
商業,604,상업,Commercial activities
龐皮歐,603,,
債務,601,빚,Obligations
會面,597,면회,meet
鴻海,597,홍해,the Great Sea
證實,595,실증하다,confirm
藍營,595,란잉,Camp Blue (disambiguation)
評論,594,평론,Commentary
工具,593,공구,Tools
資產,592,자산,Assets
員工,592,종업원,Staff members
雲林縣,589,윈린현,Yunlin County
糧食,588,식량,Food
