chinese,count
中國,76585
台灣,64126
美國,26647
疫情,16328
國家,14149
經濟,13096
國民黨,13062
政府,12543
台北市,12183
日本,11199
習近平,10558
總統,10083
國際,9916
俄國,9337
烏國,9083
政策,9024
全球,7999
人民,7905
台灣海峽,7839
民進黨,7663
民主,7641
政治,7635
北京,7553
問題,7506
兩岸,7141
軍事,6772
主席,5781
民眾,5699
和平,5549
疫苗,5529
香港,5362
環球,5277
市場,5242
肺炎,5102
病毒,5068
代表,4903
上海市,4886
武漢,4672
政黨,4564
裴洛西,4403
導彈,4288
戰略,4205
半導體,3913
國防部,3843
企業,3744
中央,3730
社會,3699
軍,3681
本土,3671
戰爭,3658
台積電,3650
能力,3421
外交部,3414
產業,3395
議員,3385
議題,3260
計劃,3241
蔡英文,3213
病例,3170
風險,3148
國內,3147
晶圓,3122
官員,3068
會議,3018
外交,2996
市長,2893
歐洲,2854
武,2814
軍演,2802
國民,2791
網友,2767
制裁,2524
交流,2514
英國,2499
科技,2441
危機,2429
主權,2376
中華民國,2372
技術,2343
印太地區,2282
澳洲,2269
立場,2269
關鍵,2230
產品,2202
董事,2192
俄烏戰爭,2174
亞洲,2137
國外,2109
目標,2103
美國聯邦眾議院,2091
德國,2077
朱立倫,2066
普廷,2044
專家,2041
歷史,2028
雙方,2023
現況,2015
西方,2001
冠狀,1980
柯文哲,1976
台中市,1967
機會,1966
高雄市,1964
韓國,1954
印度,1946
價值,1922
電子,1905
醫療,1900
金融,1838
全體,1837
病,1822
利益,1820
文化,1818
基礎,1818
武器,1807
新北市,1795
蔣萬安,1790
行政院,1783
無人機,1777
陸委會,1767
台幣,1753
金門縣,1738
醫院,1735
台商,1729
國會,1727
國軍,1726
外界,1712
人權,1706
法案,1696
基金,1683
領空,1678
價格,1675
核酸,1640
力量,1634
壓力,1632
桃園市,1631
建議,1631
聲明,1607
學者,1584
選人,1573
學生,1567
海域,1519
全國,1511
領袖,1498
地位,1495
封城,1486
態度,1484
抗議,1477
利用,1461
領導人,1454
夏立言,1450
