relsub,relsum,rel,index,title,date,summary,link
1,1,1,1,國戰會論壇》中國人大倡議兩岸「教育通」（蕭衡鍾）,2022-03-11,上週開始的中國大陸全國人大會議中，有人大代表認為，要深化兩岸融合，就需要依託於兩岸人民的心靈契合，而促進兩岸人民心靈契合的有效途徑則是教育融合，故此建議在兩岸「三通」之外開通「第四通」，也就是兩岸的「教育通」，以促進兩岸教育領域的交流與發展。,https://www.chinatimes.com/opinion/20220310004819-262110
0,0,0,2,美高超音速導彈試驗連3敗 再花14億美元追趕中俄,2022-03-10,在洛馬公司的空射高超音速導彈連續3次試射失敗的情況下，美國在發展高超聲速武器方面追趕中國和俄羅斯的努力可能受阻，這使得該公司的研發時間表非常緊張，預計至少要再花費14億美元，並於6月底再進行測試。至於9月底前是否能批准早期生產，仍受到相當大的質疑。,https://www.chinatimes.com/realtimenews/20220310005334-260409
0,0,0,3,中韓關係恐生變？ 韓媒曝新總統尹錫悅的謀算 ,2022-03-10,南韓政治素人尹錫悅10日當選南韓第20屆總統，他入主青瓦台後，中韓關係走向備受關注，韓媒指新政府的外交政策將以美國為重，在經貿方面將降低對中國的依賴，隨著「重建韓美同盟關係」，中韓關係可能生變。,https://www.chinatimes.com/realtimenews/20220310004893-260408
0,0,0,4,陸計畫2030年前從火星採樣回國 2049年前探索百個天文單位,2022-03-10,中國的天問一號去年抵達火星，開始火星探測任務。全國政協委員、中國探月工程總設計師吳偉仁指出，中國其後還將規劃多個天問系列行星探測任務，探索浩瀚太空，主要任務是要把火星的樣本採集回中國，希望在2030年前後能夠實現。,https://www.chinatimes.com/realtimenews/20220310004086-260409
0,1,1,5,俄遭制裁難搶市 中國手機出貨量砍半,2022-03-10,俄烏戰爭使西方各國加強對俄制裁，多家國際品牌相繼宣布撤出俄羅斯市場，再加上俄羅斯盧布兌美元大跌逾35％，據傳中國手機製造商未能抓準時機搶攻俄羅斯市場，小米、華為和OPPO等廠牌反而將對俄羅斯的出貨量減半。,https://www.chinatimes.com/realtimenews/20220310004150-260410
0,1,1,6,蘇紫雲：台灣國防預算需達到4800億元 才能達到不對稱戰力,2022-03-10,民進黨國際部今舉行「俄烏變局下的台海情勢」座談會，談到大陸軍費不斷提升，淡江大學整合戰略中心執行長蘇紫雲認為，大陸國防預算成長7.1％，達6.45兆元，是台灣3740億元的17.2倍；因此，台灣合理的國防預算至少要達到4800億元，約GDP的2.2％，才能真正達到不對稱戰力。,https://www.chinatimes.com/realtimenews/20220310003906-260407
0,0,0,7,尹錫悅當選 分析：將強化美韓同盟但不疏離中國,2022-03-10,韓國變天，保守派候選人尹錫悅當選總統。學者董思齊分析，尹錫悅將改變文在寅時代的外交政策，優先強化美韓同盟關係；但中韓關係仍重要，料尹錫悅不會刻意疏離和北京關係。,https://www.chinatimes.com/realtimenews/20220310003817-260408
0,0,0,8,7折出售京滬3.2萬平方公尺核心物業 SOHO中國一度飆漲20％,2022-03-10,大陸地產商SOHO中國董事長潘石屹今(10日)宣佈，將以7折價格銷售3.2萬平方公尺北京、上海兩地的優質物業，收入將全部用於降負債、不分紅。,https://www.chinatimes.com/realtimenews/20220310004033-260409
0,0,0,9,奔騰思潮》烏俄衝突與自由主義國際秩序（盧業中）,2022-03-10,在烏俄衝突爆發之際，美國總統拜登（Joe Biden）於3月1日發表自就任以來的第一份國情咨文演講，希冀獲得美國民眾對於烏克蘭的情感支持，同時推動國內的各項計畫與建設。在發言支持烏克蘭、譴責俄羅斯的時候，拜登難得地得到了國會跨黨派的支持，也使得就職滿一年、支持度卻落得與川普相近的拜登應可重拾執政信心。烏俄衝突所引發的後續國際效應，尤其是美國在國際事務的領導地位，值得關注。,https://www.chinatimes.com/opinion/20220310003905-262110
0,0,0,10,陸全國人大代表建議：赴陸留學生應普及「中國漢語言文化考試」,2022-03-10,大陸全國人大代表、南京信息工程大學教授銀燕建議，普及赴陸留學人員「中國漢語言文化考試」（HSK），促進世界各國年輕人對漢語言的學習，提升中華文化的國際傳播力。,https://www.chinatimes.com/realtimenews/20220310002231-260409
0,1,1,11,名家觀點》孫佳山：俄烏衝突中認知戰對中國的啟示,2022-03-10,中國藝術研究院副研究員、中國文藝評論家協會青年工作委員會副祕書長孫佳山10日在《環球時報》撰文指出，俄烏衝突基於媒介認知的認知戰，在俄烏衝突中發揮的作用和效能，已被拉升到自1991年波灣戰爭以來的全新歷史高度。基於移動互聯網時代媒介認知的認知戰，已經可以直接干擾相關政府決策，影響戰爭的形態和進程甚至走向。這也是俄烏衝突為中國敲響的歷史警鐘。,https://www.chinatimes.com/realtimenews/20220310001263-260409
0,1,1,12,台灣學者：台韓關係不太可能改變,2022-03-10,　韓國總統大選結果今天可望出爐，文在寅政府的親中、親北韓路線能否維持，將會是國際關注議題。至於台韓關係方面，學者表示，不論韓國會否政黨輪替，台韓關係都不太可能有根本上的改變。,https://www.chinatimes.com/newspapers/20220310000628-260309
0,1,1,13,美媒解讀習談話 親俄立場有微妙變化,2022-03-10,　中國國家主席習近平8日與法國總統馬克宏和德國總理蕭茲就烏克蘭危機舉行網路視訊通話，習近平在峰會中表示，烏克蘭局勢令人擔憂，「中方對歐洲大陸重燃戰火深感痛惜」。美國媒體分析，北京親俄立場或有微妙變化，「習近平說話的基調似乎有朝中間立場調整的跡象，至少指責美國和北約的措辭有所減少。」就在通話後，中國外交部昨首度宣布向烏克蘭提供人道主義援助物資，價值500萬元人民幣。,https://www.chinatimes.com/newspapers/20220310000366-260119
0,1,1,14,挫敗憤怒 普丁恐加強攻烏力道,2022-03-10,　美國眾議院情報委員會8日召開一場討論全球威脅的年度聽證會，會中聚焦討論俄烏議題。美國國家情報總監海恩斯評估，普丁不太可能因為當前的挫敗而收手，反而可能加重攻擊力道。中央情報局（CIA）局長伯恩斯談及中國的態度時則表示，中國似乎對俄烏衝突「感到不安」，但不要低估習近平對台灣的決心。,https://www.chinatimes.com/newspapers/20220310000368-260119
0,1,1,15,無論誰當選 中韓建交30年 關係不會倒退,2022-03-10,　韓國總統大選結果今日即將揭曉。在野黨「國民力量」候選人尹錫悅與執政黨「共同民主黨」候選人李在明，形成親美與親中路線對決。大陸國關學者認為，此次韓國大選出現大量「中國元素」，值得關注，但中韓建交已邁入30年，相信這次無論誰勝選，都不會在對華政策上進行大調整，中韓關係也不會發生大倒退。,https://www.chinatimes.com/newspapers/20220310000623-260309
0,0,0,16,新│聞│分│析－俄烏開戰 人民幣意外成贏家,2022-03-10,　俄烏戰火連日，遭到歐美金融封鎖的俄羅斯，對外交易明顯轉向倚賴人民幣，加上外資視其為避險工具，人民幣已率先反應，近日升至近4年新高，同步也強化了人民幣的國際地位。,https://www.chinatimes.com/newspapers/20220310000096-260202
0,0,0,17,觀念平台－主要國家貨幣政策各異的潛在風險,2022-03-10,　在通貨膨漲年來持續攀高 （美國超過7％、歐洲5％以上） 且就業情況稍有好轉情況下，市場已共識美國聯邦儲備理事會、英格蘭銀行以及歐洲央行將陸續升息。相對歐美的貨幣緊縮政策，亞洲兩個最大經濟體中國及日本貨幣政策機構走向，卻是似乎與其他央行南轅北轍。兩家央行有各自理由：中國經濟成長正面臨改革開放40年來最大的成長率下降，但是就消費者物價指數而言，通貨膨脹（1.5％）似尚控制得宜。在日本，通貨膨脹率仍低於其2％目標區，支持了寬鬆貨幣政策立場的合理性。,https://www.chinatimes.com/newspapers/20220310000136-260209
0,0,0,18,美點名警告中芯 援俄將遭毀滅性制裁,2022-03-10,　俄烏衝突下，美國警告中國勿再出手幫助俄羅斯。美國商務部長雷蒙多（Gina Raimondo）近日表示，美方可以從根本上切斷中企生產所需要的美國技術與軟體，這可以毀滅如中芯國際等供應俄羅斯晶片的中企。,https://www.chinatimes.com/newspapers/20220310000097-260202
0,0,0,19,制裁俄羅斯 賴清德：我們是不得不,2022-03-10,　台灣加入歐美制裁俄羅斯行列，遭俄國列為「不友善國家和地區」名單，副總統賴清德昨受訪時坦言：「我們是不得不」。他表示，台灣已經成為民主陣營的一員，所以一定要參加，這就是一個態度，否則台灣是旁觀者，哪一天遭受攻擊，別人怎麼會幫忙，畢竟大家都是會算帳的！,https://www.chinatimes.com/newspapers/20220310000372-260118
1,0,1,20,國戰會論壇》美中太空爭霸：中國天宮空間站之軍事用途（譚傳毅）,2022-03-10,2021年5月與9月，中國分別發射了貨運太空船天舟2號和3號進入軌道，與「天和核心艙」成功對接。10月16日，神舟13號載人太空船發射，6個小時之後也進入軌道與之對接，構成四艙（船）的太空站組合體，稱之為天宮空間站。,https://www.chinatimes.com/opinion/20220310000019-262110
0,0,0,21,中國航太新計劃：2030年火星採樣 2049年探測太陽系邊緣,2022-03-10,中國政協委員、中國探月工程總設計師吳偉仁接受大陸《央視》專訪時透露，中國2021年成功完成天問1號任務，祝融號火星車平穩著陸在火星表面並開始巡視探測，開啟了中國探索深空的步伐。希望在2030年前完成火星採樣返回，2049年完成太陽系邊緣探測。,https://www.chinatimes.com/realtimenews/20220310005158-260409
0,1,1,22,中義外長視訊會晤 王毅：「四個應該」是對烏問題的最權威立場,2022-03-10,據中國外交部官網消息，中國國務委員兼外長王毅今天（10日）應約和義大利外長迪馬約舉行網路視訊會晤，雙方重點就當前烏克蘭局勢交換意見。王毅表示，中國國家主席習近平日前提到的「四個應該」，是中方關於烏克蘭問題的最權威立場。,https://www.chinatimes.com/realtimenews/20220310005076-260409
0,0,0,23,TikTok限制普丁講話視頻　俄羅斯要求立即解除並給出解釋,2022-03-10,俄羅斯聯邦電信、資訊技術和大眾傳媒監管局發佈消息稱，要求TikTok取消對俄羅斯總統普丁（Vladimir Putin）講話視頻錄製的限制，並立即解釋限制的原因。,https://www.chinatimes.com/realtimenews/20220310005041-260409
0,1,1,24,烏克蘭和台灣這2點不一樣？黃暐瀚：他說的是實話,2022-03-10,國防部長邱國正今天應邀至立法院進行「俄烏戰爭暨近期台海周遭情勢研析與因應」報告，邱在立法院受訪表示，一旦發生戰爭，大家都很慘，以前不管抗戰、古代作戰經驗，就算勝也是慘勝，因此若要啟動戰爭真的需要多加考量。對此，資深媒體人黃暐瀚直言，邱國正的說是實話，難道面對兩岸高度緊張，台灣不該備戰且避戰嗎？,https://www.chinatimes.com/realtimenews/20220310004816-260407
0,0,0,25,中芯國際對俄出售晶片違反禁令 美威脅將停供設備軟體,2022-03-10,在美國及其盟友採取行動阻止俄羅斯獲得晶片的幾天後，美國商務部威脅稱，如果發現中芯國際等公司向俄羅斯出售晶片，將切斷它們生產其產品所需的美國設備和軟體的供應，所有違反禁令的公司都會被列入貿易黑名單。,https://www.chinatimes.com/realtimenews/20220310004334-260409
0,0,0,26,陸外交部：美處理對俄關係不得損害中方權益 否則中方將堅決回應,2022-03-10,今天（10日）大陸外交部發言人趙立堅主持例行記者會。有記者提問，我們注意到，近期美國等個別國家稱中國未採取切實措施化解衝突，也沒有配合西方對俄制裁。還有美國智庫稱，中方的「平衡」策略毫無建設性。發言人對此有何評論？,https://www.chinatimes.com/realtimenews/20220310003854-260409
