relsub,relsum,rel,index,title,date,summary,link
0,1,1,1,健康網》瑜伽、太極拳、皮拉提茲、氣功怎麼選？ 優缺一次看,2022-10-31,正念思考與身心練習都是現在流行的話題，尤其在武漢肺炎（新型冠狀病毒病，COVID-19）疫情期間給人們帶來壓力與焦慮，瑜伽、太極拳、皮拉提斯、氣功都是透過呼吸及冥想來增強身心健康與精神成長的運動，專家指出，瑜珈是各種呼吸技巧與姿勢的結合，通常為緩慢移動形式；太極拳需要在室外且需要大空間；皮拉提斯的受,https://health.ltn.com.tw/article/breakingnews/4106736
0,0,0,2,法國賽》「鼓掌怎麼說？」 何冰嬌奪冠後全英文採訪讓她超緊張（影音）,2022-10-31,〔體育中心／綜合報導〕中國女將何冰嬌今天凌晨在超級750系列法國公開賽女單決賽，激戰3局擊敗西班牙名將瑪琳（Carolina Marin）封后，連兩週摘冠，不過賽後卻面臨比爭冠更大的難題，就是全英文採訪面對媒體。何冰嬌全英文採訪看這裡先前才奪下丹麥公開賽后冠的何冰嬌，這回法國公開賽也殺進決賽，並以1,https://sports.ltn.com.tw/news/breakingnews/4106839
0,0,0,3,南韓更新梨泰院傷亡數字  升至154死149傷,2022-10-31,南韓首爾市梨泰院在29日晚間發生人群推擠、踩踏事故，南韓中央災害安全對策本部今日（31日）公佈最新統計數據顯示，這起事故造成154人死亡、149人受傷。綜合外媒報導，中央災害安全對策本部指出，截至31日上午6點，梨泰院事件造成154人死亡、149人受傷，傷者中有33人重傷、116人輕傷。目前死者身份,https://news.ltn.com.tw/news/world/breakingnews/4106828
1,1,1,4,台積電遠超三星  韓媒點名李在鎔需設法挽救,2022-10-31,南韓《中央日報》社論稱，面對美中科技戰，佔韓國晶片出口6成的中國市場經營日益艱困，加上台積電不斷擴大與三星的距離，若三星等韓國半導體業經營困難，恐動搖韓國經濟。因此，李在鎔掌舵的「新三星」，必須設法在三星及韓國經濟不景氣的波濤洶湧中，往前邁進。,https://ec.ltn.com.tw/article/breakingnews/4106506
0,1,1,5,LTN經濟通》解放軍麻吉？甲骨文角色曖昧,2022-10-31,艾里森與馬斯克 遭北約點名北大西洋公約組織（NATO）內部資深官員日前接受《中央社》訪問時，點名特斯拉執行長馬斯克（Elon Musk）和甲骨文（Oracle）董事長兼科技長艾里森（Larry Ellison），警告這2人與中國的關係令人擔憂，恐間接參與共軍對台軍事行動。,https://ec.ltn.com.tw/article/breakingnews/4103327
0,0,0,6,故宮破損文物真屬「中國國寶」?  他分析淵源：沒什麼大不了的,2022-10-31,日前國立故宮博物院遭揭露有文物破損，引起朝野不少人批評。不過《八旗文化》總編輯富察卻認為大家「小題大作」，「這隻碗其實沒什麼大不了的，就按照故宮的管理程序處理即可。」針對故宮文物破損案，富察昨天（30日）透過臉書發文表示，「故宮這幾隻打破的碗，嚴格來說不屬於「中國」，而是屬於清室，「滿洲皇帝熱愛中國,https://news.ltn.com.tw/news/life/breakingnews/4106760
0,0,0,7,林月雲為何背叛蔡貴照？奪邱嘉雄「催情內幕」曝光,2022-10-31,侯佩岑與媽媽林月雲去年上中國實境節目，相擁落淚，重提林月雲昔日「資深小三」情史，昨（30）日《新聞挖挖哇》對此議題剪出最新版本的精華篇，名嘴呂文婉在當中爆出驚人內幕。鄭弘儀在節目中探討林月雲、侯佩岑母女檔重提往事風波，但他也好奇林月雲有做過什麼懺悔的事？對此名嘴陳玲玲就表示：「我相信一定有啦。」並提,https://ent.ltn.com.tw/news/breakingnews/4106700
0,0,0,8,法國賽》3局大戰氣走瑪琳 何冰嬌驚險封后連兩週奪冠,2022-10-31,甫於丹麥公開賽奪冠的中國女將何冰嬌，這週在超級750系列法國公開賽延續氣勢，一路挺進決賽，今天凌晨她以16：21、21：9、22：20氣走瑪琳，連兩週奪冠，也是她繼2016年後再度於法國站封后，世界排名第6的瑪琳這次在法國賽一路過關斬將殺進4強，前役以直落二輕取世界球后山口茜，摘下決賽門票，何冰嬌則,https://sports.ltn.com.tw/news/breakingnews/4106807
0,0,0,9,6縣市豪雨特報！ 宜蘭山區留意「超大豪雨」,2022-10-31,今日受到颱風外圍環流及東北季風影響，迎風面雨勢持續增大，中央氣象局於今日清晨3點40分針對全台6縣市發布豪雨特報，其中宜蘭縣山區需留意「超大豪雨」。台北市、基隆市、新北市、宜蘭縣平地與花蓮縣山區則為豪雨特報警戒範圍。花蓮縣平地則為大雨特報範圍。,https://news.ltn.com.tw/news/life/breakingnews/4106815
0,0,0,10,法國賽》不敵印度組合屈居亞軍 盧敬堯／楊博涵仍創最佳紀錄,2022-10-31,台灣「楊肉盧」楊博涵／盧敬堯今凌晨在超級750系列法國公開賽男雙決賽，以13：21、19：21不敵印度組合蘭基雷迪（Satwiksairaj Rankireddy）／謝提（Chirag Shetty），屈居亞軍，但已創下兩人合拍後在超級750系列的最佳成績。,https://sports.ltn.com.tw/news/breakingnews/4106810
0,1,1,11,10/31 各報重點新聞一覽,2022-10-31,自由時報苗栗縣長選舉本報民調 徐定禎24.4% 鍾東錦21.26%年底九合一大選，國民黨在藍營長期執政的苗栗縣長選舉面臨分裂。本報最新民調顯示，民進黨候選人徐定禎支持度廿四．四％，國民黨候選人謝福弘八．八七％，時代力量候選人宋國鼎十．八七％，無黨籍候選人鍾東錦廿一．二六％，另無黨籍候選人吳盛聖一．○,https://news.ltn.com.tw/news/life/breakingnews/4106823
0,0,0,12,孔子學院2.0！中國19國廣設職訓班進行紅色滲透,2022-10-31,中國利用孔子學院推動外國人學習中文以及中國文化，被視為裹著糖衣的紅色滲透。隨著孔子學院被各國識破關閉，還有一個鮮為人知的組織-中國魯班工坊，目前已在19國設置20個職訓中心，推動戰略人才的培育工作，協助滿足中國一帶一路倡議相關投資的人力需求。,https://ec.ltn.com.tw/article/breakingnews/4106704
0,1,1,13,不想等死？ 寧拒絕公司協助 鄭州「富士康大逃亡」持續延燒,2022-10-31,中國河南省鄭州武漢肺炎（COVID-19，新型冠狀病毒病）疫情持續延燒，網路上流傳大量鄭州富士康員工漏夜徒步返鄉的片段，路邊甚至有熱心人放置礦泉水，麵包和點心等物資，富士康昨（30日）雖發出通知「去留自願，做好保障」，並附上提供返鄉乘車集合地點及聯繫電話，但許多員工選擇強行離開、徒步回鄉，正在數十公,https://ec.ltn.com.tw/article/breakingnews/4106637
1,1,1,14,雙陳接掌政法委、國安部 習近平嫡系人馬握刀把子,2022-10-31,中共20大閉幕後，總書記習近平的新國安情治團隊逐漸成形。中國全國人民代表大會常委會第37次會議30日通過，習近平嫡系、中共中央政法委員會秘書長陳一新出任國家安全部部長，前國安部長陳文清則在成為20屆政治局委員後，28日被宣布出任中央政法委書記。,https://news.ltn.com.tw/news/world/breakingnews/4106805
1,1,1,15,"美軍擬部署6架B-52在澳洲  專家：嚇阻中國攻台
",2022-10-31,澳洲媒體指出，美國正準備在澳洲北部部署多達6架可攜帶核子武器的B-52戰略轟炸機，專家分析這項舉動直接針對中國，因為各界日益擔心北京當局正準備攻打台灣。澳洲廣播公司（ABC）調查性新聞節目「四角」（Four Corners）的一項調查顯示，華府正計劃在澳洲達爾文市（Darwin）以南的丁達爾空軍基地,https://news.ltn.com.tw/news/world/breakingnews/4106814
0,0,0,16,〈財經週報-台灣半導體業〉中國擴產受阻 台灣設備廠受衝擊,2022-10-31,美國擴大對中國半導體祭出禁令，從邏輯IC延伸到記憶體業，禁令一出，歐美設備廠火速將工程人力撤出中國長江存儲、長鑫存儲、中芯國際、華力微等中國半導體廠，顯見中國半導體業後續擴產將斷供，台灣半導體包括建廠廠務、設備廠等相關半導體供應鏈恐將會受影響。,https://ec.ltn.com.tw/article/paper/1548744
0,1,1,17,社論》台灣終究要「跟中國說再見」,2022-10-31,中共二十大落幕，「習始皇」的紅色帝國誕生；一小撮習近平的近侍掌握了國家機器，意圖以「中華民族偉大復興」及「共同富裕」之名，帶領中國回到「打砸搶」，與天、地、人鬥，其樂無窮的毛澤東時代。世界工廠、全球第二大經濟體不再走向市場，而是回到「再分配優先於成長」、「國進民退」、「內循環優先於全球市場」的計畫經,https://talk.ltn.com.tw/article/paper/1548737
