relsub,relsum,rel,index,title,date,summary,link
0,0,0,1,聖暉Q3營收衝83.4億元年增逾6成　創歷年單季新高記錄,2022-10-07 17:35:00,【記者蕭文康／台北報導】聖暉工程科技（5536）於今日公布9月合併營收達27.6億元，年增45%，並續寫歷年同期新高，受惠訂單認列進度暢旺，不僅2022年第3季合併營收達83.4億元，年增66%，締造歷年單季新高，且累計2022年前3季合併營收達202.4億元，大幅年增44%。,https://tw.nextapple.com/finance/20221007/0183B1C8DDF0D89FA15794D3907F0E82
1,1,1,2,後疫情時代台灣印太戰略核心　蔡英文：新南向政策促進區域安全與繁榮,2022-10-07 14:00:00,【記者謝仁禮／台北報導】蔡英文總統今天（7日）出席「第6屆玉山論壇：亞洲創新與進步對話」開幕式，她指出，新南向政策是臺灣印太戰略的核心，透過這項政策，我們致力強化與區域夥伴在安全及經濟等事務上的合作。隨著邁向後疫情時代，新南向政策將是臺灣在亞洲的關鍵區域政策。未來，臺灣將與區域戰略夥伴強化連結，共同為印太區域的安全與繁榮做出具體的貢獻。,https://tw.nextapple.com/politics/20221007/0183B108FB37E8B5A8735FE9AD86F3EA
0,0,0,3,中國編劇挺廣電局稱Angelababy不該用洋名　被網友酸也該改名嗆爆「改叫黃曉明」,2022-09-03 19:55:00,【趙大智／綜合報導】中國編劇汪海林以心直口快聞名，過去他曾和瓊瑤聯合抵制抄襲編劇于正、郭敬明，也曾因攻擊頂流男星肖戰聞名，昨天9月第1天，因為發文「楊穎不能再署名Angelababy」引發軒然大波，到此刻仍有無數網友到他微博怒罵「管太多、愈活愈回去」，他居然有空一一回擊，一邊又將苗頭指向金鷹女神評選該廢除，先前也曾跟教育部提議禁止中小學生參加明星應援及粉絲團，被批吃飽沒事做。,https://tw.nextapple.com/entertainment/20220903/0183032A76B6DA236674C017C967EF18
0,0,0,4,王心凌神隱半個月！回台灣曬「素顏運動照」　粉絲暴動：狀態也太好,2022-10-05 07:02:00,【即時中心／綜合報導】王心凌因參加中國節目《乘風破浪的姐姐》再度翻紅，最近IG將近1個月沒有更新，她前天突然貼出和姊妹們運動的照片，原來悄悄回台灣了，而粉絲們見她素顏照更是驚呼：「狀態太好了！」,https://tw.nextapple.com/entertainment/20221005/0183A5399A025B30304D3310BAB3FE35
0,0,0,5,新竹醫界總動員！力挺楊文科連任　完善各鄉鎮醫療服務,2022-10-06 19:47:00,【記者黃羿馨／新竹報導】新竹縣長參選人楊文科醫界後援會、醫界顧問團成立大會於今天（6日）正式成立，楊文科競選總部表示，楊文科重視各鄉鎮市的醫療服務，除推動分級醫療、強化急重症醫療照護，也拓展長照布建，完善社區長照服務網，新建的新埔及湖口衛生所，都已在今年6月啟用，芎林鄉衛生所新建工程也正規畫中。,https://tw.nextapple.com/politics/20221006/0183AD04844CF7CF73948B03C62C32B9
0,1,1,6,諾貝爾和平獎出爐！　頒給俄烏人權機構、白俄民運鬥士,2022-10-07 19:44:00,【張翠蘭／綜合外電】2022年諾貝爾和平獎今天（10/7）在挪威奧斯陸揭曉，頒給白俄羅斯的人權鬥士畢亞利亞斯基，以及俄羅斯人權團體「紀念」和烏克蘭人權組織「公民自由中心」，以表彰他們捍衛人權的努力。其中烏克蘭的公民自由中心自俄羅斯今年2月入侵烏克蘭之後， 一直致力記錄俄軍犯下的戰爭罪行。,https://tw.nextapple.com/international/20221007/0183B16E97D2A878930DFA8717654BD6
0,0,0,7,曾狙殺幫主暗算角頭　威震集團董座涉賭！羈押理由曝光,2022-10-06 16:58:00,"【記者丁牧群／台北報導】威震集團董事長吳明達1999年當街狙殺北聯幫前幫主唐重生，判無期徒刑於2017年假釋，雖然仍在保護管束期間，吳男日前涉以500萬元請殺手想幹掉萬華角頭芳明館大老黃清源，被依預備殺人罪起訴，警方從吳男被查扣的手機又發現他涉嫌經營網路賭博，將犯罪所得洗到中國，檢方對此以涉犯《組織犯罪條例》等罪，向法院聲請羈押禁見吳男，台北地院今下午裁准。
",https://tw.nextapple.com/local/20221006/0183AC7B2AD3253001FA4B95BE862637
1,1,1,8,蔡英文主持玉山艦交艦　喊話繼續「國艦國造」讓國軍有最好裝備,2022-09-30 13:10:00,【記者謝仁禮／綜合報導】蔡英文總統今天（30日）上午前往高雄主持「玉山軍艦交艦典禮」，她表示，「玉山軍艦」是一艘可以具體展現海軍「平時能救災，戰時能作戰」的運輸艦，對於中國的軍事威脅，唯有強化自我防衛能力，才有真正的和平；蔡英文期許未來所有國艦國造案，都能如期如質完成，讓國軍有最好的裝備捍衛國家。,https://tw.nextapple.com/politics/20220930/01838CD17387BC3667FADA4E85F63FFF
0,1,1,9,今本土50710死亡52　40歲壯男咳嗽3天運動不協調腦炎病逝,2022-10-07 13:58:00,"【記者林芳如、賴昀岫／台北報導】中央流行疫情指揮中心今天(10/7)下午召開記者會說明最新疫情與防疫措施，疫情監測組組長周志浩宣布，今增50,710例本土，比上周五增17%，顯示國內仍處於疫情高原期，另增69例境外移入、52例死亡。",https://tw.nextapple.com/life/20221007/0183B0F1E6DF2F140DB86C2FCF43CAA4
0,1,1,10,習普會各自肚腸　美國官員：中俄不像是最好朋友,2022-09-18 13:48:00,【國際中心】「中俄關係上不封頂，沒有終點站，只有加油站」，今年2月俄羅斯總統普丁親自出席北京冬奧開幕式，當時的中國副外交部長樂玉成言猶在耳。如今，俄羅斯在烏克蘭戰事不利，樂玉成也被撤職、降調。在一片尷尬中，中國國家主席習近平與普丁15日見面，美國官員表示，值得關注的是普丁承認習近平憂心俄烏戰況，中俄不像是最好的朋友，而是權宜的夥伴關係；另專家分析，北京憂挺俄引來制裁。,https://tw.nextapple.com/international/20220918/01834F1C5711BD0F2C4D9643EE81114A
