title,date,summary,link,content
練鴻慶快評》民眾黨是「沒有九二共識的國民黨」,2022-07-01,,https://www.chinatimes.com/opinion/20220701003396-262103,柯文哲說「民眾黨就是不貪污的民進黨」，其實民眾黨也等於是「沒有九二共識的國民黨」；國民黨若要修正九二共識，固然有選舉的壓力在，但因此讓深藍的「賭爛票」跑到民眾黨去，也將是得不償失。1992年兩岸達成共識的三個元素，「一個中國、各自表述、共謀統一」，在馬英九時期，爭取到北京不提「共謀統一」，得以「一中各表」維持現狀。到了民進黨執政，北京覺得讓步沒有意義，開始把「共謀統一」放回九二共識的文本裡面。「共謀統一」對選舉可能是負面的，但國民黨黨章也寫著「追求國家富強統一之目標」，「統一」本就是國民黨既定形象的一部分。台灣人民是可以接受，以追求「將來的統一」來鞏固「現在的和平」；退萬步言，「九二共識」至少是台灣對大陸虛與委蛇、以拖待變的最好選項。這樣的理念被民進黨嘲笑也就算了，若是被「中國」國民黨否定，藍營支持者的情緒會需要一個出口，而這個出口，最有可能的就是民眾黨。以台北市為例，投給黃珊珊既能教訓民進黨，又能表達與國民黨中央的不同立場，只要這樣想的藍營支持者有5%，蔣萬安就很難有贏面。國民黨的兩岸罩門不在九二共識，而在有時對北京流露出的小媳婦心態。國民黨應該要一邊堅持「一中各表」，一邊堅持自己與中共的不同立場，偶而怒嗆北京幾句，有益選舉健康。※以上言論不代表旺中媒體集團立場※
海納百川》國民黨的滄桑正道（陳勤浩）,2022-07-01,,https://www.chinatimes.com/opinion/20220701003534-262110,去年秋，競選黨主席的朱立倫，被問到兩岸論述時總是閃爍其詞，「猶抱琵琶半遮面」，只是最近到了他至親的美利堅合眾國，才開懷暢言。一番「九二共識無共識」的宏論，飽受批評後似已「校正回歸」；另一番「國民黨永遠親美反共，與中共做價值與制度的競爭，要持續對抗共產主義」的表白，則不但充分反映其政治立場，更顯露其對歷史事實的錯誤認知，對百年來國共兩黨既有聯合又有鬥爭的歷史事實和經驗的歪曲和漠視，有必要溯本清源，以正視聽。98年前，兩黨先賢胸懷拯中華於大廈將傾，救萬民於水深火熱的赤子之心，於1924年實現第一次國共合作。在國民黨第一次全國代表大會上，中共幫助孫中山先生改組國民黨，並重新解釋以民族、民權、民生為內容的新三民主義。新三民主義與中共的民主革命綱領不謀而合，雙方確立了共同的政治基礎，轟轟烈烈的大革命從此拉開了帷幕。在蘇聯為首的共產國際幫助下，開辦黃埔軍校，展開東征及北伐戰爭，不到三年便攻佔長江以南大片國土，為 1928年剿滅北方軍閥，初步統一中國奠定了基礎。第一次國共合作的形成，除了複雜的國際國內背景客觀因素外，還與孫中山對於社會主義的友好態度有一定關係，成為推動國共合作的思想動因。孫中山先生不僅是中國民主革命的先行者，而且也是中國最早探索社會主義的先行者。社會主義思想是中山思想的理論來源之一，並且是推動其一生不斷革命、不斷進步的主要動因。1896年9月到1897年7月，孫中山旅居英國九個月，研究過社會主義。孫中山說：「我在歐洲的時候，與社會主義各派領袖人物都有過接觸，各派的理論也都研究過。我參酌了社會主義各派的理論，汲取它的精華，並顧及中國的實際情況，才創立三民主義。」1905年5月，孫中山專程到布魯塞爾造訪了恩格斯締造的第二國際總部，會見了第二國際主席王德威爾得和書記胡斯曼。孫中山以社會主義者自許，要求加入第二國際，使中國由「中世紀的生產方式直接過渡到社會主義的新階段」。後來，孫中山在致第二國際的信中又懇切請求，「同志們，我向你們大家發出呼籲，讓中國成為世界上第一個社會主義國家」，由此可見孫中山對於社會主義的嚮往。第二次國共合作於1937年至1945年歷時八年。國共兩黨形成抗日民族統一戰線的標誌事件是：國民政府承認中共合法地位，中共領導的工農紅軍和南方游擊隊改編為國民革命軍第八路軍及新編第四軍。中共轄下的蘇區政府改名為中華民國特區政府，實行比國統區還民主的民主制度（國共合作史上最早的「一國兩制」）。抗日戰爭期間，中共領導的敵後戰場和國民黨領導的正面戰場在戰略上相互配合，浴血奮戰。至1945年8月，在中國正面和敵後戰場上，國共抗日軍隊一共抵抗日軍57個師團，超過東南亞加上太平洋戰場上的日軍總數。中共領導下的八路軍新四軍依靠廣大人民群眾，開闢廣闊的敵後戰場，建立了敵後抗日民主根據地，開展艱苦卓越的敵後抗日游擊戰爭，進行了12.5萬餘次對敵作戰，始終配合國民黨正面戰場作戰，促使中國人民抗日戰爭取得了偉大勝利，被日本竊據50年的台灣寶島也得以光復，回到祖國懷抱。第三次國共合作始於2005年。國民黨歷經台灣島內的兩次大選失敗後，黨內士氣和鬥志跌至谷底。時任黨主席的連戰，不顧民進黨當局的抹紅抹黑和恐嚇阻攔，毅然率團登陸破冰，與中共總書記胡錦濤握手言和，發表了綱領性的「兩岸和平發展五項共同願景」，拉開了第三次國共合作的序幕。國共和解打開兩岸和平之窗，獲得大多數台灣同胞的擁護，成為國民黨在島內選戰的利多，終於在2006、2008兩場選戰中完勝民進黨，奪回了執政權，迎來了2008至2016年兩岸同胞大交流、大合作、大融合、大發展的黃金時期。八年間兩岸兩會共簽署了ECFA等23項協議，台灣連續九年得以用觀察員身份參加世衛大會，2015年11月還在新加坡上演了舉世矚目的「習馬會」。近百年來國共三次合作史表明，作為中國近代史上吒吒風雲的的兩大政黨，國共合則中國興，國共分則中國亂。中國的事情應由中國人自己商量著辦，無須假手他人。尤其是第三次國共合作，在兩岸關係中更發揮了非常關鍵的引領作用，從而說明國民黨不管執政還是在野，只有堅持九二共識，反對台獨，堅守民族大義，落實孫中山先生的新三民主義，為民眾謀福祉，為台海謀和平，為民族謀復興、為國家謀統一，才能振衰起敝有所作為。看著當前的台海局勢，看著民進黨當局長期過度親美的所作所為，俄烏戰爭的炮聲已經引起台灣民眾深層憂慮，台灣人也要當美國霸權代理戰爭的炮灰嗎？台灣人甘願充當民進黨「倚美抗中謀獨」的「政治賭本」嗎，在當前台海風高浪急的形勢下，是如何積極備戰還是全力避戰？台灣孫文學校總校長張亞中日前在一次兩岸交流活動中指出，「要破解目前的兩岸困局，乃至遏制美國霸權控制世界的企圖，最簡單也最釜底抽薪的做法，就是通過兩岸和平協議的協商簽署，讓兩岸可以和平發展，再經由兩岸和合的統合過程，讓兩岸在尊重與平等的基礎上完成和平統一。我認為，在這百年變局之前，兩岸的有識之士應該瞭解，這才是真正正確回應之道！」張亞中提出的因應之道，不正是中國國民黨該走的歷經三次國共合作成功驗證的滄桑正道嗎？黑格爾有句名言：「一個民數有一群仰望星空的人，他們才有希望。」當前中國共產黨正帶領十四億人民進行民族復興大業，為各民主黨派、人民團體提供了建功立業的大好歷史機遇。台灣同胞不能缺席，中國國民黨更應遵循孫中山先生的遺訓，積極投身這個偉大的歷史洪流中，與中共及其他民主黨派一起，肝膽相照、榮辱與共，攜手同心，共創國家崛起與民族中興的新時代。（作者為北京清華大學兩岸法政問題研究中心特約研究員）※以上言論不代表旺中媒體集團立場※
波頓：戰略模糊已過時 區域安全對話應納入台灣,2022-07-01,友台立場鮮明的前白宮國家安全顧問波頓今天說，美方對台奉行數十年的戰略模糊早已過時。在中國加強武嚇的背景下，他認為台灣應是印太地區安全對話不可或缺的一部分。,https://www.chinatimes.com/realtimenews/20220701000880-260408,友台立場鮮明的前白宮國家安全顧問波頓今天說，美方對台奉行數十年的戰略模糊早已過時。在中國加強武嚇的背景下，他認為台灣應是印太地區安全對話不可或缺的一部分。波頓（John Bolton）30日上午參加美國外籍記者協會（FPA）視訊座談會，與FPA會長威廉斯（Ian Williams）討論美國如何因應台灣與烏克蘭遭受的安全威脅。波頓說，2月爆發的俄烏戰爭對中國的啟示「令人不安」，因為北大西洋公約組織（NATO）軍事回應未將俄軍逐出烏克蘭，西方國家經濟制裁俄羅斯效果也有限。但他認為中國不想和台灣開戰，可能想藉宣布對台實行封鎖等方式製造危機，美國、日本及澳洲屆時必須馳援台灣。美國總統拜登5月訪問日本期間被媒體問及是否願在台海衝突時軍事介入保衛台灣時回答「是的」，並說「那是我們做過的承諾」。他事後澄清美方未放棄「戰略模糊」，北京仍表達不滿，並宣稱近期在台灣周邊海空域軍演是對「美台勾連活動」發出警告。波頓回應中央社提問「美方是否應明確承諾台灣遭侵略時會協防」時直言：「我認為戰略模糊已經過時很久了。」長期主張美國應全面外交承認台灣的波頓說，依任何國際習慣法或定義，台灣都是獨立國家，也是生氣蓬勃的民主政體，「如果這冒犯北京，也就只能這樣，這是他們必須學習的，他們不能指使我們承認哪一方，這是基本主權行為」。波頓認為，拜登政府接受美日印澳四方安全對話（Quad）機制、加入美英協助澳洲建造核子動力潛艦的三方安全夥伴（AUKUS），太平洋島國也對中國延伸觸角愈來愈憂心，如能把握機會，讓台灣成為區域安全對話不可或缺的一部分，台灣及中國周邊地區都會更加安全。波頓說：「區域局勢錯綜複雜，台灣需要成為其中一分子。如果大家肯定台灣是個正統民主國家，台灣會更安全，他們不再希望成為中國一部分。」他提到，30年來民意調查顯示台灣人自我認同出現明顯變化，認為自己是台灣人的比例持續攀升，認為自己是中國人或兩者皆是的比例不斷降低。台灣人非常渴望自治，「你可以很概略地說『他們說中文，應該是中國一部分』，去跟1776年的美國這樣講吧」。波頓說：「我們必須向中國示意，他們指使全世界該怎麼做、我們就該接受的想法是行不通的。」至於台海一旦開戰日本可能扮演什麼角色，波頓表示，日本愈來愈多人認為中國攻擊台灣將形同攻擊日本，「如果我們齊心協力，對中國的嚇阻力將遠高於美台雙邊行動，我認為日本內部很願意這麼做」。
香港主權移交25週年 英相批中國未尊重一國兩制,2022-07-01,香港7月1日迎來主權移交25週年，英國首相強生（Boris Johnson）今天表示，英國將盡己所能，好讓北京遵守25年前就香港民主權利所許下的承諾。,https://www.chinatimes.com/realtimenews/20220701000795-260408,香港7月1日迎來主權移交25週年，英國首相強生（Boris Johnson）今天表示，英國將盡己所能，好讓北京遵守25年前就香港民主權利所許下的承諾。路透社報導，強生表示，中國未能遵守承諾，未根據中英達成的協議尊重「一國兩制」安排。對於2020年實施的「港區國安法」和香港選制修改，英國的批評尤甚，認為這麼做侵蝕了香港的自由與自治。強生在一段影片貼文中說：「在主權移交25年之際，我們無法迴避北京已有一段時間未遵守其義務的事實。」「此種事態威脅了香港人的權利與自由，還有他們家鄉的持續進步和繁榮。」香港實施國安法後，英國去年為英國海外國民（British National Overseas，BNO）護照持有者引入移民管道。強生表示此計畫已收到超過12萬件香港人的申請案。強生表示：「我們沒有拋棄香港，25年前，我們對這塊領地及其人民做過承諾，我們有意遵守諾言。」他說，英國將「盡我們所能讓中國遵守承諾，好讓香港能再一次由香港人民、為香港人民運作」。法新社報導，英國外交大臣特拉斯（Liz Truss）也說，過去兩年來，香港的政治和公民權利持續被侵蝕。特拉斯表示：「當局箝制反對意見、將表達異議入罪，趕走能向強權說真話的所有人。」特拉斯說，「英國持續堅定不移地與香港站在一起」，並將「與全球自由網絡的盟邦夥伴合作，讓中國履行國際義務」。中國官員曾反批英國不應插手香港事務，並指控英國還保有殖民心態。（譯者：楊昭彥）1110701
五一建州 光怪陸離,2022-07-01,　有關於台灣未來的前途走向，除了統獨、及維持現狀，有人主張成為美國的第51個州，另有林志昇等人販售所謂「台灣『民政府』」的身分證及車牌，販夫走卒趨之若鶩。言論驚世駭俗未嘗不可，舉止法律邊緣則不可取，難怪一些縣市警察局把「民政府」列為詐騙集團，幹部在幾年前被訴涉嫌組織犯罪、詐欺及洗錢罪，日前多被判有罪，林某則於審理中在家跌倒身亡。,https://www.chinatimes.com/newspapers/20220701000472-260109,有關於台灣未來的前途走向，除了統獨、及維持現狀，有人主張成為美國的第51個州，另有林志昇等人販售所謂「台灣『民政府』」的身分證及車牌，販夫走卒趨之若鶩。言論驚世駭俗未嘗不可，舉止法律邊緣則不可取，難怪一些縣市警察局把「民政府」列為詐騙集團，幹部在幾年前被訴涉嫌組織犯罪、詐欺及洗錢罪，日前多被判有罪，林某則於審理中在家跌倒身亡。林志昇抓住一般人對於台灣定位的不安，以美國提供安全避風港的想像作為慰藉；由於入門的金額不大，不少人花錢買個平安符，無傷大雅。「民政府」相關同路人的台灣論述有過去、現在、及未來三段：由於戰後《舊金山和約》並未交代台灣的歸屬，法理上應該還是「日屬美占」；當下的中華民國只是個流亡政府，而台灣「民政府」則由美國軍政府授權統治台灣；未來訴求美國託管下的自治屬地，更有人進一步衍生推動台灣為美國的51州。這些荒誕不經的話術師承美裔英文教師何瑞元所謂「美屬台灣群島方案」，援引的是美國聯邦最高法院在20世紀初期一系列「島嶼判例」（Insular Cases），涉及波多黎各、阿拉斯加、夏威夷、關島、及菲律賓等海外領土的定位。這些判例無關國際法，而是島嶼地區是否納入成為固有的本土。終究，菲律賓獨立，阿拉斯加及夏威夷建州，波多黎各、關島、美屬維京群島、北馬里亞納群島及美屬薩摩亞則是聽來高深的「未納入領地」。儘管「未納入領地」的住民是美國的國民，卻不是公民，因此憲法的保障打折扣，而且要移居美國本土才可以票選總統。對於無法取得美國護照或綠卡的老百姓來說，沒魚蝦也好，畢竟喝良心湯沒敗害。不過，陳水扁總統8年下台入獄，竟然向美國遞狀表示自己是「美國軍政府在台代理人」，光怪陸離。其實，美軍在二戰末期反攻菲律賓，既然決定跳過台灣直攻日本本土，就沒有在台灣設置軍事政府的必要；美國從未統治過台灣，可不要半路認老爸。美國獨立後透過路易斯安那購地及美墨戰爭，完成北美洲領土擴張的「昭昭天命」，此後對於海外殖民地的取得意興闌珊。阿拉斯加是在1867年購自俄羅斯、夏威夷王國則在1893年被美國教士商賈推翻，兩地遲至1959年才建州。筆者念博士班，有一天上到菲律賓，老師R. William Liddle結論說，要是當下舉辦公投，應該至少有一半以上的人會贊成加入美國成為51州。只見平常不講話的菲律賓女同學緩緩舉手，她泰然自若地表示，「教授，應該超過9成以上才對」，一堆來自亞洲各地的留學生錯愕不已。國家是否獨立自主，取決於人民能否自立。為了要抗拒中國，竟然依附美、日甚至於投懷送抱，匪夷所思。一些台美人為台灣建州鋪路力促「美國化」，政治人物則內化為「英語為第二官方語言」；台灣又不是英美的前殖民地，推動「雙語國家」令人不解。（作者為東華大學民族事務暨發展學系教授）
時論廣場》一國兩制2.0版 看北京的決心（ 何振盛）,2022-07-01, 時值香港主權移交25周年，大陸國家主席習近平偕夫人彭麗媛於7月1日當天一同出席慶祝大會及香港特別行政區第6屆政府就職典禮。外界對於習近平在香港疫情稍歇之際即親赴香港出席重要慶典的背後原由大致解讀如下：第一，力挺警隊出身的新特首李家超，在維穩的前提下，重申「愛國者治港」的理念。第二，宣示其本身國內權位鞏固，並藉赴港展現政績為二十大個人連任拉抬聲量。第三，凸顯「一國兩制」2.0版是一個成功的修正版，不僅港澳適用，未來兩岸統一，台灣也可以如法炮製。,https://www.chinatimes.com/opinion/20220701003788-262104,時值香港主權移交25周年，大陸國家主席習近平偕夫人彭麗媛於7月1日當天一同出席慶祝大會及香港特別行政區第6屆政府就職典禮。外界對於習近平在香港疫情稍歇之際即親赴香港出席重要慶典的背後原由大致解讀如下：第一，力挺警隊出身的新特首李家超，在維穩的前提下，重申「愛國者治港」的理念。第二，宣示其本身國內權位鞏固，並藉赴港展現政績為二十大個人連任拉抬聲量。第三，凸顯「一國兩制」2.0版是一個成功的修正版，不僅港澳適用，未來兩岸統一，台灣也可以如法炮製。上述推測均甚合理，唯獨輕忽了香港主權移交的這個時點，習近平藉由踏上這塊25年前仍為英國殖民地的中國故土，喚醒中國人或許淡忘了在強權霸凌下的屈辱歲月，以及往昔仁人志士如何不屈不撓地從西方帝國主義手中奪回本屬中國的失地。習的講詞雖未多加著墨，應有其政治策略上的考量與顧忌。然而隨著俄烏戰事無限期化，美國與北約、亞太盟邦不僅沒有提出積極有效的促和止戰方案，反而利用這次戰爭的機會，強化軍事同盟關係並以中、俄兩國為明確的假想敵，其「以戰養戰」的意圖昭然若揭。習近平此時出席香港主權移交慶典，其實是在大國權力博弈下，以明白的行動向21世紀的舊列強霸權聯盟宣示捍衛故國疆土的決心。習在新舊特首交接典禮上的致詞特別強調「一國兩制」必須長期堅持，然而這個新修正的2.0版「一國兩制」最大特色是「必須堅持中央管制權和地方自治權」，尤其是直接點出「中央擁有全面管制權是特區有高度自治權的源頭。落實中央管制權是為統一銜接，才能治理好特別行政區。」相對於原本重視特區高度自治權的1.0版，2.0版「一國兩制」被視為內地化的前奏與過渡作法，是否能讓香港反中憤青平靜地接受馴化，雖難立下判斷，但在抗中領袖率多身陷囹圄或流亡海外，且新特首李家超可以預見的鐵腕施政下，即使狂風吹起，恐怕也只能帶起池塘中的漣漪。除了重申2.0版「一國兩制」與「愛國者治港」的原則外，習在致詞中也提出4個必須與4個希望，但其內容大多是「一國兩制」與「愛國者治港」原則的具體闡釋與外延補充。對於台灣而言，即使誘因更多的1.0版「一國兩制」也從未成為朝野政黨的共同選項，遑論彰顯中央管制權的2.0版？然而理解習的談話不能錯置重點，他到香港強調「一國兩制」與「愛國者治港」並非拘泥於特定的制度安排，而是堅持為了統一，不讓外來勢力將國土分裂出去，制度是可以改的，方法也非一成不變的。否則「一國兩制」何以從1.0版進階到2.0版？倘若能夠理解習在香港談話的重點，親美的民進黨政府應該重視的不是「一國兩制」內容如何的變化，而是北京追求統一的決心是不惜任何代價且不容挑戰的。蔡政府「聯美制中」引發台海軍事衝突的後果，恐怕讓台灣連2.0版的「一國兩制」方案都沒得談。習近平引荀子的話：「道阻且長，行則將至；行而不輟，未來可期」，指的或許不只是香港的未來，可能也包括台灣與兩岸的未來。（作者為佛光大學公共事務學系、未來與樂活產業學系合聘教授、台灣對外關係研究暨發展協會理事長）
拜登歐洲會盟 雷大雨小,2022-07-01,　G7峰會結束後，7國領袖發表聯合公報，除了針對俄羅斯石油出口訂定價格上限以防克里姆林宮大發戰爭財之外，也首次抨擊中國不透明、扭曲市場機制的貿易作為，認為已對世界貿易體系構成重大傷害。,https://www.chinatimes.com/newspapers/20220701000480-260109,G7峰會結束後，7國領袖發表聯合公報，除了針對俄羅斯石油出口訂定價格上限以防克里姆林宮大發戰爭財之外，也首次抨擊中國不透明、扭曲市場機制的貿易作為，認為已對世界貿易體系構成重大傷害。雖然G7其他領袖應拜登請求制裁俄羅斯與譴責中國，但能夠收效多少卻令人懷疑。由於德法義3國已對俄烏戰爭產生倦怠感，美國對烏克蘭的援助也顯著減少；因此，戰爭還能拖多久頗令人懷疑。連烏克蘭總統澤倫斯基在G7峰會的視訊演說中都表示，希望戰爭能在今年冬天以前停止，就可一葉知秋。德國總理蕭茲在G7期間表示，中國不應破壞西方對俄羅斯的制裁，說出美國因擔心美中第3次峰會破局而不願說出的話，也凸顯歐美之間的矛盾。儘管聯合公報抨擊中國非市場貿易行為，但卻未提出任何反制構想，就如同公報同意台海和平穩定的重要性一樣，不具太大實質意義。其次，G7峰會聯合公報表示，7國將在未來5年籌措6000億美元的資金，協助開發中國家推動公路、鐵路、港口、機場、數位通訊與醫療設施等基礎建設，不啻是公開挑戰中國的「一帶一路」大戰略。根據拜登的說法，美國將獨自承擔2000億美元，其餘將由G7其他成員國、國際貨幣基金、世界銀行與亞洲開發銀行共同籌措。由於具體籌措方案、對象與投資項目都還不明確，因此未來這項全球基建計畫恐怕只是「竹籃打水一場空」。更何況，拜登11月期中選後，恐怕就會成為「跛鴨總統」，屆時將更難在國會透過立法行動支持該項全球基建計畫。北約這次大幅修正戰略理念，並重新定義北約的假想敵，北約的戰略構想將俄羅斯定位為「直接與實際的威脅」，而中國更一躍成為歐洲與北約盟國「系統性的挑戰」。拜登與北約盟國領袖決定把目前只有5萬人不到的快速反應部隊擴充至30萬人以上。原先多國部隊組成的戰鬥群擴大為3000至5000人的戰鬥旅。問題是，北約的快速反應部隊迄今尚未執行過真正戰爭的任務。但在俄烏戰事爆發後，真正的戰爭隨時可能出現，擴充後的北約快速反應部隊能否勝任新的任務，不無疑問。此外，北約目前有30個成員國，未來訓練、戰力提升、情蒐、後勤補給在在考驗北約指揮官的應變與處理能力。擴充的北約快速反應部隊，未來兵源、預算，以及責任與義務的分配，恐怕不免成為爭議不休的議題。拜登這次歐洲行點子不少且充滿創意，拋出的許多構想也都能讓媒體聚焦，但他卻必須與時間賽跑，而且非常可能時不我予。（作者為淡江大學外交與國際關係學系榮譽教授）
時論廣場》北約新戰略對台效應（呂志翔 ）,2022-07-01,曾被法國總統馬克宏形容為「腦死」的「北大西洋公約組織」（NATO），在俄羅斯入侵烏克蘭的威脅之下展現了空前的韌性與團結，剛落幕的領袖峰會通過「2022戰略概念」，勾勒未來政治及軍事使命；掃除瑞典與芬蘭加入的最後障礙，NATO進一步東擴；首度邀日本、澳洲、韓國及紐西蘭與會，建構印度太平洋與歐洲大西洋的連結。面對表面豐碩的外交成果，美國拜登總統躊躇自滿地說，「這是一次歷史性的NATO峰會」，「美國領導世界處於空前有利的地位」。,https://www.chinatimes.com/opinion/20220701003780-262104,曾被法國總統馬克宏形容為「腦死」的「北大西洋公約組織」（NATO），在俄羅斯入侵烏克蘭的威脅之下展現了空前的韌性與團結，剛落幕的領袖峰會通過「2022戰略概念」，勾勒未來政治及軍事使命；掃除瑞典與芬蘭加入的最後障礙，NATO進一步東擴；首度邀日本、澳洲、韓國及紐西蘭與會，建構印度太平洋與歐洲大西洋的連結。面對表面豐碩的外交成果，美國拜登總統躊躇自滿地說，「這是一次歷史性的NATO峰會」，「美國領導世界處於空前有利的地位」。雖然俄國是「對聯盟安全最重大與直接的威脅」，NATO峰會充分反映出拜登的終極目標在建構跨越歐亞、太平洋及大西洋的反中聯盟網路，只是拜登同時挑戰俄羅斯及中國兩大戰線，是高風險政治操作，歐洲國家有所遲疑。NATO首度在戰略概念中納入中國，將中國的脅迫性政策定位為「對歐洲大西洋安全的系統性挑戰」，這是NATO的共識，卻也是現實政治妥協的結果。NATO會員國試圖掌握相互牽制的複雜關係，小心翼翼避免過於煽動、挑釁的用詞，如法國與西班牙等堅持稱中國為「挑戰」而非「威脅」；至於「系統性」一詞，歐盟2019年的「戰略展望」就視中國為「系統性對手」，NATO延續使用「系統性挑戰」，比起美國動輒形容中國為「最嚴重的威脅與挑戰」要溫和得多；另外，NATO秘書長史托騰伯格強調「中國不是敵人」，也是為雙方關係保留空間。拜登政府在國際場域擅打「台灣牌」，透過多邊或雙邊會談強調台海和平與穩定的重要性，提高國際社會對中共的壓力，但NATO未來十年的戰略藍圖中並未觸及最敏感的台灣問題，只是由史托騰伯格口述，「中共大幅增強其軍事力量，包括核子武器，霸凌鄰國，威脅台灣」。這些細膩、微妙的外交動作及文字透露了歐洲國家仍希望保持相當程度的戰略、外交「自主權」，其中最關鍵因素在於，對歐洲國家而言，由於地理因素、領導人性格、威脅的型態與強度等因素，中共與俄羅斯的威脅本質有很大的差異性，以及美國、歐洲與中國關係涉及的國家利益也有區隔，最終仍是回歸現實地緣政治的國家利益及實力的考量。在NATO峰會，美國更率先承諾進行數十年來最大的軍事擴張，在歐洲維持10萬名駐軍，在波蘭設立永久性前進指揮所、在羅馬尼亞輪調部署戰鬥旅，駐防在西班牙羅塔海軍基地的驅逐艦由4艘增加為6艘，派遣兩個F-35中隊進駐英國等等，而北約的快速反應部隊也將從目前的4萬名擴編為30萬。面對俄羅斯的軍事侵略，美國加強對烏克蘭的軍事援助及NATO軍力自然贏得喝采，但相形之下，拜登政府喊得震天價響的「轉向亞洲」、「印太戰略」仍停留在紙上談兵，缺乏具體行動，加深了「重歐輕亞」的刻板印象，無論對於印太地區的盟邦、夥伴、甚至對手發出的是矛盾、困惑的訊息。以台灣為例，自2019年以來，美國歷屆政府批准170億美元對台軍售，但未交付項目高達142億美元，美國最近擴大對烏克蘭軍援及歐洲軍力部署，必然排擠到對台軍售及美國在印太地區的軍事態勢。外交部以「樂見北約展現全球視野」回應NATO的新版戰略概念，顯示民進黨政府似乎仍無法看清此事對台灣的效應。
為疫情後準備 中國南方航空計畫採購96架空巴飛機,2022-07-01,路透報導，中國南方航空股份有限公司（簡稱﹕南方航空）計畫斥資122.5億美元向空中巴士公司購買96架飛機，擴充其機隊，以備新冠疫情後旅行需求迅速恢復。,https://www.chinatimes.com/realtimenews/20220701004424-260409,路透報導，中國南方航空股份有限公司（簡稱﹕南方航空）計畫斥資122.5億美元向空中巴士公司購買96架飛機，擴充其機隊，以備新冠疫情後旅行需求迅速恢復。南方航空今天（1日）表示，公司計畫購買A320NEO系列窄體飛機，這些飛機可能在2024年至2027年交付。購買這些飛機料將提升運力約13.0％。空中巴士預計在2024年將交付30架，2025年交付40架，2026年交付19架，2027年交付7架。 總共96架。南方航空表示，董事會認為，這次購買飛機符合該公司第14個五年計畫中規定的機隊戰略，這將有助於提高公司的競爭力。除了向空巴購買外，南方航空公司也是波音的頂級客戶，波音未來三年將交付103架波音737 MAX噴氣式飛機給南航。與許多同行一樣，南方航空受到了新冠疫情的嚴重衝擊；限制世界各地的商務和休閒旅行。但隨著各國開始放寬抗疫限制措施，航空旅行業正在復甦。
北約秘書長稱中國威脅台灣 國台辦：反對涉台錯誤言論,2022-07-01,大陸國台辦1日發布答記者問，就北大西洋公約組織（NATO）秘書長史托騰柏格〈Jens Stoltenberg）在北約峰會記者會上 稱「中國威脅台灣」一事，大陸國台辦發言人朱鳳蓮表示，堅決反對北約領導人在涉台問題上的錯誤言論，強調台灣是中國的一部分，廣大台灣同胞是我們的骨肉兄弟，依法嚴懲台獨分裂勢力、反制外部勢力干涉，是維護國家主權和領土完整的正義行動。,https://www.chinatimes.com/realtimenews/20220701003135-260409,大陸國台辦1日發布答記者問，就北大西洋公約組織（NATO）秘書長史托騰柏格〈Jens Stoltenberg）在北約峰會記者會上 稱「中國威脅台灣」一事，大陸國台辦發言人朱鳳蓮表示，堅決反對北約領導人在涉台問題上的錯誤言論，強調台灣是中國的一部分，廣大台灣同胞是我們的骨肉兄弟，依法嚴懲台獨分裂勢力、反制外部勢力干涉，是維護國家主權和領土完整的正義行動。朱鳳蓮表示，散佈所謂「中國威脅台灣」謬論，目的是利用台灣問題干涉中國內政。有關組織和個人必須糾正錯誤，必須恪守一個中國原則和國際關係基本準則，停止向台獨勢力發出錯誤訊號。史托騰柏格日前在馬德里舉辦的北約峰會期間表示，中國並非北約的敵人，但正在大幅增強軍事力量包括核武器在內，同時也正欺負鄰國且威脅台灣，並通過先進的技術監測監控公民、散佈俄羅斯的謊言和虛假訊息。
