title,date,summary,link,content
三星搶先3奈米 良率、報價是關鍵,2022-07-01,三星電子宣布，已領先開始量產三奈米製程晶片，希望吸引新客戶，以趕上台積電；但專家質疑，三星採用GAA（環繞式閘極）技術複雜度高，成本昂貴，良率與品質恐有疑問，恐怕是宣示意義較大。韓媒近來大肆報導三星電子開始量產GAA架構的三奈米晶片，並指與五奈米製程相比，三奈米製程能降低四十五％的功耗，提升二十三％,https://ec.ltn.com.tw/article/paper/1525989,三星電子宣布，已領先開始量產3奈米製程晶片；但專家質疑，三星採用GAA（環繞式閘極）技術複雜度高，成本昂貴，良率與品質恐有疑問。（法新社）〔編譯盧永山、記者洪友芳／綜合報導〕三星電子宣布，已領先開始量產三奈米製程晶片，希望吸引新客戶，以趕上台積電；但專家質疑，三星採用GAA（環繞式閘極）技術複雜度高，成本昂貴，良率與品質恐有疑問，恐怕是宣示意義較大。韓媒近來大肆報導三星電子開始量產GAA架構的三奈米晶片，並指與五奈米製程相比，三奈米製程能降低四十五％的功耗，提升二十三％的性能，並減少十六％的面積；三星電子並未公布最新製程的客戶，但分析師指出，三星電子本身和中國企業可能是頭一批客戶。請繼續往下閱讀...工研院產業科技國際策略發展所研究總監楊瑞臨直言，有別於台積電預計下半年量產的FinFET（鰭式場效電晶體），三星的GAA技術複雜度高，良率與品質恐不好，交期難掌控，相對報價恐會高到嚇跑客戶；三星應是宣示意義大，說不定連內部的手機部門都不太敢採用。楊瑞臨認為，台積電都是技術到位且已做好接單的準備、甚至接單了，才會對外宣布；他推測三星最多僅是技術面有所突破，在商品化與業務接單，可能仍有一段距離要走，還需觀察其在市場的實際表現。過去兩家公司以先進製程產出的晶片，三星常會有晶片過熱等問題，應用在手機上，往往是台積電的產品品質較佳。台積電不評論三星宣布三奈米量產一事。另南韓統計廳表示，五月全國記憶晶片庫存較去年同期暴增五十三．四％，為二○一八年三月以來最大增幅，顯示全球電子產品中使用記憶晶片的需求放緩；而自去年十月以來，南韓記憶晶片庫存年增率就持續上升，南韓是全球最大的記憶晶片生產國。南韓報告還顯示，半導體出貨量放緩，五月出貨量較去年同期僅增加八．九％，為二○一九年十月以來首次個位數增長；半導體產量增幅也放緩至二十四．三％，為去年二月以來的最低增速。
財經青紅燈》誰綁架了台積電？,2022-07-01,這次國內電價調漲，用電大戶一次調漲15%，高於預期，讓業界有許多不同反彈聲音。有些業者私下把矛頭指向半導體產業、甚至直指台積電（2330），尤其傳統產業這次心裡更是不平，認為政府不該齊頭式的調漲電價。這次調漲電價，政府有一個說法是台商回流，享用便宜的電價，創造極佳的獲利，理應使用者付費；但若細究去年,https://ec.ltn.com.tw/article/paper/1525984,"這次國內電價調漲，用電大戶一次調漲15%，高於預期，讓業界有許多不同反彈聲音。有些業者私下把矛頭指向半導體產業、甚至直指台積電（2330），尤其傳統產業這次心裡更是不平，認為政府不該齊頭式的調漲電價。這次調漲電價，政府有一個說法是台商回流，享用便宜的電價，創造極佳的獲利，理應使用者付費；但若細究去年上市櫃公司獲利，成長最多的是航運業，其次是半導體業，而航運業國內用電增加有限，所以要漲電價，應該只漲賺最多、用電最大的半導體業；還有業者認為，如果不是因為台積電這個吃電怪獸，全台根本不會有缺電的問題。請繼續往下閱讀...對半導體業或台積電有不同聲音的不只其他產業，台灣董事學會創辦人蔡鴻青本週也在該會的年會上提出台灣目前的五大挑戰，其中之一就是台灣過度把資源集中在半導體產業上，已是國際間少見的異常。他還指出，台積電占台股市值25%，日本第一大企業豐田佔日股市值3%、韓國第一大企業三星佔韓股市值14%，台灣應該把部分資源引導到其他產業，會有更良性的發展。只是，台灣能不偏食嗎?財經專家昨天點出，台灣對中國大量的貿易順差，主要就是來自半導體業，說半導體業是台灣的「命根子」，這個講法凸顯現在半導體業對台灣的重要性，的確也是事實。在疫情期間，全球發現晶片短缺，已成國安問題，也才發現台灣的關鍵地位。從台積電到整個台灣半導體產業築起的矽盾，成為台灣不可或缺的力量，但隨著單一產業、單一公司過於強大，不同的聲音也油然而起。台灣需要半導體業也需要台積電，而台積電跟半導體業沒有台灣便宜的水、電，競爭力也大打折扣，所以到底是台積電綁架了我們、還是我們綁架了台積電，恐怕是一個無解的問題！（陳永吉）

"
自由廣場》當北約恢復活力···,2022-07-01,北大西洋公約組織NATO高峰會六月廿九日起在西班牙馬德里登場，陷入膠著狀態俄烏戰爭是主要討論焦點，最大亮點則是首度邀請日本首相岸田文雄、南韓總統尹錫悅、澳洲總理艾班尼斯以及紐西蘭總理阿爾登等四位亞太盟國領袖出席。擁有超過七十年歷史的北約，是二次世界大戰以來最成功的共同安全組織，任何一成員國遭受武力攻,https://talk.ltn.com.tw/article/paper/1526011,"◎ 陳永昌北大西洋公約組織NATO高峰會六月廿九日起在西班牙馬德里登場，陷入膠著狀態俄烏戰爭是主要討論焦點，最大亮點則是首度邀請日本首相岸田文雄、南韓總統尹錫悅、澳洲總理艾班尼斯以及紐西蘭總理阿爾登等四位亞太盟國領袖出席。擁有超過七十年歷史的北約，是二次世界大戰以來最成功的共同安全組織，任何一成員國遭受武力攻擊，即視同攻擊所有成員國。隨著冷戰結束蘇聯解體，北約存在價值因為失去共同敵人而備受質疑，主導勢力美國嘗試推動北約「全球化」議程，無法取得歐美跨大西洋兩端共識下，角色與功能一度弱化。二○一四年俄羅斯併吞克里米亞，又揮軍入侵烏克蘭，俄羅斯威脅再次兵臨城下，北約恢復昔日活力，瑞典與芬蘭兩中立國先後申請加入。請繼續往下閱讀...二○二○年底，北約發表《北約二○三○：團結面對新時代》報告，強調安全議題不再只侷限於特定區域，第一次提到中國挑戰；野心勃勃擴充全球影響力並輸出極權專制的中國被定位為「全方位的系統性對手」，建議北約應該將戰略眼光擴及太平洋，與日、韓、澳、紐等理念相近夥伴國家加強合作，促成此次四國領袖以夥伴國身份跨海助陣。這與拜登政府致力推動的拉攏盟友對抗中國方向不謀而合，再配合澳英美軍事聯盟AUKUS以及五眼聯盟等安全合作機制，制衡中國網絡越織越密。英國外交大臣特拉斯四月底指出：北約不應該只是在歐洲大西洋或印度太平洋之間做選擇，必須對印太地區威脅「先發制人」，將全球視野擴展至北約成員國以外的民主國家，確保像是台灣的民主政體有能力自我防衛。台灣沒有被遺忘，北約吹響捍衛全球民主自由的號角。一向緊跟美國腳步的日本，岸田文雄成為第一位出席北約峰會的日本首相，高調預告將藉出席機會重申：任何以武力改變現狀的企圖，在世界任何地方都是不能接受的，不點名再一次將俄烏戰爭與台海和平進行連結。就職後第一次出訪的尹錫悅，也清楚展現向美國靠攏的立場。繼五月初成為北約網路防禦中心第一個亞洲國家成員後，首爾當局宣布將在北約總部比利時布魯塞爾成立常駐北約代表團，為雙方情報分享與聯合軍事演習鋪路。早在二○一八年七月，日本即成立常駐北約代表團，針對危機管理與海盜治理等事項展開合作，南韓只是跟進日本前例。目前日本在布魯塞爾大使館同時派駐兩位大使合署辦公，一位是駐比利時兼北約代表部大使，另一位則是駐歐盟大使，因為布魯塞爾也是歐盟總部所在地。至於南韓，駐比利時大使同時兼有駐歐盟大使銜，與台灣駐歐盟兼有駐比利時大使銜類似，未來是同一位大使兼具三種身份，或是仿傚日本派駐另一位駐北約大使，有待後續觀察。台灣駐歐盟兼駐比利時代表處一向是台灣對歐外交重鎮，自二○○一年更名以來，歷任代表或大使都高規格由外交部次長級資深外交官擔任，更有駐歐盟大使直接調返出任外交部長的前例。即使現階段台灣無法與北約締結正式關係，善加利用目前有利條件，進一步強化與北約實質安全連結，是國安暨外交系統努力的方向。（作者為企業專業經理人）
    不用抽 不用搶 現在用APP看新聞 保證天天中獎　
    點我下載APP　
    按我看活動辦法
"
颱風+熱帶低壓 今起雨連下一週,2022-07-01,今年颱風季首颱芙蓉（Chaba）昨上午八點生成，還有一個熱帶性低氣壓TD○五估最快今上午會增強為艾利（Aere）颱風，氣象局預估，上述兩者直接侵台機率低，但將接力影響天氣，即日起未來一週全台易有雨，南部、東部地區未來一週整天有雨且須留意局部大雨，北部、東北部則是午後雷陣雨為主。,https://news.ltn.com.tw/news/life/paper/1526107,芙蓉颱風與熱低壓路徑圖〔記者陳心瑜／台北報導〕今年颱風季首颱芙蓉（Chaba）昨上午八點生成，還有一個熱帶性低氣壓TD○五估最快今上午會增強為艾利（Aere）颱風，氣象局預估，上述兩者直接侵台機率低，但將接力影響天氣，即日起未來一週全台易有雨，南部、東部地區未來一週整天有雨且須留意局部大雨，北部、東北部則是午後雷陣雨為主。中央氣象局預報員林定宜說，即日起至下週四受低壓帶北抬影響，台灣附近天氣不穩定、水氣增加，今天至下週一受到芙蓉颱風影響，下週二起則受TD○五或艾利颱風影響，讓低壓帶內水氣更豐沛，外圍水氣隨地形抬升成雲降雨、水氣輻合作用，影響全台天氣較不穩定。請繼續往下閱讀...林定宜說，芙蓉預計今上午將朝西北轉西北西方向往中國海南島方向前進，下週日觸碰陸地後，強度近輕度颱風下限，轉中颱機率低，且距離台灣遠，發布海陸警機率低。而約在菲律賓東方海面的TD○五最快今天上半天增強為今年第四號颱風艾利，TD○五今天將朝北行進到菲律賓東北東方，往日本琉球東方海面前進，發展強度同樣有限，未來強度以輕度颱風為主。雙颱距離會越來越遠，彼此相互影響機率低。林定宜表示，即日起低壓帶北移，至下週一前，迎風面南部、東部地區有短暫陣雨或雷雨，可能有局部大雨；北部、東北部白天天氣較穩定，午後可能有局部短暫雷陣雨。週二開始雨區略擴大到中部，TD○五或輕颱艾利經過琉球海域時，台灣附近風場轉為為西南風，中南部、東南部有短暫陣雨或雷雨，並有局部大雨發生機率；北部、東北部同樣是午後雷陣雨為主。北台灣昨天豔陽高照，但今天起就要變天，南部整天有雨，北部則有午後雷陣雨。（記者方賓照攝）
自由廣場》蔣萬安「服務型政府」有貓膩,2022-07-01,國民黨台北市長候選人蔣萬安昨日公開競選口號，宣稱要打造「服務型政府」，筆者心中冒出斗大的問號，政府的天職本為服務民眾，怎會有此說法？就如同「醫療型醫院」、「國防型軍隊」般空洞而荒謬。心想，蔣萬安身為留美博士，所謂「服務型政府」或許是微言大義。但經文獻檢閱卻發現，英、美自傳統公共行政時期以至晚近新公共,https://talk.ltn.com.tw/article/paper/1526005,◎ 范綱植國民黨台北市長候選人蔣萬安昨日公開競選口號，宣稱要打造「服務型政府」，筆者心中冒出斗大的問號，政府的天職本為服務民眾，怎會有此說法？就如同「醫療型醫院」、「國防型軍隊」般空洞而荒謬。心想，蔣萬安身為留美博士，所謂「服務型政府」或許是微言大義。但經文獻檢閱卻發現，英、美自傳統公共行政時期以至晚近新公共行政、新公共管理、新公共服務等階段，並未有以「服務型政府」為名之完整學說，關於政府「服務」之論述大抵是一種「取向」(oriented)，亦即通常會在「服務」之前或後再加上一個名詞，以界定服務的範圍與目的。例如實務上國發會目前正推動跨部會之「服務型智慧政府2.0」專案，以打造智慧國家，這是明確而可理解的。請繼續往下閱讀...而「服務型政府」被視為一個獨立的政綱與學術概念，出自於中共二○一九年召開之十九屆中央委員會第四次全體會議所提到「提高行政效能，建設人民滿意的服務型政府」。隨後「服務型政府」在中國官媒文章以及中國學界論文大規模援引，遍地開花，且被中國的地方政府及特區政府奉為圭臬。蔣萬安提出「服務型政府」這樣的競選主軸，有兩種可能：其一為蔣萬安知悉「服務型政府」是中國政策用語，藉此發送調頻；其二為蔣萬安根本不知道「服務型政府」是中國政策用語，那代表其只是被架空的魁儡，另有力量操控。這樣的競選主軸若將來印在選舉公報上，恐怕連台北市最自豪的「知識藍」看了也會搖頭。（作者為法學碩士，大學行政人員）
香港移交25週年 習訪港「立威」,2022-07-01,中國國家主席習近平六月卅日親臨香港準備出席香港主權移交廿五週年慶祝活動，大讚「一國兩制」是好制度，並稱香港在「歷經風雨」後已「浴火重生」並呈現蓬勃生機，證明「一國兩制」具有強大生命力。分析家直言，香港已完成「二次主權移交」，「一國兩制」早就是「一國一制」。,https://news.ltn.com.tw/news/world/paper/1526102,港警採取空前措施加強維安，包括港警6月30日在習近平搭乘高鐵抵港的西九龍站外檢查記者的隨身物品。（彭博）〔編譯張沛元／綜合報導〕中國國家主席習近平六月卅日親臨香港準備出席香港主權移交廿五週年慶祝活動，大讚「一國兩制」是好制度，並稱香港在「歷經風雨」後已「浴火重生」並呈現蓬勃生機，證明「一國兩制」具有強大生命力。分析家直言，香港已完成「二次主權移交」，「一國兩制」早就是「一國一制」。這是習近平自二○二○年初武漢肺炎疫情爆發以來，首度訪問中國本土以外的地區，他在六月卅日午後三時偕妻彭麗媛搭乘高鐵抵港，隨行者還有外長王毅等中央五大機構要員。習近平抵港後表示，香港在「過去一個時期」歷經多次嚴峻考驗也戰勝各個風險挑戰，「歷經風雨後，香港浴火重生，展現出蓬勃的生機」，證明「一國兩制」具有強大生命力，是確保香港長期繁榮穩定、維護港人福祉的好制度；香港只要堅持「一國兩制」，未來勢必更加美好，能為中華民族復興做出更大貢獻。請繼續往下閱讀...習近平雖未言明何謂香港在過去一段時間所遭遇的考驗與挑戰，但據信應是指二○一九年香港「反送中」運動所引發的社會動盪。抵港後習近平先前往會議展覽中心會見將卸任的特區行政長官林鄭月娥，也會見港府行政、立法及司法機構和上百名香港各界人士。之後會見澳門行政長官賀一誠，再前往大埔科學園視察。在港行程細節保密到家當局對習近平此行細節保密到家，但港媒披露，習近平伉儷六月卅日晚間出席林鄭月娥在禮賓府所設的晚宴後，會返回深圳過夜，七月一日再前往香港灣仔會展中心主持新任特首李家超的就職典禮與接見官員，之後搭機離港。香港警方為確保習近平來訪時的安全，採取空前維安措施，包括大範圍封路與設立臨時禁飛區；此外，當局也力阻任何恐令北京當局尷尬的場面，香港少數尚存的反對勢力「社民連」已表態，不會在七一當天示威。移居台灣的香港評論員、台灣香港協會理事長桑普告訴自由亞洲電台，習甘冒染疫與被政變或暗殺的風險執意高調訪港，顯然意在中共第廿次全國代表大會（廿大）前彰顯自己仍大權在握；習近平訪港是為了立威，顯示他已全面管制香港；香港在北京當局曾保證的「五十年不變」走到一半之際已完成「二次回歸」，即「二次主權移交」。中國國家主席習近平（中）6月30日在高鐵香港西九龍站致詞，聲稱香港在歷經風雨後浴火重生，大讚「一國兩制」是好制度。親臨車站迎接的香港特首林鄭月娥等人在旁聆聽。（彭博）習近平車隊行經的道路幾乎淨空。（美聯社）
自由日日Shoot》千年大計 中最大高鐵站 1天1班車,2022-07-01,中國國家主席習近平二○一四年起「親自謀劃、親自決策」位於河北省保定市東部的「雄安新區」一七年做為中國首個由中共中央、國務院印發通知成立的國家級新區，近期卻被媒體揭露，號稱亞洲最大高鐵站的雄安站，現今往返首都北京西站僅每日一班車的慘況，和原本定位的「千年大計、國家大事」榮景相去甚遠，遭譏為浪費資源的「,https://news.ltn.com.tw/news/world/paper/1526100,中共定位為「千年大計、國家大事」的河北省保定市東部「雄安新區」，設有鐵路雄安站，號稱亞洲最大高鐵站，但六月傳出每天往返首都北京西站僅一班車，遭民間譏為浪費資源的「大白象工程」。（取自網路）〔編譯周虹汶／綜合報導〕中國國家主席習近平二○一四年起「親自謀劃、親自決策」位於河北省保定市東部的「雄安新區」一七年做為中國首個由中共中央、國務院印發通知成立的國家級新區，近期卻被媒體揭露，號稱亞洲最大高鐵站的雄安站，現今往返首都北京西站僅每日一班車的慘況，和原本定位的「千年大計、國家大事」榮景相去甚遠，遭譏為浪費資源的「大白象工程」。中國目前共有十九個國家級新區，雄安新區最新，官方一七年將之定位為北京非首都功能紓解集中承載地，隔年更以「新時代的中國：雄安探索人類發展的未來之城」形象對外宣傳。請繼續往下閱讀...但美國國際媒體署轄下「自由亞洲電台」（RFA）六月廿九日指出，根據中國自媒體「海住研究院」報導，總建設規模達四十五．二九萬平方公尺、相當於北京站六倍的鐵路雄安站，二○年底啟用時還有中共黨媒賦予的「中國高鐵新名片」美譽；官方數據如今卻顯示，受北京、河北防疫政策及雄安新區發展影響，目前往返北京西站只有一天一班車。「海住研究院」質疑「如果一條高鐵線路開通運營後客流慘淡，這是否是一種嚴重的資金浪費和資源錯配？」但此報導目前已不復見，微信顯示「此內容因違規無法查看」。翻牆看過報導的中國網民揶揄建議，把這個六十六個足球場大的雄安站「炸一炸改造成末日廢土主題公園，或是當影視基地拍《終結者》續集多好！」
日擴大與北約合作 5年內強化防衛,2022-07-01,為牽制中國擴張軍事力量，出席北大西洋公約組織（NATO）高峰會的日本首相岸田文雄，在拜會北約秘書長史托騰柏格（Jens Stoltenberg）時表明，將修改二○一四年制定的「日NATO個別夥伴合作計畫」（IPCP），擴大與北約的防衛合作。,https://news.ltn.com.tw/news/world/paper/1526103,美國總統拜登、日本首相岸田文雄（右）和南韓總統尹錫悅六月廿九日在北大西洋公約組織（NATO）高峰會場邊舉行會談。（美聯社）〔駐日特派員林翠儀、編譯張沛元／綜合報導〕為牽制中國擴張軍事力量，出席北大西洋公約組織（NATO）高峰會的日本首相岸田文雄，在拜會北約秘書長史托騰柏格（Jens Stoltenberg）時表明，將修改二○一四年制定的「日NATO個別夥伴合作計畫」（IPCP），擴大與北約的防衛合作。日本、南韓、澳洲和紐西蘭這次以「亞洲太平洋夥伴國」身分，受邀參與北約三十國領袖峰會，岸田也是首位出席北約峰會的日本首相。日本產經新聞報導，外務省官員認為這是「非常大的一步」，尤其在「台灣有事」的可能性等中國威脅增加的情況下，對日本而言，加強北約對印太地區的參與不可或缺；另一方面，北約也將日本定位為亞洲重要夥伴。請繼續往下閱讀...紐總理批中企圖挑戰國際規則紐西蘭總理阿爾登也批評中國「更為獨斷，更想要挑戰國際規則與規範」，呼籲運用外交與經濟聯繫，在印度—太平洋地區建立關係。阿爾登說，紐西蘭參加北約峰會並非旨在擴張該軍事聯盟，而是要對世界有所貢獻，以減少召喚北約伸援，「我們必須堅守以規則為基礎的秩序、號召外交接觸，以及無論何時何地發現侵犯人權情事都要挺身出言反對」。「明天東亞可能變成烏克蘭」日本時事通信報導，日本和北約將在網路防衛、新興技術、海洋安保等領域推進合作，岸田還表明將繼續向北約總部派遣自衛官，參加軍事演習的相互觀察員等方針，並希望定期參加北約最高決策機構「北大西洋理事會」（NAC）。岸田重申，「明天的東亞可能變成烏克蘭」，強調國際社會應該團結表明，在東海及南海藉由武力片面改變現狀的嘗試「絕對不會成功」。他宣示將在五年內徹底強化日本防衛能力、確保防衛經費增加相當額度的決心。與此同時，美日韓三國領袖六月廿九日也在北約峰會場邊，舉行近五年來的首次三方峰會，對於北韓試射飛彈及進行核試同感憂慮，同意加強安全保障合作因應。美國總統拜登向岸田和南韓總統尹錫悅重申，美國對日韓兩國的防衛承諾不會動搖。
蔡：面對中國威脅 台灣不退縮,2022-07-01,"民進黨主席蔡英文昨受邀在國際自由聯盟（Liberal International,LI）大會開幕式以預錄影片致詞。蔡英文表示，面對新冠疫情對全球人類和經濟的影響，同時面對威權主義企圖滲透民主及侵犯人權，必須深化自己對威權操弄手段的了解。威權政體擅長分而治之、各個擊破，只有齊心協力、相互支持，才能成功",https://news.ltn.com.tw/news/politics/paper/1526092,"民進黨主席蔡英文在國際自由聯盟75週年暨第63屆大會開幕式上以預錄影片致詞。（民進黨提供）〔記者陳昀／台北報導〕民進黨主席蔡英文昨受邀在國際自由聯盟（Liberal International,LI）大會開幕式以預錄影片致詞。蔡英文表示，面對新冠疫情對全球人類和經濟的影響，同時面對威權主義企圖滲透民主及侵犯人權，必須深化自己對威權操弄手段的了解。威權政體擅長分而治之、各個擊破，只有齊心協力、相互支持，才能成功打擊威權政體的擴張主義。民進黨由發言人暨國際部副主任謝佩芬代表出席大會。蔡英文指出，近年台灣面臨來自中國日益上升的威脅，試圖摧毀一直努力爭取的民主生活，但面對威權入侵，台灣從人民到政府不但沒有退縮，更正面回應挑戰，對抗來自國內外試圖破壞民主的勢力，同時做好準備，加強與國際社會的合作，共同努力捍衛民主自由的世界秩序。請繼續往下閱讀...蔡英文說，看到俄羅斯對烏克蘭的種種暴行，台灣人因為能幫助烏克蘭人保家衛國而驕傲，但努力不能止步於此，必須深化自己對威權操弄手段的了解，也必須加強夥伴關係和保衛彼此，威權政體擅長分而治之、各個擊破，因此只有齊心協力、相互支持，才能成功打擊威權政體的擴張主義。"
生產基地移回國內 台廠擴廠 逾7成首選台灣,2022-07-01,美中貿易戰、疫情等衝擊，台灣成為台廠避風港。有別於過去選擇中國、東協擴廠，經濟部最新調查顯示，去年外銷訂單廠商有擴增產線者，高達七十七．一％選擇留台，以科技業最多；這也使外銷訂單國內生產比創八年新高，達到四十八．四％。外銷訂單國內生產比 8年新高,https://ec.ltn.com.tw/article/paper/1526024,經濟部最新調查顯示，去年外銷訂單廠商有擴增產線者，高達七十七．一％選擇留台。（資料照）〔記者黃佩君／台北報導〕美中貿易戰、疫情等衝擊，台灣成為台廠避風港。有別於過去選擇中國、東協擴廠，經濟部最新調查顯示，去年外銷訂單廠商有擴增產線者，高達七十七．一％選擇留台，以科技業最多；這也使外銷訂單國內生產比創八年新高，達到四十八．四％。經濟部昨公布「外銷訂單海外生產實況調查」，今年共調查二八四三家，回收樣本二八一六家；因近年海外不利因素升高，去年國內生產比率為二○一三年以來新高，比率高達四十八．四％、年增二．四個百分點。請繼續往下閱讀...過去最大宗的中國及香港生產占四十二．四％、下降三．一個百分點，主因美中貿易戰及疫情加速全球供應鏈重組，台商逐漸將生產基地移回國內。東協占三．二％排第三、年增○．三個百分點，主因資通信產品擴大在東協生產。台灣也成海外不利因素下擴廠首選。共有一二七家廠商去年擴充產線，選擇在台擴廠者高達一一一家、占比七十七．一％，增加三十六個百分點，僅二十二．九％移出。擴廠比率最高為科技類的資通信產品、光學器材、電子產品，分別為二十五．六％、十六．三％及十四．一％。在競爭對手方面，中系企業仍為海外最大競爭對手。外銷業者主要競爭對手以「國內同業」為主，占五十一．二％最多；海外最大則為「中系企業」、占二十二．八％，「歐美系」占九．三％ 、「日韓系」占八．三％，分居第三及第四。廠商在海外生產原因，仍以「生產成本低廉」居首位，占五十．六％，「配合客戶要求」占五十．三％次之；「當地原材物料供應方便」占三十八％居第三，但占比連三年提高，顯示武肺造成斷鏈，原材物料供應順暢與否更加受到重視。
