relsub,relsum,rel,index,title,date,summary,link
0,0,0,1,新住民機車考照輔導班 新住民晉升「新」手駕駛,2022-06-30,為讓更多新住民瞭解台灣的交通規則及安全常識，並解決日常生活中「行」的需求，高市苓雅區戶政事務所開辦的「新住民機車考照輔導班」圓滿結訓，學員中多人通過筆試及路考取得駕照，晉升「新」手駕駛；沒通過人員表示太緊張了，會再接再厲，一定要考取駕照。為期5週的考照輔導課程，苓雅區戶政事務所聘請監理機關人員擔任講,https://news.ltn.com.tw/news/life/breakingnews/3977272
0,0,0,2,就業前景不妙 近6成中國民眾寧願存錢不想花,2022-06-30,根據CNBC報導，中國人民銀行公布的調查顯示，由於中國堅持實施清零政策，導致就業前景不妙，第2季有58.3%的中國消費者寧願將錢存起來，而不願支出或投資，高於第1季的54.7%，續創2002年以來最高。　中國為了防止武肺Omicron 變種病毒株擴散，第2季在全國多個省市實施嚴格防疫封控措施，上海在,https://ec.ltn.com.tw/article/breakingnews/3977323
1,1,1,3,自由開講》疫情時代的焦慮：從懷舊風電影熱賣談起,2022-06-30,邱志偉近期有三部電影熱映中，題材或劇情都融有懷舊或歷史與當代融合的手法。最強銷的當屬：《捍衛戰士：獨行俠》，題材歷久不衰的是：《侏羅紀世界：統霸天下》，30年來已經有個版本，創造總票房超過50億美元。至於回味過往美好年代的，則是談論搖滾巨星貓王的傳記電影：《貓王艾維斯》。這三部電影，在這疫情嚴峻卻又,https://talk.ltn.com.tw/article/breakingnews/3977238
0,0,0,4,高雄版「珍寶海鮮舫」拍賣1365萬 債務人怒駡：值逾億被法院賤賣,2022-06-30,高雄版的「珍寶海鮮舫」21年前風光開幕，但不到1年就倒閉，高雄港務公司本月14日以1365萬拍賣價買下2艘船的所有權，但當初借2千多萬給公司的戴姓婦人不滿，指高雄地院把市值破億的「海上皇宮」以「動產」賤賣，但依《強制執行法》規定，「海上皇宮」應屬「不動產」，兩者價差超過億元，如今被賤賣害她血本無歸，,https://news.ltn.com.tw/news/society/breakingnews/3977290
0,1,1,5,中國國有銀行洩經濟慘狀   存款利率全倒掛,2022-06-30,習近平堅持清零防疫政策，重創中國經濟，官方至今尚未下修今年GDP預測，但中國國有大行庫卻意外洩漏經濟下行證據。中國工商銀行、中國銀行、建設銀行等大型銀行的3年期存款利率與5年期存款利率全數倒掛。也就是，3年期存款利率高於5年期存款利率。中國經濟學家解讀，由於經濟疲弱，企業無法也不願意增加貸款，加以政,https://ec.ltn.com.tw/article/breakingnews/3977101
0,1,1,6,自由開講》年底選舉「台灣海峽是中國內海」的公投！,2022-06-30,陳慶坤中國軍方與外交部門近日接連宣稱台灣海峽非「國際水域」，並指中國對台灣海峽具有主權與管轄權，遭到台灣與美國駁斥。中國國民黨國際部主任黃介正表示，中國的說法並無違法，且美國所指「國際水域」在國際海洋法上站不住腳。從黃介正的說法，引來國際法的專家學者就法律的層面加以批駁，筆者僅就黃介正的說法從邏輯論,https://talk.ltn.com.tw/article/breakingnews/3977300
0,0,0,7,英對中鋼鐵關稅再延2年 烏國免稅,2022-06-30,英國政府宣布，中國和其他國家進口的鋼鐵關稅要再延長2年，烏克蘭則免稅，並承認此舉恐違反世界貿易組織（WTO）的貿易法規。《衛報》報導，英國日前決定將5類鋼材，包含燃氣管道和鐵路材料在內的進口關稅，一同延長至2024年6月。國際貿易部長Anne-Marie Trevelyan表示，儘管保護英國鋼鐵業的,https://ec.ltn.com.tw/article/breakingnews/3977229
0,0,0,8,劉樂妍舔共無下限「要不是我台灣健保早倒了」 網揪翻牆嗆爆,2022-06-30,藝人劉樂妍長期在中國發展，時不時貶低台灣向「祖國」輸誠，被酸「女黃安」。不僅如此，劉樂妍還相當厚臉皮爽用台灣健保，日前她遭網友嗆「棄健保做中國人」，竟釣出本人口出狂言：「要不是我繳了7年，健保早就倒了。」引爆眾怒。劉樂妍昨（29）日在微博上曬出一名台灣網友臉書發言，該網友怒嗆劉樂妍：「講完了沒？中國,https://ent.ltn.com.tw/news/breakingnews/3977162
0,0,0,9,自由說新聞》中國爆紅新疆奶揪出含毒 網友哀嚎：家裡還兩箱,2022-06-30,訂閱【自由追新聞】全新的視界！新聞話題不漏接，快訂閱YouTube 【自由追新聞】，記得開啟小鈴鐺哦！,https://news.ltn.com.tw/news/world/breakingnews/3977183
0,1,1,10,洪秀柱又稱新疆沒種族滅絕 專家：替中國「漂白」罪行,2022-06-30,中國國民黨前主席洪秀柱日前參訪新疆否認有種族滅絕（genocide）引發爭議後，近日又在臉書發文聲稱，新疆不存在種族滅絕、文化消滅、強迫勞動。台灣東突厥斯坦協會理事長何朝棟今日受訪批評，洪秀柱只是在為中國擦脂抹粉，企圖「漂白」種族滅絕罪行。,https://news.ltn.com.tw/news/politics/breakingnews/3977193
0,0,0,11,現在最想出國去哪？ 新垣結衣：想來台灣吃鹹豆漿,2022-06-30,日本「國民老婆」新垣結衣參加電視節目，被問到說若開放海外出遊後最想去哪裡？新垣結衣直接回答她最想去台灣，想要吃看看台灣的鹹豆漿。日本知名演員新垣結衣參加電視節目，主持人問來賓等開放海外旅遊後最想去哪裡？新垣結衣回答想要去台灣，因為最近她看了漫畫《總有一天在第凡內吃早餐》（いつかティファニーで朝食を）,https://ent.ltn.com.tw/news/breakingnews/3977176
0,0,0,12,小護士驚喜變身「晴空」版！甜甜迷彩新分身助公益,2022-06-30,居家必備的「小護士」曼秀雷敦軟膏，是陪伴許多人長大的好朋友，承襲去年「關懷照護弱勢孩童」的精神，今年再度推出公益限定版，與在地文創品牌「只是ZISHI」合作，將小護士變身為甜甜的「晴空」、「甜靚」版，用以幫助偏鄉教育傳遞小小希望！,https://istyle.ltn.com.tw/article/20909
0,0,0,13,《機構投資者》評選 鴻海奪下5獎項,2022-06-30,國際財經雜誌《機構投資者》（Institutional Investor）公布2022年度「亞洲最佳管理團隊」排名，鴻海（2317）奪下5個獎項，未來將在事業成長過程中，同時秉持「永續經營=EPS+ESG」。鴻海受評選為中國以外亞洲區科技硬體類「年度最佳管理團隊」第6名，投資人關係團隊於「最佳投資者,https://ec.ltn.com.tw/article/breakingnews/3977190
0,1,1,14,稱交易發生在境外 《台蘋》不答經營方針是否改變,2022-06-30,台灣蘋果新聞網易主遭指有中資，經濟部日前限期7天要求說明買賣是否影響經營方針。據了解日前收到回函，台蘋指交易發生在香港，對經營規劃是否改變無法說明，但證實新東家爲潘杰賢，將待境外交易完畢後在台提出變更申請。台蘋收購撲朔迷離，目前仍未向台灣主管機關進行任何申報及變更。經濟部商業司日前主動發文要求台蘋限,https://ec.ltn.com.tw/article/breakingnews/3977175
1,1,1,15,環太平洋軍演各國精銳盡出 專家︰向中國傳遞阻止擴張訊息,2022-06-30,第28屆環太平洋軍事演習（RIMPAC）於29日在夏威夷珍珠港登場，有26個國家參加，專家普遍認為，這次軍演是在向中國傳遞訊息：中國在西太平洋的擴張會遭到阻止。《美國之音》報導，美國海軍新聞稿稱，這次軍演是要提高聯合部隊所需的作戰能力、抗打擊能力和靈活性，以阻止大國的侵略行為，這次軍演有一個新的看點,https://news.ltn.com.tw/news/world/breakingnews/3977076
