title,date,summary,link,content
不受裴洛西訪台影響　拜習會安排工作持續進行,2022-09-01 01:57:00,【中央社】美中關係因美國眾議院議長裴洛西訪台惡化，外界憂11月拜習會恐生變。但美國白宮國安會發言人柯比周三（8/31）表示，雙方仍持續積極就拜習會日期、地點進行協調，但目前尚未有定案。,https://tw.nextapple.com/international/20220901/0182F5360CCC517D0B8BF5731E1985C5,為反制裴洛西（Nancy Pelosi）8月初率團訪台，中國宣布取消或暫停中美8項氣候、軍事及打擊犯罪相關合作及會議，且在台海軍事挑釁行動頻頻。部分人士憂心，原本可望於11月舉行的首場拜習面對面會晤，恐因此生變。不過，柯比（John Kirby）周三在線上媒體簡報會被問及此事時表示，雙方仍積極就「拜習會」日期及地點進行協調，安排工作持續進行中，但目前尚未有定案。《華爾街日報》（The Wall Street Journal）8月中引述知情人士指出，北京官員正在安排中國國家主席習近平11月訪問東南亞，與美國總統拜登（Joe Biden）面對面會談，地點可能是11月15日至16日由印尼主持召開的20國集團（G20）領導人峇里島峰會。拜登去年1月上任以來，與習近平進行過4次通話及1次視訊峰會，最近一次為7月28日，但兩人尚未面對面會晤。針對被切斷的8項美中合作及會議，柯比表示，這些雙邊機制目前仍中斷，其中氣候、類鴉片止痛劑芬太尼（fentanyl）等議題衝擊全球，美方對這些機制遭切斷感到非常遺憾，呼籲中方能重啟。但柯比強調，美中在資深官員層級仍保有溝通管道，美國駐中大使與中方每天會就一系列議題溝通，雙邊軍方也還是能在適當層級與對方溝通。他說：「能至少維持這些溝通管道暢通很重要，有助降低誤判機會，特別是在南海、台海等爭端可能升高的區域。」
台灣實彈驅離中共無人機　美：台灣憂慮合乎情理,2022-09-01 02:37:00,【中央社】台灣連兩天以實彈驅離侵擾金門防區的中共民用無人機，北京批台「渲染緊張氣氛」。但美國白宮國安會發言人柯比周三（8/31）表示，有鑒於中共在台海的侵略脅迫行徑，台灣憂慮合乎情理。,https://tw.nextapple.com/international/20220901/0182F540E37FCB03904ADF5BA9CC41E5,中共近期頻以民用無人機侵擾金馬防區，總統蔡英文30日下令，國軍應適時採強力措施反制中共無人機；陸軍金門防衛指揮部30日至31日接連兩天以實彈驅離4架次無人機。外媒周三在一場線上媒體簡報會詢問柯比（John Kirby），怎麼看台灣方面宣布將以實彈射擊驅離中共無人機的做法，是否認為類似言論過於激烈。柯比表示，有鑒於中共在台海周圍進行毫無必要的軍事侵略、武斷及脅迫行徑，台灣領導人表達的憂慮合乎情理（understandable）。美國長期以來表明，不支持任何以單方面行為或武力改變現狀，「這仍是我們目前政策」。柯比說，自美國眾議院議長裴洛西（Nancy Pelosi）8月初訪台以來，中國顯然試圖永久改變台灣周圍現狀，為機艦跨越台海中線、無人機飛越等行徑建立「新常態」。他重申，美國不會接受現狀改變，既不會予以承認，也不會遵守，更不會停止對外表達關切。柯比也再次向北京道德勸說，指中國沒有理由升高情勢、改變先前現狀慣例，「因為美國『一中政策』完全沒有改變，我們不支持台灣獨立的事實也未變」。
關注共軍大規模集結　德國將擴大印太地區軍事部署,2022-09-01 03:30:00,【國際中心／綜合外電、中央社報導】德國聯邦國防軍總監左恩（Eberhard Zorn）表示，德國將透過派遣更多軍艦，以及和盟友一起演習，以擴大其在印太地區的軍事部署，同時密切關注「龐大的」中國武裝部隊集結。,https://tw.nextapple.com/international/20220901/0182F5B3B314BF383A3119D9D3D9D276,路透報導，在中國8月初於台灣周圍進行對台歷來最大軍演後，印太地區當前緊張局勢急遽升高。在對北京的領土野心越來越警惕的情況下，德國正與其他西方國家一同在印太地區展示更多軍事實力。左恩告訴路透，德國聯邦國防軍（Bundeswehr）計畫派遣部隊，參加明年在澳洲舉行的訓練演習，德國海軍將於2024年派遣更多軍艦至印太地區。在柏林國防部接受採訪的左恩說，「這是我們想要鞏固我們在該地區存在的方式。」記者問及，德國是否可能像美國那樣派遣軍艦穿越台灣海峽，左恩回答說，這是敏感問題，將由最高政治層級決定。左恩指出：「我們不想要因為我們的部署而挑釁任何人，但會與我們的盟友一起釋出團結的訊號。我們支持航行自由及維護國際規範。」他表示，中國軍事實力曾一度取決於其士兵數量，而如今中國軍隊技術裝備也更加精良。他還說：「我們正在觀察中國軍隊的龐大集結。」
曹興誠秀中華民國身份證　資助成立30萬實彈神射手及黑熊勇士訓練,2022-09-01 10:48:00,【蕭文康／台北報導】聯電前董事長曹興誠日前宣布捐30億資助國防後，今秀出回復中華民國國籍身份證，不僅宣布要「和所有勇敢的台灣同胞站在一起·對抗中共慢略、保衛國土、讓台灣永遠和美國一樣成為自由之地和勇者之鄉」，同時將資助4億元和民間團體發起「30萬實彈神射手訓練專案」及資助6億元 「300萬黑熊勇士提升台灣社會韌性」。,https://tw.nextapple.com/finance/20220901/0182F6D478D54FDB016E1F97E9F7D975,曹興誠說，今天我很興奮，因為我恢復了中華民國台灣國籍放棄了新加坡國籍，從此他可以和所有勇敢的臺灣同胞站在一起對抗中共侵略、保衛國土、讓台灣永遠和美國一樣成為自由之地和勇者之鄉（The land of free and the home of the brave)。他說，今年6月7日，中國前環球時報總編輯胡錫進宣稱，解放軍如攻入台灣，會殺光「台獨」，不留活口！8月5號中國駐法大使盧沙野也狂言，中國統一台灣後，將對台灣人進行「再教育」。所謂再教育，就是對百姓不斷地虐待折磨，讓他們以後只知服從，不敢反抗。在21世紀的今天，大量中共官員公然叫囂要對台灣兩千萬人進行屠殺和洗腦，完全無視反人類罪和戰爭罪，實在非常病態；他們提出的理由也極其荒唐。他們說，來臺灣殺人，是為了保護他們的領土台灣；問題是，台灣從來沒有被中共管轄過，怎麼會變成他們的領土？針對這個問題，中共的說法更為可笑，他們說台灣「自古」就是中國的領土。曹興誠指出，台灣的原住民住在台灣已經超過4000年，閩南人住在台灣也超過了350年，中華民國也已經存在了111年，而中華人民共和國存在才不過73年，台灣怎麼會「自古」就變成中華人民共和國的領土呢？這種不顧史實的胡言亂語，也只有專制體制下的腦殘才說的出來。所以中共如果對台動武，就是明目張膽的侵略，就是蓄意屠殺，就是惡性觸犯戰爭罪和反人類罪！面對中共的窮兇極惡、囂張跋扈，台灣人的同仇敵愾已經被燃起。曹興誠宣布，今天他們要介紹兩個行動計劃，一個要在3年內訓練出300萬名積極協助區域防衛的民間勇士（稱為黑熊勇士），可以和國軍戰士配合，組成沒有漏洞的全民防衛。這個計劃，他會資助6億元，使其加快做廣，盡速達成目標。另一個計劃，是盡速訓練出30萬名以上民間的神射手（稱為保鄉神射）。這個計劃需要協調軍方，警方和各個縣市政府加上民間組織合力推動。這個計劃所需的費用，如果各單位暫時預算不足，他願意提供4億元以排除困難，使之快速啓動。他強調，這兩個計劃，可以加強我們的防衛力量，宣示我們全民皆兵、抵抗侵略的決心，我們知道，過去70多年，中共時時刻刻都想揮軍佔領台灣；他們到現在還沒有這麼做，是因為他們沒有實力。近年中共的戰狼外交引起自由世界的厭惡，在新科技上開始對中共封鎖、防範，導致他們攻佔台灣的相對實力，未來只會減弱，不會增強。例如華為，過去不可一世，現在己經消聲匿跡。相反地，台灣無人機、半導體等科技實力如果能夠善加整合，軍民加強合作，加上美國的關鍵技術支援，台灣未來絕對具有單獨擊潰共軍來犯的實力，根本無需請他國派兵來援。所以中共未來只能期望台灣內亂而自我攤瘓。他們會支援地痞流氓到處滋事，或暗助台灣一些品行低劣的名嘴、政客，散布失敗主義、投降主義，以造謠、挑撥、毀謗的方式來破壞台灣人民團結、削弱台灣人民的鬥志。訓練出300萬黑熊勇士和30萬保郷神射，以及其他許多類似的計劃，可以在心理和技術上協助台灣年輕人成為抗共保台的堅定力量，粉碎中共從內部癱瘓台灣的圖謀。
曹興誠資助民防教育　3年打造300萬黑熊勇士提升台灣社會韌性,2022-09-01 10:49:00,【記者蕭文康╱台北報導】黑熊學院由台北大學犯罪學研究所助理教授沈伯洋與台灣戰略學者何澄輝共同發起，從事民間防衛教育推廣，以培養民眾防衛知識為基礎，提升社會的戰爭準備與抵抗意志。,https://tw.nextapple.com/finance/20220901/0182F6F1DDAB2F0E155F12C10CBCC281,黑熊學院以一般民眾為主要對象，透過基礎防衛知識的推廣，建立人民信心、消除投降主義。戰爭時，雖然90%的人不會成為戰鬥人員，但戰爭是整體社會的動員：妥善的避難、強大的支援，以及強韌的心理，才是應對現代戰爭的首要之務。沈伯洋說明，在曹興誠董事長資金的協助下，學院將加速推出實體與線上民防課程、出版民防知識書籍、辦理教育體驗活動以及製作推廣影片等多元方式，目標在3年內達成300萬人次的教育訓練，為台灣建立厚實的防衛基礎。全民防衛的最終目標，是期待家家戶戶都有一個具有相關知識的黑熊勇士，在危急時刻保護家人安全、協助政府指揮系統。這個目標很高，需整體社會的努力共同達成。黑熊也期待能有更多民間團體、有志人士一同加入全民防衛的領域。沈伯洋強調，台灣民間一直以來就有許多專業團體在進行教學，為數眾多的專業團體才是台灣最大的資產。黑熊學院要做的是把關注民防的群眾基數擴大，讓更多人瞭解現況，並有動機學習基礎知識，並進一步選擇災防、醫療救護、現場管理、自衛戰鬥專項訓練，成為積極行動者。沈伯洋表示，面對中國的步步進逼，台灣必須與時間賽跑。整體意識的提升無法只靠黑熊學院來達成，未來還希望各界支持，結合民間專業力量。黑熊學院作為「民眾的第一堂課」，期望夠擴大基數，並與更多團體合作，成為銜接專項訓練的橋樑與平台，讓台灣能在最短時間內做好面對中國威脅的準備。
輝達超微AI晶片禁銷陸　外資：影響台積電營收2% 尚可控 ,2022-09-01 11:16:00,"【陳俐妏/台北報導】美國禁超微、輝達高階AI晶片銷中國市場，日系外資表示，
由於超微、輝達兩大客戶佔台積電（2330）營收約16%，預期營收影響可能達2%，但台積電客戶分散且市占率持續提升，建議可以逢低布局。
",https://tw.nextapple.com/finance/20220901/0182F7099B70A2704A0380F3A295A6A9,"日系外資指出，美國禁止AI晶片出貨中國，潛在影響可能很大.，由於輝達、超分別有45%、23% 營收來自數據中心，, 如果用2021 FAAMG+ BAT 的資本支出，來推中國(BAT)，可能佔全球市佔達15%。對台積電可能影響，日系外資說明，由於輝達、超微兩家加總營收約35% 來自數據中心。假設1/3 出貨中國， 去年兩家客戶佔台積營收約16%，估計最多可能達2%營收。日系外資分析，AI晶片禁令短期可能影響台積電股價，但事實上對台積營收衝擊不過0.5-2%，尚在可控範圍，台積電客戶分散且市占率持續提升， 將有助台積補上可能受到美國新法的影響，建議可以逢低布局。"
以無黨籍身分登記參選！民進黨將開鍘　鄭寶清：發起新黨外運動,2022-09-01 13:42:00,【黃羿馨／桃園報導】民進黨前立委鄭寶清今天（1日）上午11點到桃園市選委會以無黨籍身分登記參選，他強調，民進黨已失去建黨精神、核心價值，他將發起「新黨外運動」；對於名嘴周玉蔻指控他拿中國的錢參選，鄭寶清也嚴正駁斥，並於登記後至桃園地檢署按鈴控告。,https://tw.nextapple.com/politics/20220901/0182F786874D2540C7B9ADEECB022F7D,鄭寶清指出，民進黨的創黨精神，是要追求民主、法治、自由、人權，但如今民進黨卻成了一人一派的威權體制，為了對抗威權體制和密室協商，他要推動新黨外運動，希望把民主香火留下，讓桃園越來越好。鄭寶清感嘆，以前要求解除戒嚴國民黨都說沒有影響，現在民進黨要立《數位中介法》，民進黨桃園市長參選人鄭運鵬也說沒有影響，他感到時光和事件不斷重複，但不變的是他的初心和追求民主精神。由於鄭寶清登記參選桃園市長，民進黨中央評議委員會也將於**10日內從嚴議處，應予除名處分，鄭寶清也坦然面對：「很多前輩也早就被開除了！」鄭寶清強調，民進黨失去建黨精神、沒有核心價值，就會為非作歹、偏離人民需求，他會盡所有力量讓桃園往前走，相信80多天之後，年輕人與知識份子會知道改變是對台灣、對桃園有利的。至於周玉蔻指稱他拿中國的錢參選，鄭寶清也駁斥，對他是天大的侮辱，他也解釋，登記參選結束後，他也直奔桃園地檢署按鈴申告，要對周玉蔻提告違反《選罷法》意圖使人不當選。
國軍這次硬起來！金門驅離無效「首度擊落」中共無人機,2022-09-01 14:15:00,【中央社  】陸軍金門防衛指揮部表示，今天中午12時3分，發現不明民用空拍機1架進入獅嶼禁限制水域上空。駐守部隊依程序應處，示警驅離無效後，即行防衛射擊、予以擊落。,https://tw.nextapple.com/politics/20220901/0182F7A46BB1B50314ED434FF6D33138,金防部將持續偵搜警戒、嚴密監控，以維防區安全。中共近期頻以民用無人機近距離侵擾金馬等防區，總統蔡英文8月30日赴澎湖巡視時表示，敵軍越挑釁就越要冷靜，國軍自我克制，但不表示國軍不會反制，她已下令國防部，適時採取必要且強力反制措施，捍衛國家領空安全。陸軍金門防衛指揮部30日至31日接連兩天以實彈驅離4架次無人機。美國白宮國安會發言人柯比（John Kirby）昨天被問到怎麼看台灣方面宣布將以實彈射擊驅離中共無人機的做法，是否認為類似言論過於激烈。柯比對此表示，有鑒於中共在台海周圍進行毫無必要的軍事侵略、武斷及脅迫行徑，台灣領導人表達的憂慮合乎情理（understandable）。美國長期以來表明，不支持任何以單方面行為或武力改變現狀，「這仍是我們目前政策」。
今本土33875、境外243例　36死！20歲女高燒住院隔日病逝,2022-09-01 14:18:00,"【記者林志怡、林芳如／台北報導】中央流行疫情指揮中心今(9/1)下午召開記者會說明最新疫情與防疫措施，發言人莊人祥宣布，今增本土33,875例、境外移入243例，另增死亡個案36起；各縣市確診分布，以雙北最多，包括新北7,415例、台北4,317例。 ",https://tw.nextapple.com/life/20220901/0182F746AA795C5785DFB26306C33F03,"指揮中心指出，今日新增36例本土病例死亡個案，為15例男性、21例女性，年齡介於20多歲至90多歲以上，皆屬重度感染、33例具慢性病史、20例未接種3劑以上COVID-19疫苗。確診日介於今(2022)年5月15日至8月29日，死亡日期介於5月15日至8月29日。今天新增中重症個案154例，其中中症118例、重症36例，羅一鈞指出，今天新增兩例20多歲女性死亡個案，均接種3劑疫苗、無慢性病史，分別因敗血性休克與心肌炎過世。羅一鈞說，第一案自8/22出現頭暈、畏寒、噁心、頭痛等症狀，8/23發燒、快篩陽性，服用一般藥物後症狀好轉，但8/27再度發燒，嗜睡且呼吸改變，當天至急診住院，體溫40.1，抽血檢驗有血小板低下，頭部電腦斷層顯示有腦下垂體中風合併出血（腦內出血），經積極治療仍在8/28過世，死因爲新冠肺炎併敗血性休克及血小板低下、腦下垂體中風合併出血。第二案自8/21噁心、嘔吐、冒冷汗，全身無力及咳嗽至急診，抽血檢查發現心肌酵素升高，當日住院、出現心因性休克、心臟收縮力弱，疑似心肌炎，新冠肺炎PCR檢查確診，Ct值18，使用瑞德西韋、免疫球蛋白治療，治療後症狀仍惡化，8/27過世，死因爲心肌炎、休克及新冠肺炎，可能是新冠病毒引起的猛爆式心肌炎。羅一鈞說明，今天新增的兩例年輕死亡個案都有雙重病因，但其中腦下垂體中風可能跟新冠肺炎比較沒關係，心肌炎則可能與新冠病毒有關，是否與過強免疫反應有關，可抱持合理的懷疑，因此住院時也針對此方面給予免疫球蛋白的治療，但仍無法改善病程惡化問題。今天其中一位死亡個案有冒冷汗問題，這些狀況是否跟BA.5有關連嗎？羅一鈞回應，第二位死亡個案冒冷汗的情況與心因性休克有關，因為休克時會造成血壓偏低、引起交感神經興奮，加上體溫偏低，容易出現冒冷汗，是休克的警訊，而不是普遍夜間大量冒冷汗的情況。特殊中重症部分，羅一鈞說，今天新增一例MIS-C個案，為9歲女童，有先天性疾病，沒有接種疫苗，6/2曾確診，8/10起出現發燒紅眼食慾活力下降，8/18至急診，X光顯示肺炎，住院接受治療，住院後出現皮疹、結膜炎、草莓舌、腹痛、嘔吐，經抽血檢查診斷為MIS-C，給予免疫球蛋白治療後病況好轉，本案8/25已出院。指揮中心表示，今日新增之33,875例本土病例，為15,491例男性、18,372例女性、12例調查中，年齡介於未滿5歲至90多歲以上，個案分布為新北市(7,415例)，臺北市(4,317例)，臺中市(3,990例)，桃園市(3,536例)，高雄市(2,710例)，臺南市(2,074例)，彰化縣(1,495例)，新竹縣(1,086例)，新竹市(965例)，苗栗縣(915例)，屏東縣(783例)，雲林縣(684例)，宜蘭縣(626例)，花蓮縣(616例)，基隆市(616例)，南投縣(577例)，嘉義縣(507例)，嘉義市(377例)，臺東縣(249例)，澎湖縣(160例)，金門縣(158例)，連江縣(19例)。整體COVID-19 疫苗接種統計，昨日(8/31)接種 3萬9380 人次，截至目前為止，COVID-19 疫苗接種人口涵蓋率第一劑 92.8%、第二劑 86.7%、基礎加強劑接種率 0.8%、追加劑接種率 72.3%（若以符合追加劑接種間隔人數統計約 93.1%），第二次追加劑接種率 9.4%（65 歲以上接種率 34%*)。6個月到4歲幼兒莫德納疫苗，莊人祥表示，昨日接種2881人次，包含第一劑接種1195、第二劑接種1686人次；輝瑞幼兒疫苗昨日第一劑接種6664人次，該年齡層第一劑接種率26.8%'第二劑2.0%。莊人祥指出，年底前除非有特別有效的疫苗出現，否則9月中下旬過後，還是會有社區流行，只是屬於比較低度的，目前雙北縣市的個案增加比較明顯。指揮中心說明，今日新增243例境外移入個案中，為113例男性、130例女性，年齡介於未滿5歲至70多歲，分別自越南(27例)，菲律賓(7例)，韓國、印尼及美國(各5例)，泰國(3例)，馬來西亞、香港及法國(各2例)，奈及利亞、瑞士、土耳其、英國、柬埔寨、捷克、緬甸、中國、澳大利亞及新加坡(各1例)移入，另175例感染國家調查中。入境日期介於今年8月2日至8月31日。指揮中心統計，截至目前國內累計16,243,719例新型冠狀病毒肺炎相關通報(含10,893,613例排除)，其中5,342,106例確診，分別為28,061例境外移入、5,313,991例本土病例、36例敦睦艦隊、3例航空器感染、1例不明及14例調查中。2020年起累計9,950例COVID-19死亡病例，其中9,934例本土，個案居住縣市分布為新北市2,122例、臺北市1,119例、臺中市995例、高雄市927例、臺南市769例、桃園市752例、彰化縣581例、屏東縣408例、雲林縣314例、南投縣295例、苗栗縣236例、嘉義縣232例、基隆市218例、宜蘭縣200例、花蓮縣及嘉義市各163例、新竹縣155例、臺東縣140例、新竹市98例、澎湖縣28例、金門縣19例；另16例為境外移入。媒體詢問，猴痘疫苗預計明天抵台，目前開放哪些族群可以打 ？曾經接種天花疫苗的民眾是否還需要接種？莊人祥回應，曾經接種過天花疫苗的民眾，雖知道可能對猴痘有保護力，但沒有明確實證證明，因此民眾若符合疾管署接種條件，仍可以接種。莊人祥進一步說明，目前參考世界衛生組織與英美政策，並考量疫情狀況、疫苗採購數量，曝露前預防對象包括實驗室操作人員，曝露後預防則涵蓋猴痘病人密切接觸的醫護人員與其同住家人，都是主要接種對象。"
換縣長顧宜蘭！民進黨江聰淵300名支持者陪登記參選　還有這2人讚賞他施政能力,2022-09-01 15:40:00,【林泊志／宜蘭報導】民進黨宜蘭縣長參選人江聰淵，今天（1日）前往縣選委會登記，約300名支持者齊聚縣議會大廳，立委陳歐珀、前縣長劉守成、前代理縣長陳金德等人也都替他站台，肯定江聰淵施政能力。江聰淵則強調，清廉、能力及國家意識是從政者的基本，承諾家人不干政、不貪污，不讓宜蘭「見笑」，支持者更高「換縣長、顧宜蘭」，要在年底選舉，與林姿妙角逐縣長大位。,https://tw.nextapple.com/politics/20220901/0182F7F420525BE65DCC3F7AB34884D2,江聰淵演說時表示，他生長在農家，國中時與母親在市場賣菜，貼補家計。專科畢業退伍後，做過鐵路隧道工程監工、礁溪鄉公所基層公務員、從事土木工程，直到擔任陳金德立委服務處主任。1999年受林義雄先生感召，加入民進黨；2005年與陳定南先生共同合作，促成剛完工通往台北的彭山隧道，提前開放給宜蘭鄉親使用。踏上從政之路後，連續當選兩屆議員、兩屆市長。他珍惜選民的付託，感謝生命中的貴人，及栽培他的宜蘭鄉親。江聰淵說，4年來沒有看到宜蘭的進步令他深感憂心，因此他決定承擔宜蘭進步的責任，與全體縣民共同打拚，成為新宜蘭的開創者。江聰淵也提出3大目標，包括發展新產業經濟—與山海共舞探索教育、規劃新城市願景—與高鐵共創城鄉新風貌、構築新宜居生活—與環境共生優質生活。這就是推動「新宜蘭」的政策三箭。此外，江聰淵支持18歲公民權修憲案，讓公投權與公民權都可以在18歲同時實施，這不但是「權利與義務」的衡平，也是符合世界潮流的憲法修正案。江聰淵指出，作為一個台灣人，一定要有台灣主體意識。對於中國的欺壓，台灣人需要更加堅強、更加團結。對國家主權，縣長要有態度，這是全體台灣人共同的事。江聰淵說，清廉、能力、國家意識是從政者的基本條件，絕不讓家人干政，絕不貪污、無能讓宜蘭「見笑」，一定會讓宜蘭鄉親繼續走路有風，對宜蘭人比出大拇指稱讚。
