relsub,relsum,rel,index,title,date,summary,link
1,1,1,1,國內確定有新一波疫情！入境檢疫0+7卻可望再放寬　關鍵原因曝,2022-12-22 15:12:00,【記者林芳如、林志怡／台北報導】中央流行疫情指揮中心今天(12/22)下午召開記者會說明最新疫情，指揮官王必勝說，今天新增超過19000例本土確診個案，疫情升溫速度加快，已確定會有新一波疫情。,https://tw.nextapple.com/life/20221222/650B7AC6B7058C97BFA87CAF364C26E9
0,0,0,2,許凱熱戀00後師妹！飛撲抱滿懷共度春宵　于正幫認愛「演員也是人」,2022-12-19 14:02:00,【吳佩蓁／綜合報導】27歲中國男星許凱2018年以清宮劇《延禧攻略》中深情的「傅恆」一角走紅，日前許凱劇中的「姊姊」秦嵐才爆出熱戀小10歲的演員魏大勛，今日許凱就被中國狗仔拍到和女友在街頭十指緊扣，女方一見到許凱便飛撲進他的懷裡，畫面宛如偶像劇般甜蜜。,https://tw.nextapple.com/entertainment/20221219/65F505CB204858D29BCAD97A3F163F95
1,1,1,3,郭台銘砲轟「禽獸食祿」反遭譏　李來希：當今權貴欠缺羞恥心,2022-12-22 04:58:00,【劉育良／綜合報導】鴻海創辦人郭台銘因BNT次世代疫苗槓上政府，更引述《三國演義》中諸葛亮罵死王朗的其中16字「廟堂之上，朽木為官；殿陛之間，禽獸食祿」開砲。全國公務人員協會前理事長李來希認為，王朗還有羞恥心所以才會不堪受辱落馬而亡，但如今當朝權貴欠缺羞恥心，想要他們改過向善根本緣木求魚。,https://tw.nextapple.com/politics/20221222/DC79FFC88C7F5636CEFAE05A99900214
1,1,1,4,郭台銘對2024有興趣？　醫喊「應該投入」：當副手就好！,2022-12-23 09:30:00,【作者：沈政男／醫師】前幾天好像新增些微下降，今天（12/22）又暴增了兩成多，顯然新一波疫情，正如大家現在所知，已經來襲了。,https://tw.nextapple.com/politics/20221223/AB7EF6B6F0D4F6E011944452661E857E
1,1,1,5,美法領袖聯合聲明　重視台海穩定關切中國挑戰,2022-12-02 06:18:00,法國總統馬克宏赴美展開國是訪問，周四（12/1）與美國總統拜登舉行會談後發布聯合聲明，重申維繫台海和平與穩定的重要性，強調會持續在中國對國際秩序帶來的挑戰上合作，包括人權問題。,https://tw.nextapple.com/international/20221202/B39C41B7FFA5E2B5474B5881193FA3C9
1,1,1,6,歐盟東協結伴45年高峰會　互尋美中之外「第3選擇」,2022-12-15 10:20:00,歐盟與東協14日在布魯塞爾召開首次集結各會員國領導人的實體高峰會，除了慶祝雙方建立合作夥伴關係45週年，更重要的是在美中對立情勢下，表達不想選邊站、互為彼此「第3選擇」的地緣政治意義。,https://tw.nextapple.com/international/20221215/61C1FC3DDE6553A61AE081CDBC6F7448
0,0,0,7,3男星盯女偶像伸舌舔魚子醬　網怒罵「一副看不起人的樣子」,2022-12-22 13:09:00,【娛樂中心／綜合報導】26歲中國女星孔雪兒曾赴南韓知名經紀公司JYP當練習生，之後返回家鄉參加選秀節目《青春有你2》，以女團「THE9」成員出道。她先前在綜藝節目《寶藏般的鄉村》試吃魚子醬，卻因為不懂品嘗方式，大口吞嚥被華少、費啟鳴、熊梓淇、尤長靖等男星嘲笑，引爆中國網友怒火，痛批3人「真的很不尊重人，還以為自己很幽默」。,https://tw.nextapple.com/entertainment/20221222/49494B9577E0AF9826670BC0F329150E
0,0,0,8,秋刀魚、午仔魚被中國禁！官方消息還沒來　薛瑞元：業者反應才知情,2022-12-08 19:04:00,【記者林志怡／台北報導】中國繼暫停台灣石斑魚、白帶魚、竹筴魚輸入後，今又增加午仔魚、秋刀魚，衛福部長薛瑞元晚間接受媒體聯訪指出，目前也尚未接獲中方訊息，相關單位是在業者主動反應後才知情，還在進一步了解中。,https://tw.nextapple.com/life/20221208/24F77348591AF47261CB64FEF936AB4D
0,0,0,9,收回壽險千億外匯金救淨值?　他喊話「大家保單都沒有問題」,2022-12-23 14:00:00,【記者林巧雁／台北報導】今年因美國暴力升息，各大保險公司投資債券評價大跌，導致保險公司淨值面臨3%紅線保衛戰，壽險公會理事長陳慧遊今日向保戶信心喊話，「大家保單都沒有問題」，保戶可以安心。,https://tw.nextapple.com/finance/20221223/5D79BDB6B8825E4D3D1730E0C5C91EBC
0,0,0,10,防疫再鬆綁？　港媒：中港或於農曆新年前免隔離通關,2022-12-10 16:55:00,香港南華早報引述消息指，中國公布優化防疫新10條後，北京正考慮有關放寬中港通關的試點計畫，若計畫開綠燈，港人前往中國免隔離，只需3天醫學監測，時間點可能落在農曆新年前就實施。,https://tw.nextapple.com/international/20221210/E26689B1A3C545595C3AA00EE359EEF5
