title,date,summary,link,content
小米手機資安疑慮若屬實 朝野促限期改正、禁售,2022-07-01,對於小米手機資安問題，朝野立委皆表示，若查證屬實，政府應有更積極措施，甚至下架該款手機、禁止進口。「這件事滿嚴重的」，民進黨立委蔡適應表示，民眾買手機，應該有完整使用權利，包括資訊保護等，若該款手機...,https://tech.udn.com/tech/story/123153/6015466,對於小米手機資安問題，朝野立委皆表示，若查證屬實，政府應有更積極措施，甚至下架該款手機、禁止進口。   「這件事滿嚴重的」，民進黨立委蔡適應表示，民眾買手機，應該有完整使用權利，包括資訊保護等，若該款手機有回傳資訊疑慮，已不符合使用者習慣，ＮＣＣ應要求限期改正，而非僅交給使用者自行判斷是否使用。   蔡適應說，該款手機明確違反個人資料保護法，若業者未限期改正，ＮＣＣ應全面下架該款手機，才能讓所有業者了解，民眾使用手機不該有被監控的可能性。   國民黨立委曾銘宗表示，相關情形已有侵犯使用者隱私、違法收集資訊，甚至有侵害國家安全疑慮，呼籲ＮＣＣ等政府相關單位應在確保使用者、消費者與國家安全前提下，妥為因應。   民眾黨立委張其祿表示，先前華為手機在美國也發生資安疑慮問題，令人發現中國大陸製手機恐將資訊回傳；基於個人隱私跟國家安全都是很不好的狀況，業者應有所節制，政府也要有明確處置措施，若有需要應禁止進口。   時代力量立委陳椒華說，政府不應僅消極提醒國人注意個資及隱私保護問題，而是應分析這些手機產品是否有資安漏洞，呼籲國人勿購買，甚至應著手規範，以不發給ＮＣＣ審驗合格證書作為管理機制。💡 數位頻道也有YouTube囉 》》點我追隨新影音！ 📢 【周報】餵ChatGPT私人祕密全洩！LINE「四大類句子」一看就生氣 📢 【話題】水獺控必載！9款限時免費LINE貼圖 來用撒嬌話術「人家想要這個」 📢 【話題】iPhone 15全色系曝！平價版2新色Colorful 📢 中華光世代全新上網2方案外洩！舊用戶直接升級 把第四台光纖壓著打 📢 【懶人包】Suica實體卡停賣怎辦？還有這2卡「免押金」可以買 
全球前10大市值大公開 台積漲最少 美國公司高達8家,2022-07-01,【文／阮文非】據了解，2021年全球股市總市值逾120兆美元，增加約18兆美元創歷年來最大增幅。其中美股為大贏家，因為全球市值排名前大公司，高達8家為美國公司，台灣的台積電（2330）也上榜。台積電...,https://udn.com/news/story/6849/6016214,【文／阮文非】據了解，2021年全球股市總市值逾120兆美元，增加約18兆美元創歷年來最大增幅。其中美股為大贏家，因為全球市值排名前大公司，高達8家為美國公司，台灣的台積電（2330）也上榜。台積電晉升前10大聯準會等主要央行的貨幣政策，從寬鬆轉向緊縮，在央行逐步收回資金下，因寬鬆而膨脹起來的企業估值有縮回去的可能，值得注意的是，市值前10大公司裡，有6家為全年獲利前10大公司，獲利幾乎都有兩位數增長幅度甚至創新高。即使未上榜者如亞馬遜和特斯拉，獲利增幅甚至達3位數。這反映出上市公司的市值大增，並非完全靠央行的寬鬆政策，而是有實質獲利表現做支撐，因此股市多頭可望在2022年延續下去。不過，從市值排行榜上的變化來看，中國經濟實力正在下滑。即使獲利排名前10大裡還有一家中國的平安保險，但卻是惟一的一家獲利出現衰退的公司。這10大公司排行，按市值大小順序為蘋果、微軟、谷歌母公司Alphabet、沙烏地阿美（Saudi Aramco）、亞馬遜、特斯拉、臉書母公司Meta、輝達、柏克夏海瑟威和台積電。除了沙烏地阿美是沙烏地阿拉伯國營石油公司，和台灣的台積電之外，其餘全是美國公司。其中，蘋果市值已衝破3兆美元大關，成為全球有史以來首家公司，甚至有人看好近期就可望延續2021年的大漲氣勢而往上攻頂。在從產業類別上，榜上的8家美國公司，除了股神的投資旗艦柏克夏以投資保險、金融、鐵路…等傳統產業為主之外，其他全部被簡單歸類為科技股。話雖如此，柏克夏最大持股標的就是蘋果，科技股所占的份量愈來愈重大。在市值增減幅度上，曾經是全球市值最大的沙烏地阿美，是惟一市值縮水的公司，從2020年逾2兆美元，到2021年已縮水至1.9兆美元。其他公司市值增長幅度不一，但除了亞馬遜市值僅上升逾6%之外，其他增幅均達兩倍數；輝達甚至上升近1.3倍為市值前10大公司裡增幅最高。反映全球產業變化在全球晶片需求強勁至大缺貨之下，除了輝達市值增幅達3位數外，同為半導體產業的晶圓代工廠台積電也晉升前10大之列。另外，雖然油價持續大漲而迫使美國帶頭釋出戰備儲油來壓制油價漲勢，但在再生能源成為不可逆轉的趨勢下，石油產業的黃金期恐怕已成過去。在專家估計到2030年全球新車銷售裡，將有一半為電動車而對汽柴油需求銳減之下，投資人對石油產業前景看法愈來愈保守，就連石油公司也開始朝著再生能源方向發展。【完整內容請見《非凡商業周刊》2022/1/7 No.1283】
萬華防疫旅館爆群聚 北市2境外移入改列本土確診,2022-07-02,台北市今天有兩例境外移入改判為本土確診，市長柯文哲今天主持防疫記者會表示，此兩例定調為萬華區一家旅館內的群聚本土感染。印度入境的母親及姐妹住在此防疫旅館719房、疑似感染隔壁中國入境的718房住客及...,https://udn.com/news/story/7934/6081282,台北市今天有兩例境外移入改判為本土確診，市長柯文哲今天主持防疫記者會表示，此兩例定調為萬華區一家旅館內的群聚本土感染。印度入境的母親及姐妹住在此防疫旅館719房、疑似感染隔壁中國入境的718房住客及香港入境的715房住客，柯說，就基因定序、公衛學，時間序考量，所以將兩例境外移入，改判為防疫旅館內感染。柯文哲今天主持防疫記者會表示，萬華區一處旅館，先是印度入住的一對母親與姊妹1月20日出現症狀，24日判定確診；另外一例是從香港1月9日入境，旅館住滿14天、1月24日出防疫旅館，不過卻在1月27日出現喉嚨痛等症狀， 1月28日採檢陽性。柯說，這很奇怪，1月9日入境到28日已有19天，一般潛伏期沒有這麼長，北市府在此案確診後疫調回溯，發現確診者住的防疫旅館為715房，隔壁的隔壁719房也確診；另外還有一例入住718房的住客1月19日入境、1月27日有症狀後確診，8天潛伏期稍長。柯文哲說，這起旅館內感染，管道有可能是空調，也有可能是房間同時打開門而傳染，但不管怎麼樣，旅館內感染是空調、打開門或傳送東西等，都不確定，但基於基因定序、公衛學，時間序考量，定調為旅館內的本土境內感染。柯文哲表示，從這三起的圖表看，防疫旅館715、718、719房先後確診，儘管住715房的案18761，若是境外感染，但19天才發病，這也不是不可能，但醫學機率不高，但做基因定序後，發現715與718房都是Omicron病毒株，基因定序一樣，有可能是住719房的母親姊姊妹妹確診感染到隔壁房間，加上當時1月28日、1月27日中國香港也沒有很多Omicron確診，所以就基因定序、公衛學，時間序考量，經境外移入改為旅館內感染。柯文哲說，北市府當時發現此案例時候，1月30日此防疫旅館全樓淨空，1月10冷凍空調公會也進駐檢查，1月10日、2月2日都看一次，提出很多改革意見，目前空調設備還沒有改善前，此防疫旅館暫不入住。柯文哲說，這些確診有幾例，都是在旅館內隔離期間發病，還有一例1月28日才確診，該匡列的都匡列，到現在為止，判定為本土，但還沒有社區散播的感染。
萬華防疫旅館爆群聚 北市2境外移入改列本土確診,2022-07-02,台北市今天有兩例境外移入改判為本土確診，市長柯文哲今天主持防疫記者會表示，此兩例定調為萬華區一家旅館內的群聚本土感染。印度入境的母親及姐妹住在此防疫旅館719房、疑似感染隔壁中國入境的718房住客及...,https://health.udn.com/health/story/120950/6081282,台北市今天有兩例境外移入改判為本土確診，市長柯文哲今天主持防疫記者會表示，此兩例定調為萬華區一家旅館內的群聚本土感染。印度入境的母親及姐妹住在此防疫旅館719房、疑似感染隔壁中國入境的718房住客及香港入境的715房住客，柯說，就基因定序、公衛學，時間序考量，所以將兩例境外移入，改判為防疫旅館內感染。柯文哲今天主持防疫記者會表示，萬華區一處旅館，先是印度入住的一對母親與姊妹1月20日出現症狀，24日判定確診；另外一例是從香港1月9日入境，旅館住滿14天、1月24日出防疫旅館，不過卻在1月27日出現喉嚨痛等症狀， 1月28日採檢陽性。柯說，這很奇怪，1月9日入境到28日已有19天，一般潛伏期沒有這麼長，北市府在此案確診後疫調回溯，發現確診者住的防疫旅館為715房，隔壁的隔壁719房也確診；另外還有一例入住718房的住客1月19日入境、1月27日有症狀後確診，8天潛伏期稍長。柯文哲說，這起旅館內感染，管道有可能是空調，也有可能是房間同時打開門而傳染，但不管怎麼樣，旅館內感染是空調、打開門或傳送東西等，都不確定，但基於基因定序、公衛學，時間序考量，定調為旅館內的本土境內感染。柯文哲表示，從這三起的圖表看，防疫旅館715、718、719房先後確診，儘管住715房的案18761，若是境外感染，但19天才發病，這也不是不可能，但醫學機率不高，但做基因定序後，發現715與718房都是Omicron病毒株，基因定序一樣，有可能是住719房的母親姊姊妹妹確診感染到隔壁房間，加上當時1月28日、1月27日中國香港也沒有很多Omicron確診，所以就基因定序、公衛學，時間序考量，經境外移入改為旅館內感染。柯文哲說，北市府當時發現此案例時候，1月30日此防疫旅館全樓淨空，1月10冷凍空調公會也進駐檢查，1月10日、2月2日都看一次，提出很多改革意見，目前空調設備還沒有改善前，此防疫旅館暫不入住。柯文哲說，這些確診有幾例，都是在旅館內隔離期間發病，還有一例1月28日才確診，該匡列的都匡列，到現在為止，判定為本土，但還沒有社區散播的感染。
春哥侃陸／二十大前掀「頌聖」潮 習近平親信捧連任 打經濟牌爭位,2022-07-01,中國大陸連日熱鬧，這有兩個時間背景，一是中共省級地方大會接近尾聲，也即中共二十大代表將全部選出；一是所謂的北戴河會議召開在即，也即中共二十大前的一個政治小尖峰到臨。而這個小高潮被因其特別的色彩，被稱...,https://udn.com/news/story/7331/6426377,
馬可仕就任菲總統 讚揚獨裁父,2022-07-01,菲律賓已故獨裁者老馬可仕的獨子馬可仕六月卅日宣誓就任菲國第十七任總統。就職演說中他承諾將推動變革、改善民生，他讚揚父親的統治，完成菲國獨立後歷任總統不曾完成的事蹟。當天上午十點四十分左右，馬可仕前往...,https://udn.com/news/story/6809/6428193,菲律賓已故獨裁者老馬可仕的獨子馬可仕六月卅日宣誓就任菲國第十七任總統。就職演說中他承諾將推動變革、改善民生，他讚揚父親的統治，完成菲國獨立後歷任總統不曾完成的事蹟。當天上午十點四十分左右，馬可仕前往馬坎南宮拜會離任總統杜特蒂，雙方進行簡短交談。馬可仕隨後乘車抵達總統就職典禮所在地菲律賓國家博物館，並進行簡短閱兵儀式。正午十二時，在菲律賓最高法院首席大法官格斯蒙多主持下，身穿傳統民族服裝「巴隆」的馬可仕手按聖經宣誓就職。隨後，他發表就職演說，約三萬人觀禮。現年六十四歲的馬可仕五月九日在總統大選贏得三千一百多萬張選票，成功當選，在父親一九八六年被軍方支持的「人民力量」運動推翻卅六年後，風光重返馬拉坎南宮。菲律賓憲法規定，總統任期為六年，不得連任。就職演說中，馬可仕感謝民眾支持，呼籲民眾保持團結，承諾將在總統任期內推動變革，致力於改善民生、提高糧食自給率、加快經濟復甦、提振國家競爭力。他先前宣布將暫時兼任農業部長，以著手應對糧食供給和農業現代化等挑戰。馬可仕談到老馬可仕時表示：「他造的橋、鋪的路比前任都要多。有時獲得支持，有時則無，但他辦到了。他的兒子也會是這樣，我不會找藉口。」馬可仕也讚揚杜特蒂在基礎建設的成就，杜特蒂的女兒薩拉當選副總統。老馬可仕獨裁時期的血腥統治，馬可仕隻字未提；他表示要談的是未來，不是過去。馬可仕的母親伊美黛高齡九十二歲，也出席就職典禮。菲律賓前總統羅慕斯、艾斯特拉達和艾若育以及多名外國政要參加觀禮，包括美國副總統賀錦麗夫婿任德龍、中國國家副主席王歧山、泰國副總理兼外長董恩、越南國家副主席武氏映春、澳洲總督赫爾利等外賓。數天前，菲國最高法院駁回一項指控馬可仕逃稅、要求撤銷他當選資格的最終上訴，為馬可仕就職清除最後障礙。
經濟日報社論／國際經貿應變 需要全新思維,2022-07-01,近來國際經貿情勢詭譎多變，對台灣有衝擊也有機會，需要以新的全球經貿戰略思維、決策架構及指導方針因應。先看變局。首先西方國家調整與中國大陸的經濟互動模式，大局已經確定；疫情與俄烏戰爭更促使各國加速盤點...,https://udn.com/news/story/7338/6428208,近來國際經貿情勢詭譎多變，對台灣有衝擊也有機會，需要以新的全球經貿戰略思維、決策架構及指導方針因應。先看變局。首先西方國家調整與中國大陸的經濟互動模式，大局已經確定；疫情與俄烏戰爭更促使各國加速盤點供應鏈自主，提升經濟安全布局。台灣在半導體、電子業位居供應鏈的關鍵地位，一時門庭若市，成為各國競相爭取合作的對象。然而興奮之餘，作為滿足他國提高經濟自主的夥伴，其實也伴隨著資金分散、技術外移及人才流失的各種風險。台灣除了配合以外，應如何確保我們的經濟自主、經濟安全？再者，歐美先進科技領域追求淡化中國大陸的角色與連結，但是台灣的高科技業在對岸的投資生產連結程度，雖然有調整，但仍居高不下；經濟部2020年的調查顯示，仍有八成的資通訊及電子企業，繼續以中國大陸作為主要生產基地。對於西方的對抗脫鉤，北京當然會有所回應。西方力道增強，作為「夾心餅乾」的台商風險就愈高；近年各種農漁產品出口遭禁，製造業台商遭查廠開罰，看似跟高科技無關，也可能是更深層制裁的序曲。在企業層次上，除了加速分散布局外，在兩岸政策上與政府意見不同的頻率也可能持續增加。在台灣尋求新經濟結盟之際，這個結構也將成為西方盟友對是否存在技術、人才後門的質疑所在。簡言之，這樣的結構背後包含了企業經營、經濟政策、國內政治甚至於國際合作的風險。第三，參與經濟整合也有很多變數。從美國為了顧及東協國家態度而未邀請台灣加入「印太經濟架構」（IPEF）一事，大概已可嗅出申請加入CPTPP的前景變數。因為只是參加美國主導的IPEF都能如此猶豫，兩岸同時申請加入CPTPP的「直球對決」，應該更會嚇壞東協國家而不願表態。新情勢當然也包含對台灣有利的面向。首先經過30年努力，台灣在全球高科技不可或缺的地位，已經是各國認證的事實。幾經考驗的技術、人才、Know-how等真功夫，他國很難取代。因而在世界經貿新局中，已經留好台灣的座位。第二，世界新局使得西方主要國家不再忌諱北京，與台灣的互動持續升級。台美21世紀倡議啟動多年來不可得的雙邊協定談判、歐盟的印太視野不再將台灣視為對中政策的一部分，成員國更是積極建立與台灣關係，乃至於與日本、澳洲的經濟結盟新發展，都是拜各國「思維脫中」所帶來的新局面。歸納以上，西方經濟及科技脫中，台灣的受害與受益程度都很高。如何控制損害、擴大利益，就是我國下世代經貿政策的基本目標。例如各國爭取半導體前往落地一事若無法說不，也應該加入確保我國科技競爭力、創造外交經貿互動新局的思維。面對陸方的壓力及制裁，也須提出對策提早因應。CPTPP若有困難，如何擴大台美合作模式至其他夥伴，以雙邊新局參加區域整合，也須積極思考規劃，更重要的是要強化不同個別事件彼此截長補短、相互支援的能量，擺脫目前限於個案回應，欠缺總體方向感的限制。最後，這些新局面影響及意義的研判，至少包含國內政治、兩岸關係、科技發展、經貿規則及地緣衝突，已經超越單一部會能量，需要新的決策架構及方針。日本在去年新設「經濟安保大臣」主導跨部會整合，更用立法方式於今年5月制訂「經濟安全保障推進法」，針對日本政府認定的重要物資及基礎設施服務，要求協助民營企業確保供應安全、分散來源、強化管理的義務。對於尖端重要科技，政府要積極投入並支援民間研發，更要導入專利不公開制度予以保護，是值得參考的作法。
嚇阻陸 環太軍演應對大國衝突,2022-07-01,全球規模最大的跨國海上軍演、第廿八屆「環太平洋軍事演習」（ＲＩＭＰＡＣ）六月廿九日登場。由於美日印澳「四方安全對話」（ＱＵＡＤ）、澳英美三邊安全倡議（ＡＵＫＵＳ）的成員國全員參加，加上南海周邊五個國...,https://udn.com/news/story/6809/6428099,全球規模最大的跨國海上軍演、第廿八屆「環太平洋軍事演習」（ＲＩＭＰＡＣ）六月廿九日登場。由於美日印澳「四方安全對話」（ＱＵＡＤ）、澳英美三邊安全倡議（ＡＵＫＵＳ）的成員國全員參加，加上南海周邊五個國家，甚至南太平洋小國東加的出現，分析家指出，這次是向中國大陸傳遞一個訊息：中國在西太平洋地區的擴張會遭到阻止和擊敗。包括東道主美國，共有廿六國參加這次在夏威夷珍珠港和南加州海域舉行的聯合軍演，直到八月四日結束。美軍派出了以尼米茲級核動力航空母艦「林肯號」號為首的打擊群。「林肯號」從一月開始就在印太地區執行任務並進行密集的軍演。美軍陸戰隊首支F35C閃電II戰鬥機中隊也部署在「林肯號」上。美國海軍在「二○二二環太軍演」的新聞稿表示，軍演就是為了提高「聯合部隊所需的聯合作戰能力、抗打擊能力和靈活性，以阻止並擊敗大國在衝突各領域各階段所採取的侵略行為。」中國分析人士將此解讀為「美海軍將此次演習作為應對『大國衝突』的一個重要訓練平台」。華府智庫「蘭德公司」國家安全供應鏈研究所主任馬丁是美國海軍上校退役，參與並策畫過往年環太軍演。他告訴美國之音，環太軍演向中國傳達的其實是地區各國「有關共同利益的聲明」。他說：「在我看來，與其說是切斷與中國的聯繫或是遏制中國，不如說他們（亞太國家）為了共同利益而加強夥伴關係。無論中國選擇作為一個改變秩序的大國，還是試圖遵守國際準則，它都必須明白，該地區各國人民願意為了共同利益而相互合作，所以我認為這次演習的主要信息是，這些國家有共同的事業和共同的利益，並且願意合作」。美國曾於二○一四和一六年兩度邀請中國大陸參加環太軍演。一八年因為中國在南海擴張，美國撤回邀請。
美企節流 擬裁員削減支出,2022-07-01,由於通膨高漲和對全球經濟漸失信心，從電動車大廠特斯拉（Tesla）到藥廠諾華（Novartis）等企業，都正削減支出、裁員，或取消計畫或交易。路透報導，由於中國大陸防疫封控措施和俄烏戰爭導致供應鏈受...,https://udn.com/news/story/6811/6428144,由於通膨高漲和對全球經濟漸失信心，從電動車大廠特斯拉（Tesla）到藥廠諾華（Novartis）等企業，都正削減支出、裁員，或取消計畫或交易。路透報導，由於中國大陸防疫封控措施和俄烏戰爭導致供應鏈受阻與通膨升抵數年高點，全球製造業成長正逐漸放緩，上升的美國經濟衰退風險也對全球經濟構成新威脅。愈來愈多企業現正提早採取行動以因應衰退，這些公司7月發布財報時，可能會公布更多大幅削減成本的計畫。National Securities首席市場策略師霍根說：「企業現在最擔心地的是經濟放緩的程度，以及能否避免衰退。對美國聯準會（Fed）對抗通膨所致的衰退疑慮正籠罩市場。」美國家居用品零售商Bed Bath & Beyond 6月29日表示，第1季銷售銳減25%，將削減約25%資本支出，並暫停改裝和開設新店計畫，以做為回應。南韓電池製造商LG新能源，以「空前的經濟狀況」為由，正重新評估三個月前剛宣布的13億美元亞利桑那工廠投資計畫。
習近平訪港 疫情後首度離開陸,2022-07-01,大陸國家主席習近平在武漢爆發疫情兩年半來首度離開中國大陸，昨搭乘高鐵到香港出席特區建立廿五周年和新一屆政府就職典禮。他到港後發表簡短談話稱，「歷經風雨後，香港浴火重生」。習近平及夫人彭麗媛等一行搭乘...,https://udn.com/news/story/11241/6428089,大陸國家主席習近平在武漢爆發疫情兩年半來首度離開中國大陸，昨搭乘高鐵到香港出席特區建立廿五周年和新一屆政府就職典禮。他到港後發表簡短談話稱，「歷經風雨後，香港浴火重生」。習近平及夫人彭麗媛等一行搭乘高鐵，六月卅日下午約三點十五分抵達香港西九龍高鐵站。香港特首林鄭月娥和丈夫林兆波，及大陸駐港中聯辦主任駱惠寧迎候其下車。習近平專列到港時，港府安排歡迎儀式，以中小學生為主的歡迎隊伍揮動五星旗、香港區旗，高呼「熱烈歡迎」，現場還有舞獅表演。習近平抵港後發表簡短講話稱，五年來一直關注和牽掛著香港。習表示，過去一段時間，香港經歷一次次嚴峻考驗、戰勝一個個風險挑戰，歷經風雨後，香港浴火重生，呈現蓬勃生機，「證明一國兩制具有強大生命力，能確保香港長期繁榮穩定」。習近平強調，「一國兩制」是個好制度。「行而不輟，未來可期」，只要毫不動搖地堅持一國兩制，香港的未來一定會更美好。隨後習近平會見履職最後一日的林鄭月娥，香港行政、立法及司法機構的負責人，以及香港區人大代表、政協委員、警察紀律部隊代表等各界人士。據新華社，習肯定林鄭過去五年的工作，也希望林鄭支持新一任特首。據獲安排會見者說，會見時每批二百人，主要是照相留影。其後習近平到香港科學園參觀，視察香港的創科發展。隨同習近平赴港的中共黨政軍人大政協五大機構代表，包括中共中央辦公廳主任丁薛祥，中共中央軍委副主席許其亮、大陸全國人大常委會副委員長沈躍躍、國務委員兼外交部長王毅、全國政協副主席兼國務院港澳辦主任夏寶龍。習近平夫人彭麗媛昨下午約四點半到西九文化區新建的戲曲中心，觀看粵劇折子戲及樂團綵排，並參觀粵劇藝術展覽。彭逗留大約一小時，戲曲中心鄰近道路全線封閉。習近平及夫人彭麗媛一行，昨晚出席特首林鄭月娥在香港禮賓府設的歡迎晚宴，晚宴後回返深圳。香港政府七月一日上午舉行特區設立廿五周年和新一屆政府就職典禮，習近平將為香港新特首監誓，也會在會上發表講話。
