relsub,relsum,rel,index,title,date,summary,link
0,1,1,1,永冠改選董事寶佳取1席 台中港基地第4季投產,2022-06-17,鑄件大廠永冠-KY今天上午舉行股東常會，通過每股配發現金股利新台幣0.6元，並全面改選董事11席（含獨立董事4席），台中港基地預計第4季投產，今年集團出貨目標看20萬噸。永冠-KY今天改選董事，寶佳...,https://udn.com/news/story/7241/6395048
0,0,0,2,高雄版華燈初上 鹽埕流金歲月,2022-06-17,【文/李瑰嫻、攝影/Carter、圖片提供/高雄市立歷史博物館、責任編輯/葉三銘】　　因應日治時期都市計劃，鹽埕從白皚皚的曬鹽場，一躍成為南臺灣首條歡樂街。延續至二次戰後美援時代，鹽埕更是匯集了風華...,https://udn.com/news/story/6966/6394811
0,0,0,3,自從馬斯克喊經濟不妙  特斯拉已裁減14%職缺,2022-06-17,自從特斯拉（Tesla）執行長馬斯克發表對經濟的憂慮之後，特斯拉的職缺已經刪減14%，也就是縮編且暫停新聘員工，來因應景氣向下。路透說，特斯拉的動作是全球經濟健康與否的徵兆，如今市場緊縮、通膨高漲，...,https://udn.com/news/story/6811/6395088
0,0,0,4,李嘉誠的超完美避險 現在危機入市越南正好？！,2022-06-17,【文／阮文非】下個月底就是李嘉誠94歲生日，縱橫商場數十年而立於不敗之地的他，在香港封被「李超人」，除了他有危機入市的膽量，以及精準判斷市場趨勢變化的能力外，更重要是他多次成功躲過大風暴而為人津津樂...,https://udn.com/news/story/6849/6394895
0,0,0,5,電動車飛躍成長 資金蜂擁 概念股誰最靚？,2022-06-17,【文／許博傑】在全球陷入通膨與經濟衰退兩難的現況下，電動車是少數在經過2021年大成長後，能繼續在2022年甚至一路到2025年以後，繼續維持高速成長的產業，電動車未來之所以能加速成長，主要背景在於...,https://udn.com/news/story/6849/6394906
0,0,0,6,工業電腦與電動車電池看旺,2022-06-17,文．高適工業電腦缺料逐季改善 出貨開始升溫今年工業電腦(IPC)景氣旺，新能源、AIoT、基建、倉儲、車用、自動化等訂單均增加，產業整體訂單/出貨比(B/B Ratio)均超過1.3，營收及獲利均有...,https://udn.com/news/story/6848/6393649
0,0,0,7,哪裡又橫空出世個「新」股神？,2022-06-17,文．林友銘股市是多變的，唯一不變的，只有一九法則這個道理。當市場共識為跌深反彈再破底，或七月升息後才有行情時，那麼五月以來一堆個股漲到創新高，諸如華新、堤維西、中砂、中探針等族繁不及備載，要嘛有量要...,https://udn.com/news/story/6848/6393677
0,0,0,8,王品618開搶！第五種乳酪蛋糕特價168元 燒肉盛合79折,2022-06-17,618購物節是電商平台繼雙十一後第二大盛會，「王品瘋美食購物網」為搶搭商機、助消費者抗通膨，推出618快閃優惠、精選六款人氣商品，自6月18日上午11點起限量開賣，必買推薦包含日本人氣商品第五種乳酪...,https://udn.com/news/story/7193/6395042
0,0,0,9,王品618開搶！第五種乳酪蛋糕特價168元 燒肉盛合79折,2022-06-17,618購物節是電商平台繼雙十一後第二大盛會，「王品瘋美食購物網」為搶搭商機、助消費者抗通膨，推出618快閃優惠、精選六款人氣商品，自6月18日上午11點起限量開賣，必買推薦包含日本人氣商品第五種乳酪...,https://udn.com/news/story/7270/6395042
0,0,0,10,王品618開搶！第五種乳酪蛋糕特價168元 燒肉盛合79折,2022-06-17,618購物節是電商平台繼雙十一後第二大盛會，「王品瘋美食購物網」為搶搭商機、助消費者抗通膨，推出618快閃優惠、精選六款人氣商品，自6月18日上午11點起限量開賣，必買推薦包含日本人氣商品第五種乳酪...,https://style.udn.com/style/story/11350/6395042
1,1,1,11,華爾街日報：美中防長表面交鋒 實則欲緩和緊張,2022-06-17,華爾街日報引述多名外交及國防官員說法報導，美中國防部長上週在新加坡就台灣議題針鋒相對，掩蓋雙方想緩和緊張關係的企圖，台灣官員確信「沒有人想開戰」。美國國防部長奧斯汀（Lloyd Austin）11日...,https://udn.com/news/story/6809/6394916
0,0,0,12,防疫鬆綁？大陸多地取消常態化核酸檢測或查驗核酸證明,2022-06-17,過於嚴格的防疫措施已嚴重干擾中國經濟的正常運行，人民日報社旗下的健康時報17日報導，近日，大陸多地調整疫情防控政策，取消常態化核酸檢測機制或取消查驗核酸證明。報導稱，山東省德州市6月15日發布通告，...,https://udn.com/news/story/122650/6394999
0,0,0,13,富邦金股東會 富邦產董座首次完整說明防疫險風波,2022-06-17,富邦金控（2881）今（17）日上午舉行股東常會，富邦產險董事長陳伯燿答覆小股東提問時，首次完整說明防疫保單銷售經過，強調富邦產會深切檢討，更深入掌握政府政策走向。富邦產險長年穩居國內產險業龍頭，財...,https://udn.com/news/story/7239/6394989
0,0,0,14,開發金股東會通過每股股息1元  現金殖利率衝6.6%,2022-06-17,開發金（2883）今（17）日上午股東會，表決通過去年盈餘分派每股配發現金股息1元，目前接續進行全面改選董事投票與計票作業中。開發金控董事會決議去年盈餘分派，每股配發現金股息1元，比上年度股利大幅增...,https://udn.com/news/story/7239/6394977
