relsub,relsum,rel,index,title,date,summary,link
1,1,1.0,1,民進黨兩岸論述擬改和平保台 朱立倫最想問「這個問題」,2023-01-02,面對民進黨兩岸論述有意從「抗中保台」轉為「和平保台」，國民黨主席朱立倫強調，國民黨長久以來的主張正是和平及護台灣，非常歡迎民進黨跟進，但他最想請教「務實的台獨工作者」究竟要如何保台？,https://www.chinatimes.com/realtimenews/20230102003063-260407
0,1,1.0,2,時論廣場》永久性危機新時代（江靜玲）,2023-01-02,新冠病毒肆虐全球近兩年後，2022年被預示著將回歸「常態」。但這種幻覺很快就被驅散了─新冠大流行翻轉的民生社會已難重返舊軌；俄羅斯入侵烏克蘭則是人們認為在後冷戰時代不可能發生的事件。 ,https://www.chinatimes.com/opinion/20230102002666-262104
0,0,0.0,3,佛教名山峨眉山金頂賞雪 千年古剎映照絕美奇景,2023-01-02,四川峨眉山歷史上是著名的旅遊勝地，尤其到了冬季，超過3000公尺海拔的雪景映照神聖莊嚴的佛教古建築，更是與故宮帝王氣象完全不同的景緻，自古以來文人雅士多有讚譽，小說遊記中也經常成為故事場景。今年大陸嚴格封控接近整年，日前開放後又逢元旦假期，四川民眾蜂擁而出，名勝峨眉山金頂一如往年成為新年旅遊最受歡迎景點。,https://www.chinatimes.com/realtimenews/20230102002697-260409
0,0,0.0,4,前中聯辦副主任染疫辭世！陸去年12月已「24位院士」病逝,2023-01-02,大陸新冠疫情升溫，前香港中聯辦副主任鄭坤生近日傳出因為感染新冠，在北京醫治無效逝世，享年78歲。鄭坤生於香港回歸之後在港工作10年，作風低調。而在去年12月，已有24位兩院（中國科學院、中國工程院）院士去世，數量之多相當罕見。,https://www.chinatimes.com/realtimenews/20230102001070-260409
0,0,0.0,5,預料大陸疫情將如叢林大火 IMF總裁：打擊全球經濟增長,2023-01-02,據香港東網報導，國際貨幣基金組織（IMF）總裁喬治艾娃（Kristalina Georgieva）周日（1日）受訪時認為，中國大陸放寬新冠防疫政策後，未來數月會出現「叢林大火」般的新冠病例，對中國大陸、地區甚至全球經濟帶來負面影響。,https://www.chinatimes.com/realtimenews/20230102001065-260409
0,0,0.0,6,汽油調升0.4元 柴油降0.1元,2023-01-02,　受俄羅斯表示不排除減產原油以因應制裁、中國宣布解除入境隔離措施等因素影響，國際油價攀揚上漲。中油宣布，經雙重平穩機制啟動，汽、柴油各吸收0.3元及0.8元；2日凌晨零時起汽油調漲0.4元、柴油調降0.1元。,https://www.chinatimes.com/newspapers/20230102000162-260204
1,0,1.0,7,王毅 接中央外事辦主任,2023-01-02,　大陸前外交部部長王毅已接替楊潔篪，正式出任中共中央外事工作委員會辦公室主任。,https://www.chinatimes.com/newspapers/20230102000133-260203
0,0,0.0,8,美俄爭奪烏干達,2023-01-02,　新聞提要■俄烏戰爭已快滿一年，西方國家與俄羅斯的角力戰蔓延至非洲，俄羅斯猛挖美國的牆角。,https://www.chinatimes.com/newspapers/20230102000194-260210
0,0,0.0,9,中國汽車總量超過3億 半數以上家庭擁有汽車,2023-01-01,據中國機械工業聯合會公布的數字顯示，中國汽車總量持續增長，目前已達每千人擁有220輛汽車。另據大陸公安部交通管理局數據，大陸平均每百戶家庭擁有汽車達到60輛，換言之，有半數以上家庭擁有汽車，汽車成為一般家庭的消費品。,https://www.chinatimes.com/realtimenews/20230101003549-260409
0,0,0.0,10,電動車銷量快速成長 中國製造佔40％稱霸全球,2023-01-01,近幾年全球電動車的增長快速，加入電動車生產的廠商愈來愈多，尤其是中國。據市場研究公司統計，2022年中國生產的電動車將佔全球電動車總銷量的40%，美國與歐洲分別佔30%與20%，而燃油車製造大國日本，在全球電動車銷量只佔不到5%。,https://www.chinatimes.com/realtimenews/20230101003201-260409
