relsub,relsum,rel,index,title,date,summary,link
0,0,0,1,《科技與創新》臺灣淨零排碳路徑出爐,2022-05-31,我國位於南太平洋的友邦吐瓦魯正面臨海平面上漲的「滅頂」危機，同為島國，臺灣不可不重視全球暖化議題。工研院「打造淨零時代競爭力」論壇暨特展，特別邀請國發會主委龔明鑫、循環臺灣基金會董事長黃育徵發表專題演講，與產業分享剛出爐的臺灣淨零路徑藍圖，以及淨零科技帶動的商業模式創新。,https://ec.ltn.com.tw/article/breakingnews/3942649
0,1,1,2,日經：台灣有矽盾 半導體聯盟制裁可阻北京動武,2022-05-31,日經亞洲刊登地緣政治分析師Liam Gibson評論指出，如果北京試圖以武力佔領台灣，美國除動用軍力保衛台灣外，可以通過建立多邊半導體制裁來加強威懾中國，防止戰爭的可能性。文章指出，台灣的晶片業是抵禦中國侵略的矽盾（silicon shield），台灣佔全球10奈米以下工藝製造產量的92%，為世界最,https://ec.ltn.com.tw/article/breakingnews/3943933
0,1,1,3,專訪吳釗燮英媒主筆 嗆習邪教快瓦解,2022-05-31,日前專訪外長吳釗燮的英媒主筆威廉斯（Ian Williams）昨日在英媒撰文抨擊習近平是邪教，設集中營迫害維吾爾族，又堅持嚴厲清零防疫，導致中國經濟遭到重創，政權不穩謠言四起。威廉斯直言，中國觀察人士正在尋找「習大大可能跨台的蛛絲馬跡」。英國《旁觀者週刊》專欄主筆威廉斯週日在《星期日泰晤士報》撰文稱,https://ec.ltn.com.tw/article/breakingnews/3944006
0,0,0,4,汪小菲聲明偷刪1字 網：不給大S情面,2022-05-31,大S（徐熙媛）與前夫汪小菲在去年11月宣布離婚，之後傳出汪小菲婚內出軌中國女星張穎穎，但兩人始終未承認戀情，資深狗仔葛斯齊本月28日在臉書po出汪小菲和張穎穎的親熱照，稱照片是在去年9月拍攝的，汪小菲昨日回應指照片是真的，但去年2月已經在討論離婚，但中國網民眼睛非常尖，發現汪小菲的回應經過重新編輯，,https://ent.ltn.com.tw/news/breakingnews/3944326
0,0,0,5,聯合國專員新疆行 英國：北京阻礙調查掩蓋真相,2022-05-31,聯合國人權事務高級專員巴舍萊（Michelle Bachelet）剛結束中國的6天訪問行程，英國外交部30日表示，北京當局沒有提供巴舍萊不受限制訪問新疆的機會，此舉凸顯中國「掩藏真相」的決心。巴舍萊23日抵達廣州展開為期6天的中國訪問行程，其中停留在新疆2天，就國際關切的維吾爾族人權問題實地了解狀況,https://news.ltn.com.tw/news/world/breakingnews/3944367
0,0,0,6,香港繁榮地標又少了！半百世紀珍寶海鮮舫6月告別香港,2022-05-31,香港繁榮地標又少一件！位於香港仔的珍寶海鮮舫表示，累計虧損逾1億港元後，已在去年停業，找了十多家機構想捐出去，卻無人願意接手，又找不到合適的新泊位，決定今年6月將駛離香港，未來如何安置，目前仍未定案。綜合媒體報導，珍寶海鮮舫最早由王老吉投資的海上餐廳，船隻在1971年建造初成，還沒開業就先遇大火燒毀,https://ec.ltn.com.tw/article/breakingnews/3944366
0,0,0,7,南投鹿谷春茶賽4976件報名 境外混茶、農藥均「零檢出」,2022-05-31,南投縣鹿谷鄉農會此次春季茶賽報名件數共有4976件，在農友簽下形同「生死狀」的切結書後，農委會茶業改良場從本月15日起，透過「多重元素分子分析」科學儀器就參賽茶樣逐一進行檢驗，今結果出爐，農藥殘留與境外茶混充都是「零檢出」，十分難能可貴。近年來茶葉市場充斥「境外茶」將產地不實標示為台灣茶的「混茶」現,https://news.ltn.com.tw/news/life/breakingnews/3944379
0,0,0,8,中國地方政府哭窮 李克強：中央已給 其餘自己想辦法,2022-05-31,根據英國金融時報報導，中國國務院日前召開號稱有10萬人參與的「全國穩住經濟大盤電視電話會議」，國務院總理李克強對中國經濟的黯淡前景提出警告，要求官員促進成長和減少失業，並說有些省份近期向國務院遞報告要錢，但李強調對地方政府轉移支付已是史上最大，其餘的地方政府要自己想辦法。,https://ec.ltn.com.tw/article/breakingnews/3944269
0,0,0,9,鋒面接近+西南風影響 午後「留意強降雨大雷雨」,2022-05-31,中央氣象局指出，今天（31日）天氣不穩定，由於鋒面接近及西南風影響，午後留意強降雨大雷雨。氣象局表示，今天凌晨苗栗以北有一波明顯的雨勢，白天西半部及基隆北海岸出現短暫陣雨或雷雨的機率偏高，上午降雨較為局部，中午開始會變得較為全面，其他地區午後出現短暫雷陣雨的機率也高，氣象局提醒，午後雷雨發展會比較早,https://news.ltn.com.tw/news/life/breakingnews/3944360
0,0,0,10,05/31 各報重點新聞一覽,2022-05-31,自由時報入境檢疫 擬朝3＋4放寬邁向正常生活，行政院長蘇貞昌昨天指示指揮中心視醫療量能，適度放寬入境總量管制上限，並調整檢疫天數；指揮官陳時中表示，目前規劃入境者不會「免隔離」、但會縮短天數，基本上不考慮○加七，另落地採檢將改成唾液篩檢。詳見入境檢疫 擬朝3＋4放寬。,https://news.ltn.com.tw/news/life/breakingnews/3944355
