relsub,relsum,rel,index,title,date,summary,link
0,1,1,1,中國變異株大軍壓境！2萬人入境　指揮中心公布「14天高峰」,2023-01-04 17:52:00,【記者林志怡／台北報導】中央流行疫情指揮中心今天(1/4)下午說明最新疫情，指揮中心公布最新的1/2中國入境旅客陽性率，約19%，比1/1的25%略降。,https://tw.nextapple.com/life/20230104/84B785E5D60E12F44C4F710DF71A6B68
0,0,0,2,鴻海投資紫光未申報被罰千萬　經濟部3點說明,2023-01-19 21:28:00,【記者林巧雁／台北報導】鴻海精密工業未經經濟部投審會許可，轉投資中國大陸紫光集團股權一事，經濟部今天開罰千萬，並提出3點說明。,https://tw.nextapple.com/finance/20230119/9BB499B45B6ADF41AFF1AAD6CBE45B93
0,0,0,3,多國採取「中國限定」防疫令　北京將以「對等原則」因應,2023-01-03 18:16:00,【國際中心】越來越多國家對中國旅客採取額外防疫措施。中國外交部發言人毛寧今天（1/3）說，中方對「試圖操弄防疫措施達到政治目的」的作法堅決反對，將針對不同情況、本著「對等原則」採取相應措施。中國網友對此一片叫好，「總算有條好消息」。,https://tw.nextapple.com/international/20230103/CAD03C6F6FC1B3E36A6CE4AEA5F52D8B
1,1,1,4,習近平春節團拜講話　對台「牢牢把握兩岸關係主動權」,2023-01-20 17:08:00,中共總書記習近平今天在中共中央、國務院春節團拜會上向民眾拜年。在涉台方面，他宣稱，過去一年「堅定開展反分裂、反干涉重大鬥爭，牢牢把握兩岸關係主動權」。,https://tw.nextapple.com/international/20230120/EB9FE77E169DAC90922EF5553A1F27CE
0,0,0,5,巴黎男裝周｜LV集亞洲「4J」當門面　林俊傑秀場意外收穫重量級粉絲,2023-01-20 16:30:00,【記者陳張眾／台北報導】法國精品路易威登（LOUIS VUITTON，簡稱LV）2023秋冬男裝大秀於昨登場，身為精品圈指標性存在的品牌，邀請到的賞秀星光自然也有著一定的高度。除了有新加坡代表JJ林俊傑及韓國天團「防彈少年團」（BTS）成員J-Hope外，中國派出了香港歌手王嘉爾（Jackson Wang）助陣，再加上英文名字是Jasper的台灣代表劉以豪，湊足了亞洲區的「4J」當門面。然而同場受邀的美國R&B天王亞瑟小子（Usher），則讓金曲歌王林俊傑也秒變小粉絲追星，殊不知Usher卻反稱自己的兒子也是JJ的歌迷，讓他深感「受寵若驚」。,https://tw.nextapple.com/entertainment/20230120/C588154553059AB72DCCB845DC0BABAA
0,1,1,6,中國爆染XBB.1.5害大便失禁！嚇到瘋搶尿布　專家點出「2關鍵」保屁平安,2023-01-06 00:05:00,【記者賴昀岫／台北報導】中國疫情狂燒，近期更傳出感染「XBB.1.5」變異株會出現無意識腹瀉、失禁狀況，導致當地出現尿布搶購潮，然專家指出，腹瀉一直並非染疫最常見症狀，且先前流行XBB病毒的新加坡等地，也沒有大量個案出現明顯腸胃道不適，國內民眾不用擔心，更不用搶買尿布。,https://tw.nextapple.com/life/20230106/8CE9AA87E922558C1C27F6F4E82C190F
0,1,1,7,最新篩檢結果曝光　中國入境陽性率17.8%！「這地區」唾液篩歐趴,2023-01-11 14:38:00,【記者林志怡／台北報導】中央流行疫情指揮中心今天(1/11)下午說明最新疫情，宣布最新機場篩檢陽性率，為12.6%，而金馬小三通則為18.9%。,https://tw.nextapple.com/life/20230111/D2E9FDB6F1B2BE72EB6955E35475C329
0,0,0,8,日本央行按兵不動　瑞銀仍調高日圓預測上看這價位,2023-01-20 10:30:00,【財經中心／台北報導】日本央行周三維持日本10年期國債收益率上限於 0.5%，在政策會議召開之前，市場猜測上限將會調高至1%，消息公布後，日圓兌美元曾經下跌2.6%至接近132，但之後再次反彈，日經225指數周三日收漲 2.5%。,https://tw.nextapple.com/finance/20230120/2934B47577A6682407E10F30BDDA803B
0,0,0,9,中國兔年新郵引熱議　網友感受「強烈妖氣」：手拿死亡筆記本？,2022-12-28 18:05:00,【國際中心】中國郵政日前公布一套2枚「癸卯寄福、同圓共生」兔年郵票圖稿，其中一張引發網友熱烈討論，其中主題「癸卯寄福」的主角是藍皮紅眼、手持信件與筆的擬人化兔子，有網友覺得看起來像惡魔，「透露著強烈的妖氣」；也有專家力挺認為藝術創作不能陷於框架，需要百花齊放。,https://tw.nextapple.com/international/20221228/981B261226FF10FCA6E164C2FE577FE6
0,1,1,10,周玉蔻「辣新聞」被罰300萬元　她不掩飾了！嗨喊「爽啦偶檢舉ㄉ」,2023-01-20 10:51:00,【即時中心／綜合報導】資深媒體人周玉蔻去年透過民視節目「辣新聞152」轟蔣家走火，NCC開罰民視300萬元，國民黨台北市議員徐巧芯毫不掩飾，公開留言「爽啦偶檢舉ㄉ（我檢舉的）」，網紅宅神朱學恒還回她「你真壞」。,https://tw.nextapple.com/life/20230120/8776CFE71EF15967BCF9FA31403D622F
0,0,0,11,許勝雄獨子許介立接班代表作　康舒豪砸153億併美ABB電源部門,2023-01-20 16:37:00,【財經中心／台北報導】電源供應器大廠康舒科技今天宣布，將透過子公司以現金收購美國ABB Ltd旗下電源轉換事業部門（ABB Power Conversion；前身為Lineage Power）100%股權，交易總金額5.05億元（約153億台幣）。,https://tw.nextapple.com/finance/20230120/1B046BBC4AD620387414565EA094D6DE
0,0,0,12,財經網美曝「螺螄粉」高CP吃法！「政府禁料理包」最高興是他們,2023-01-18 13:33:00,【即時中心／綜合報導】中國人氣食品螺螄粉近幾年流行到台灣，且上頭還有統戰口號，被經濟部要求所有通路下架，財經網美胡采蘋也表示愛吃螺螄粉，並曝最高CP的吃法，並認為政府禁螺螄粉料理包，店鋪應該高興才對。,https://tw.nextapple.com/life/20230118/9EC8D2904C8379A88FE86908421CF411
0,0,0,13,年終獎金放大術！富邦證春節海外投資不打烊　最高獲千點LINE POINTS,2023-01-20 11:25:00,【財經中心／台北報導】揮別震盪的2022年，迎接農曆春節，如何讓年終獎金「放大」？富邦證券從1月18日至2月28日止，推出「春節海外股不打烊 富邦陪你888」活動，投資人在春節休假期間仍可參與海外股市交易，且新開立複委託帳戶並完成交易，有機會獲得最高LINE POINTS 1000點的大紅包。,https://tw.nextapple.com/finance/20230120/A72616898F55208E891CF18A0CBFDD3E
1,1,1,14,他預言柯文哲將成「最強扶龍王」！2024和誰合誰就上,2023-01-20 09:23:00,【即時中心 /綜合報導】總統蔡英文近來終於決定讓閣揆換人，但卻也看似讓外界發現，她的號令看似威信不足，也有學者評論「蔡令出不了總統府」！而也有人分析，接下來的2024，將會是三強鼎立局面，而關鍵，很可能就在柯文哲身上。,https://tw.nextapple.com/politics/20230120/6EA6837941B9F49502229943D5E8D24E
0,0,0,15,終於團圓！江美琪與樂手尪分隔兩地8個月　一見兒子淚水奪眶而出,2023-01-18 15:08:00,【記者林丞偉／台北報導】江美琪與知名樂手林振益結婚近8年，育有7歲寶貝兒子「睦睦」。林振益去年從樂手升格為經營者，成立「耳朵先生音樂公司」，江美琪則在中國錄製湖南衛視《誰是寶藏歌手》等節目，夫妻倆聚少離多，長達近8個月未相見，今（18日）她帶著全新的音樂作品《想在你的懷裡躲雨》返台，跟媒體分享夫妻生活，及久未抱到小一的兒子，母子再相逢，她的淚水險奪眶而出。,https://tw.nextapple.com/entertainment/20230118/025436D2A67EE632535C6BBA71633932
0,1,1,16,日本神預測學者評蘇貞昌下台　為小英「擋子彈」不足掩蓋「這2過」,2023-01-20 10:44:00,【記者施智齡／台北報導】行政院長蘇貞昌昨向總統蔡英文請辭，並率先公布將內閣總辭，隔一小時後，總統府也發布聲明，雖然未提及「准辭」，日本政治學者小笠原欣幸指出2點蘇貞昌的「個人商標」特色，直言他下台是無可避免的。 ,https://tw.nextapple.com/politics/20230120/9B3AE06068D31174B80AFD4511A26FE4
0,0,0,17,走春趣｜台南開基玉皇宮迎新春　「兔」年春聯拓印來賀歲,2023-01-20 00:00:00,【記者劉榮輝／台南報導】台南市舊天公廟「開基玉皇宮」農曆年前每逢週末假日的下午，都會舉辦拓印春聯活動，廟方今年推出四塊和「兔」有關的手刻版，提供民眾拓印春聯賀歲。,https://tw.nextapple.com/life/20230120/7763C7F7E3823E5105DDE0664CB5DE49
0,0,0,18,房市低迷加價囤地　台灣金聯砸8.33億買永康鹽行國中抵費地,2023-01-18 12:15:00,【記者葉家銘／台南報導】南市地政局今日舉辦永康鹽行國中區段徵收土地標售，此次共釋出8標土地、總面積2583坪，其中最小僅46坪、最大876.2坪，總底價11.7億元，當中5標土地標脫，包括台灣金聯與中國信託均有投標，當中台灣金聯分別以4.88與3.45億元購入876.29坪與641.04坪住宅用地，換算每坪單價落在55.69與53.82萬元。,https://tw.nextapple.com/gadget/20230118/B193FD0037A5FF6520A5D452A5F8765D
0,0,0,19,中國特斯拉大降價創史上新低！Model 3入手價僅百萬　較台灣便宜70萬,2023-01-06 12:38:00,【財經中心／台北報導】特斯拉再度於中國大降價，據了解，特斯拉今除公布全新Model S與Model X中國市場售價外，還宣布Model 3與Model Y降價；Model 3後輪驅動版22.99萬人民幣（約104萬台幣）起，Model Y後輪驅動版25.99萬人民幣（約118萬台幣）起，若與台灣相較，Model 3價差約高達70萬元。,https://tw.nextapple.com/finance/20230106/18D1E10FFA307F3309B74D47C771DF24
0,1,1,20,多國加強篩檢中國入境旅客　IATA總裁痛批「膝反射」不用大腦,2023-01-04 18:28:00,【栗筱雯／綜合外電】全球多國去年紛紛解封，觀光業終於盼到復甦機會。中國觀光客即將於下周日（1/8）正式返回全球旅遊市場，然而中國境內疫情正處於放棄清零策略後COVID-19大規模傳染的狀況，至少有16國針對中國旅客祭出篩檢手段。國際最大的航空組織IATA總裁今（1/4）嚴辭批評這種策略未經大腦思考，往昔經驗早已證明無助於防堵疫情。,https://tw.nextapple.com/international/20230104/569954D34C4102089AB3226D0B34330C
0,1,1,21,加強檢疫！日本8日起　從中國入境旅客須附72小時內陰性證明+PCR,2023-01-04 19:19:00,【方璇／綜合外電】日本首相岸田文雄今天（1/4）宣布，有鑑於中國新冠肺炎疫情延燒，政府決定加強邊境管制措施。8日起將對來自中國的旅客，入境時必須檢附72小時內新型冠狀病毒肺炎（COVID-19）陰性證明，且在機場必須接受PCR檢測或抗原定量檢測。,https://tw.nextapple.com/international/20230104/4854101453A9A70DC9835CEECB04BD25
1,1,1,22,加強檢疫防堵疫情　南韓：上周境外移入病例3成來自中國,2023-01-04 10:35:00,【國際中心／綜合報導】南韓本月2日起加強針對來自中國的入境人士檢疫措施，根據南韓防疫部門周三（1/04）表示，上周境外移入的新型冠狀病毒肺炎（COVID-19）確診病例，來自中國的佔了31%，為142例。,https://tw.nextapple.com/international/20230104/1F79EC84CD558F6838CFD252C369C84A
0,0,0,23,內閣總辭前！蘇貞昌拍板跨國同婚　函釋解套外國人、港澳人士都適用,2023-01-20 06:23:00,內政部今天發函將跨國同性婚姻範圍擴大，無法同婚國家與包含港、澳等人士皆可來台同婚。政院官員晚間指出，行政院長蘇貞昌認為目前多項法律訴訟結果均承認跨國同婚合法，政府必須面對此事，拍板透過函釋解套。,https://tw.nextapple.com/politics/20230120/549E5846EFF59450886F38F73137DC39
0,0,0,24,王思聰斷人鼻骨「傳砸943萬元和解了」　網求挨揍：發財致富之路,2023-01-13 14:47:00,【劉育良／綜合報導】身家高達60億元人民幣（約271億元台幣）的中國前首富王健林獨子王思聰，昨天因在上海市毆打路人，導致對方鼻骨骨折，被警方行政拘留7天，如今爆出天價和解金，讓中國網友直呼想排隊挨揍。,https://tw.nextapple.com/international/20230113/68CD31A24026C78B72C23877D26D79DB
0,0,0,25,健保署個資外洩撼動國安！涉案主秘說話了　「相信司法能查明真相」　,2023-01-17 16:56:00,【記者林芳如／台北報導】健保署個資外洩撼動國安！前主秘葉逢明被指涉嫌透過2位承保組職員，查詢11情治系統人個資並賣給中國，葉逢明今日(1/17)接受媒體強調，自己擔任公務員 42年，從未做過違法事情，媒體報導與事實不符，我相信司法機關，檢調一定能查明真相。,https://tw.nextapple.com/life/20230117/E8F7453CEF6069A20B0D29F3B67A18DF
0,0,0,26,中國2023年「兩會」時間敲定　3月4日登場,2022-12-30 21:33:00,中國第13屆全國人大常委會第38次會議今天（12/30）下午決定，將於2023年3月5日在北京召開第14屆全國人大第1次會議。,https://tw.nextapple.com/international/20221230/23C681B4FF61E0348859018209E6A589
1,1,1,27,再批中國疫情數據不充分透明　WHO：低估住院及死亡人數,2023-01-05 01:55:00,【盧宥竹／綜合外電】世界衛生組織（WHO）官員周三（1/4）表示，中國的COVID-19數據並未準確反映當地疫情，且低估染疫住院和死亡的人數。,https://tw.nextapple.com/international/20230105/BFD4212552CCA0BC64C927F4482D0843
0,0,0,28,中國揚言報復各國加強檢測措施　白宮：北京沒有理由這麼做,2023-01-04 09:27:00,【國際中心／綜合報導】中國不滿多個國家採取的「陸客限定」入境加強檢疫施，揚言採取相應措施。對此，美國白宮周二（1/03）表示，基於公共衛生理由，向中國旅客實施入境防疫措施是合理的做法，北京沒有理由對美國和其他實施入境限制措施的國家進行報復。,https://tw.nextapple.com/international/20230104/1E8A566B3FC011A7632271D31287F09D
0,0,0,29,夜市色男「襲臀12歲女童」摸不停　被暴揍還怨：以為她是高中生,2023-01-14 20:34:00,【劉育良／綜合報導】中國重慶市一名12歲女童，日前與父母到江津步行街逛夜市，結果被一名男子襲臀猥褻，男子被發現制止時竟然還持續摸不停，女童母親發現後，爆怒狂打這名色狼，豈料色狼還辯解抱怨：「我以為她是高中生。」,https://tw.nextapple.com/international/20230114/519AEB11C6E03C2DB9AC4E2A17C5EF47
